Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2016,2016,2016,5,0,0,M,533,Aruba,ABW,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,1117122531,1117122531.19,,0
H4,2016,2016,2016,5,0,0,M,533,Aruba,ABW,44,Bahamas,BHS,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,901364,901364.44,,0
H4,2016,2016,2016,5,0,0,M,533,Aruba,ABW,56,Belgium,BEL,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,476502,476502.52,,0
H4,2016,2016,2016,5,0,0,M,533,Aruba,ABW,76,Brazil,BRA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,14347015,14347015.6,,0
H4,2016,2016,2016,5,0,0,M,533,Aruba,ABW,156,China,CHN,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,17022453,17022453.3,,0
H4,2016,2016,2016,5,0,0,M,533,Aruba,ABW,170,Colombia,COL,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,15181208,15181208.21,,0
H4,2016,2016,2016,5,0,0,M,533,Aruba,ABW,251,France,FRA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,1618671,1618671.37,,0
H4,2016,2016,2016,5,0,0,M,533,Aruba,ABW,344,"China, Hong Kong SAR",HKG,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,1242111,1242111.2,,0
H4,2016,2016,2016,5,0,0,M,533,Aruba,ABW,392,Japan,JPN,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,8442236,8442236.52,,0
H4,2016,2016,2016,5,0,0,M,533,Aruba,ABW,410,Rep. of Korea,KOR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,15159457,15159457.47,,0
H4,2016,2016,2016,5,0,0,M,533,Aruba,ABW,484,Mexico,MEX,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,6631888,6631888.47,,0
H4,2016,2016,2016,5,0,0,M,533,Aruba,ABW,490,"Other Asia, nes",S19,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,46168,46168.13,,0
H4,2016,2016,2016,5,0,0,M,533,Aruba,ABW,528,Netherlands,NLD,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,99635099,99635099.33,,0
H4,2016,2016,2016,5,0,0,M,533,Aruba,ABW,740,Suriname,SUR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,593290,593290.78,,0
H4,2016,2016,2016,5,0,0,M,533,Aruba,ABW,752,Sweden,SWE,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,287868,287868,,0
H4,2016,2016,2016,5,0,0,M,533,Aruba,ABW,531,Curaçao,CUW,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,6815682,6815682.83,,0
H4,2016,2016,2016,5,0,0,M,533,Aruba,ABW,591,Panama,PAN,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,18320524,18320524.36,,0
H4,2016,2016,2016,5,0,0,M,533,Aruba,ABW,600,Paraguay,PRY,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,2864938,2864938.5,,0
H4,2016,2016,2016,5,0,0,M,533,Aruba,ABW,757,Switzerland,CHE,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,688192,688192.99,,0
H4,2016,2016,2016,5,0,0,M,533,Aruba,ABW,826,United Kingdom,GBR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,21640466,21640466.29,,0
H4,2016,2016,2016,5,0,0,M,533,Aruba,ABW,842,USA,USA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,488900220,488900220.98,,0
H4,2016,2016,2016,5,0,0,M,533,Aruba,ABW,858,Uruguay,URY,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,526995,526995.86,,0
H4,2016,2016,2016,5,0,0,M,533,Aruba,ABW,862,Venezuela,VEN,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,14443396,14443396.81,,0
H4,2016,2016,2016,5,0,0,M,533,Aruba,ABW,899,"Areas, nes",_X ,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,381336777,381336777.23,,0
H4,2016,2016,2016,5,0,0,X,533,Aruba,ABW,490,"Other Asia, nes",S19,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,3176590,,3176590.9,0
H4,2016,2016,2016,5,0,0,X,533,Aruba,ABW,531,Curaçao,CUW,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,5525308,,5525308.81,0
H4,2016,2016,2016,5,0,0,X,533,Aruba,ABW,484,Mexico,MEX,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,1034543,,1034543.72,0
