Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2016,2016,2016,5,0,0,X,975,ASEAN,R4 ,0,World,W00,0,World,W00,C00,All CPCs,9900,Other,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,864981412074,,864981412074.328,4
H4,2016,2016,2016,5,0,0,X,975,ASEAN,R4 ,4,Afghanistan,AFG,0,World,W00,C00,All CPCs,9900,Other,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,160716983,,160716983.524,4
H4,2016,2016,2016,5,0,0,X,975,ASEAN,R4 ,8,Albania,ALB,0,World,W00,C00,All CPCs,9900,Other,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,27715795,,27715795.61,4
H4,2016,2016,2016,5,0,0,X,975,ASEAN,R4 ,12,Algeria,DZA,0,World,W00,C00,All CPCs,9900,Other,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,693587504,,693587504.097,4
H4,2016,2016,2016,5,0,0,X,975,ASEAN,R4 ,16,American Samoa,ASM,0,World,W00,C00,All CPCs,9900,Other,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,60768040,,60768040.929,4
H4,2016,2016,2016,5,0,0,X,975,ASEAN,R4 ,20,Andorra,AND,0,World,W00,C00,All CPCs,9900,Other,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,713185,,713185.161,4
H4,2016,2016,2016,5,0,0,X,975,ASEAN,R4 ,24,Angola,AGO,0,World,W00,C00,All CPCs,9900,Other,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,480626743,,480626743.497,4
H4,2016,2016,2016,5,0,0,X,975,ASEAN,R4 ,28,Antigua and Barbuda,ATG,0,World,W00,C00,All CPCs,9900,Other,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,133408092,,133408092.222,4
H4,2016,2016,2016,5,0,0,X,975,ASEAN,R4 ,31,Azerbaijan,AZE,0,World,W00,C00,All CPCs,9900,Other,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,56572230,,56572230.934,4
H4,2016,2016,2016,5,0,0,X,975,ASEAN,R4 ,32,Argentina,ARG,0,World,W00,C00,All CPCs,9900,Other,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,2019491229,,2019491229.834,4
H4,2016,2016,2016,5,0,0,X,975,ASEAN,R4 ,36,Australia,AUS,0,World,W00,C00,All CPCs,9900,Other,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,33020162863,,33020162863.814,4
H4,2016,2016,2016,5,0,0,X,975,ASEAN,R4 ,40,Austria,AUT,0,World,W00,C00,All CPCs,9900,Other,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,3195541611,,3195541611.222,4
H4,2016,2016,2016,5,0,0,X,975,ASEAN,R4 ,44,Bahamas,BHS,0,World,W00,C00,All CPCs,9900,Other,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,482583076,,482583076.179,4
H4,2016,2016,2016,5,0,0,X,975,ASEAN,R4 ,48,Bahrain,BHR,0,World,W00,C00,All CPCs,9900,Other,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,404262381,,404262381.964,4
H4,2016,2016,2016,5,0,0,X,975,ASEAN,R4 ,50,Bangladesh,BGD,0,World,W00,C00,All CPCs,9900,Other,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,6649772149,,6649772149.729,4
H4,2016,2016,2016,5,0,0,X,975,ASEAN,R4 ,51,Armenia,ARM,0,World,W00,C00,All CPCs,9900,Other,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,9099565,,9099565.202,4
H4,2016,2016,2016,5,0,0,X,975,ASEAN,R4 ,52,Barbados,BRB,0,World,W00,C00,All CPCs,9900,Other,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,24177525,,24177525.442,4
H4,2016,2016,2016,5,0,0,X,975,ASEAN,R4 ,56,Belgium,BEL,0,World,W00,C00,All CPCs,9900,Other,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,11913572522,,11913572522.554,4
H4,2016,2016,2016,5,0,0,X,975,ASEAN,R4 ,60,Bermuda,BMU,0,World,W00,C00,All CPCs,9900,Other,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,84848777,,84848777.348,4
H4,2016,2016,2016,5,0,0,X,975,ASEAN,R4 ,64,Bhutan,BTN,0,World,W00,C00,All CPCs,9900,Other,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,40082341,,40082341.327,4
H4,2016,2016,2016,5,0,0,X,975,ASEAN,R4 ,68,Bolivia (Plurinational State of),BOL,0,World,W00,C00,All CPCs,9900,Other,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,63339599,,63339599.156,4
H4,2016,2016,2016,5,0,0,X,975,ASEAN,R4 ,70,Bosnia Herzegovina,BIH,0,World,W00,C00,All CPCs,9900,Other,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,9754352,,9754352.384,4
H4,2016,2016,2016,5,0,0,X,975,ASEAN,R4 ,72,Botswana,BWA,0,World,W00,C00,All CPCs,9900,Other,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,28911759,,28911759.533,4
H4,2016,2016,2016,5,0,0,X,975,ASEAN,R4 ,76,Brazil,BRA,0,World,W00,C00,All CPCs,9900,Other,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,5645996235,,5645996235.569,4
