Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2016,2016,2016,5,0,0,M,31,Azerbaijan,AZE,4,Afghanistan,AFG,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,819,819.13,,0
H4,2016,2016,2016,5,0,0,M,31,Azerbaijan,AZE,8,Albania,ALB,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,234066,234066.34,,0
H4,2016,2016,2016,5,0,0,M,31,Azerbaijan,AZE,20,Andorra,AND,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,17397,17397.31,,0
H4,2016,2016,2016,5,0,0,M,31,Azerbaijan,AZE,12,Algeria,DZA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,383263,383263.83,,0
H4,2016,2016,2016,5,0,0,M,31,Azerbaijan,AZE,24,Angola,AGO,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,776,776.83,,0
H4,2016,2016,2016,5,0,0,M,31,Azerbaijan,AZE,28,Antigua and Barbuda,ATG,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,9157,9157.34,,0
H4,2016,2016,2016,5,0,0,M,31,Azerbaijan,AZE,32,Argentina,ARG,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,12924032,12924032.08,,0
H4,2016,2016,2016,5,0,0,M,31,Azerbaijan,AZE,36,Australia,AUS,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,7815324,7815324.7,,0
H4,2016,2016,2016,5,0,0,M,31,Azerbaijan,AZE,44,Bahamas,BHS,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,9386,9386.45,,0
H4,2016,2016,2016,5,0,0,M,31,Azerbaijan,AZE,48,Bahrain,BHR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,103204,103204.87,,0
H4,2016,2016,2016,5,0,0,M,31,Azerbaijan,AZE,50,Bangladesh,BGD,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,8517398,8517398.54,,0
H4,2016,2016,2016,5,0,0,M,31,Azerbaijan,AZE,52,Barbados,BRB,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,68789,68789.4,,0
H4,2016,2016,2016,5,0,0,M,31,Azerbaijan,AZE,68,Bolivia (Plurinational State of),BOL,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,3699,3699.16,,0
H4,2016,2016,2016,5,0,0,M,31,Azerbaijan,AZE,70,Bosnia Herzegovina,BIH,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,276865,276865.97,,0
H4,2016,2016,2016,5,0,0,M,31,Azerbaijan,AZE,72,Botswana,BWA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,47,47.45,,0
H4,2016,2016,2016,5,0,0,M,31,Azerbaijan,AZE,84,Belize,BLZ,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,19110,19110,,0
H4,2016,2016,2016,5,0,0,M,31,Azerbaijan,AZE,92,Br. Virgin Isds,VGB,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,127476,127476.12,,0
H4,2016,2016,2016,5,0,0,M,31,Azerbaijan,AZE,100,Bulgaria,BGR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,39423405,39423405.69,,0
H4,2016,2016,2016,5,0,0,M,31,Azerbaijan,AZE,104,Myanmar,MMR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,208139,208139.61,,0
H4,2016,2016,2016,5,0,0,M,31,Azerbaijan,AZE,108,Burundi,BDI,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,5416,5416.32,,0
H4,2016,2016,2016,5,0,0,M,31,Azerbaijan,AZE,116,Cambodia,KHM,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,2331771,2331771.5,,0
H4,2016,2016,2016,5,0,0,M,31,Azerbaijan,AZE,120,Cameroon,CMR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,3020,3020.02,,0
H4,2016,2016,2016,5,0,0,M,31,Azerbaijan,AZE,136,Cayman Isds,CYM,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,27124,27124.35,,0
H4,2016,2016,2016,5,0,0,M,31,Azerbaijan,AZE,140,Central African Rep.,CAF,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,23953,23953.01,,0
H4,2016,2016,2016,5,0,0,M,31,Azerbaijan,AZE,144,Sri Lanka,LKA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,44190524,44190524.63,,0
H4,2016,2016,2016,5,0,0,M,31,Azerbaijan,AZE,152,Chile,CHL,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,3448790,3448790.44,,0
H4,2016,2016,2016,5,0,0,M,31,Azerbaijan,AZE,174,Comoros,COM,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,17565,17565.51,,0
H4,2016,2016,2016,5,0,0,M,31,Azerbaijan,AZE,170,Colombia,COL,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,160947,160947.09,,0
H4,2016,2016,2016,5,0,0,M,31,Azerbaijan,AZE,178,Congo,COG,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,1408,1408.51,,0
H4,2016,2016,2016,5,0,0,M,31,Azerbaijan,AZE,188,Costa Rica,CRI,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,1131011,1131011.08,,0
H4,2016,2016,2016,5,0,0,M,31,Azerbaijan,AZE,192,Cuba,CUB,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,69860,69860.48,,0
H4,2016,2016,2016,5,0,0,M,31,Azerbaijan,AZE,196,Cyprus,CYP,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,583654,583654.86,,0
H4,2016,2016,2016,5,0,0,M,31,Azerbaijan,AZE,204,Benin,BEN,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,215000,215000,,0
H4,2016,2016,2016,5,0,0,M,31,Azerbaijan,AZE,214,Dominican Rep.,DOM,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,73579,73579.69,,0
