Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2016,2016,2016,5,0,0,X,44,Bahamas,BHS,616,Poland,POL,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,195810,,195810,4
H4,2016,2016,2016,5,0,0,X,44,Bahamas,BHS,620,Portugal,PRT,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,1500,,1500,0
H4,2016,2016,2016,5,0,0,X,44,Bahamas,BHS,757,Switzerland,CHE,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,118976,,118976,4
H4,2016,2016,2016,5,0,0,X,44,Bahamas,BHS,251,France,FRA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,27625839,,27625839,4
H4,2016,2016,2016,5,0,0,X,44,Bahamas,BHS,430,Liberia,LBR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,4000,,4000,0
H4,2016,2016,2016,5,0,0,X,44,Bahamas,BHS,480,Mauritius,MUS,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,33223,,33223,0
H4,2016,2016,2016,5,0,0,X,44,Bahamas,BHS,579,Norway,NOR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,99192,,99192,4
H4,2016,2016,2016,5,0,0,M,44,Bahamas,BHS,702,Singapore,SGP,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,790488,790488,,4
H4,2016,2016,2016,5,0,0,M,44,Bahamas,BHS,643,Russian Federation,RUS,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,70,70,,0
H4,2016,2016,2016,5,0,0,M,44,Bahamas,BHS,484,Mexico,MEX,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,16141223,16141223,,4
H4,2016,2016,2016,5,0,0,M,44,Bahamas,BHS,352,Iceland,ISL,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,130593,130593,,4
H4,2016,2016,2016,5,0,0,M,44,Bahamas,BHS,300,Greece,GRC,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,148125,148125,,4
H4,2016,2016,2016,5,0,0,M,44,Bahamas,BHS,212,Dominica,DMA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,3299244,3299244,,4
H4,2016,2016,2016,5,0,0,M,44,Bahamas,BHS,218,Ecuador,ECU,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,513602,513602,,4
H4,2016,2016,2016,5,0,0,M,44,Bahamas,BHS,231,Ethiopia,ETH,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,2308,2308,,4
H4,2016,2016,2016,5,0,0,M,44,Bahamas,BHS,558,Nicaragua,NIC,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,24015,24015,,0
H4,2016,2016,2016,5,0,0,M,44,Bahamas,BHS,410,Rep. of Korea,KOR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,8335974,8335974,,4
H4,2016,2016,2016,5,0,0,M,44,Bahamas,BHS,480,Mauritius,MUS,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,805,805,,4
H4,2016,2016,2016,5,0,0,M,44,Bahamas,BHS,826,United Kingdom,GBR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,22296046,22296046,,4
H4,2016,2016,2016,5,0,0,M,44,Bahamas,BHS,780,Trinidad and Tobago,TTO,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,8117979,8117979,,4
H4,2016,2016,2016,5,0,0,X,44,Bahamas,BHS,804,Ukraine,UKR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,5000,,5000,0
H4,2016,2016,2016,5,0,0,X,44,Bahamas,BHS,842,USA,USA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,334307886,,334307886,4
H4,2016,2016,2016,5,0,0,X,44,Bahamas,BHS,422,Lebanon,LBN,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,18266,,18266,0
H4,2016,2016,2016,5,0,0,X,44,Bahamas,BHS,558,Nicaragua,NIC,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,0,97888,,97888,4
H4,2016,2016,2016,5,0,0,M,44,Bahamas,BHS,28,Antigua and Barbuda,ATG,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,6314,6314,,4
H4,2016,2016,2016,5,0,0,M,44,Bahamas,BHS,152,Chile,CHL,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,1257472,1257472,,4
H4,2016,2016,2016,5,0,0,M,44,Bahamas,BHS,124,Canada,CAN,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,22706353,22706353,,4
H4,2016,2016,2016,5,0,0,M,44,Bahamas,BHS,442,Luxembourg,LUX,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,10285,10285,,0
H4,2016,2016,2016,5,0,0,M,44,Bahamas,BHS,604,Peru,PER,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,6247901,6247901,,4
H4,2016,2016,2016,5,0,0,M,44,Bahamas,BHS,620,Portugal,PRT,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,353981,353981,,4
H4,2016,2016,2016,5,0,0,M,44,Bahamas,BHS,760,Syria,SYR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,29751,29751,,4
H4,2016,2016,2016,5,0,0,X,44,Bahamas,BHS,699,India,IND,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,78792,,78792,4
H4,2016,2016,2016,5,0,0,X,44,Bahamas,BHS,792,Turkey,TUR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,9673,,9673,0
H4,2016,2016,2016,5,0,0,X,44,Bahamas,BHS,124,Canada,CAN,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,2091061,,2091061,4
H4,2016,2016,2016,5,0,0,X,44,Bahamas,BHS,192,Cuba,CUB,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,3055,,3055,4
H4,2016,2016,2016,5,0,0,X,44,Bahamas,BHS,332,Haiti,HTI,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,87640,,87640,4
H4,2016,2016,2016,5,0,0,X,44,Bahamas,BHS,528,Netherlands,NLD,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,1134004,,1134004,4
H4,2016,2016,2016,5,0,0,X,44,Bahamas,BHS,702,Singapore,SGP,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,338490,,338490,4
H4,2016,2016,2016,5,0,0,X,44,Bahamas,BHS,752,Sweden,SWE,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,573671,,573671,0
H4,2016,2016,2016,5,0,0,X,44,Bahamas,BHS,826,United Kingdom,GBR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,13434367,,13434367,4
