Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2016,2016,2016,5,0,0,X,56,Belgium,BEL,10,Antarctica,ATA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,16787,0,16787.051,0
H4,2016,2016,2016,5,0,0,X,56,Belgium,BEL,16,American Samoa,ASM,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,53660,0,53660.298,0
H4,2016,2016,2016,5,0,0,X,56,Belgium,BEL,86,Br. Indian Ocean Terr.,IOT,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,48,0,48.639,0
H4,2016,2016,2016,5,0,0,X,56,Belgium,BEL,90,Solomon Isds,SLB,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,133885,0,133885.54,0
H4,2016,2016,2016,5,0,0,X,56,Belgium,BEL,136,Cayman Isds,CYM,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,320343,0,320343.841,0
H4,2016,2016,2016,5,0,0,X,56,Belgium,BEL,166,Cocos Isds,CCK,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,47507,0,47507.669,0
H4,2016,2016,2016,5,0,0,X,56,Belgium,BEL,184,Cook Isds,COK,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,97296,0,97296.644,0
H4,2016,2016,2016,5,0,0,X,56,Belgium,BEL,238,Falkland Isds (Malvinas),FLK,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,4730,0,4730.541,0
H4,2016,2016,2016,5,0,0,X,56,Belgium,BEL,239,South Georgia and the South Sandwich Islands,SGS,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,92205,0,92205.49,0
H4,2016,2016,2016,5,0,0,X,56,Belgium,BEL,296,Kiribati,KIR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,142952,0,142952.997,0
H4,2016,2016,2016,5,0,0,X,56,Belgium,BEL,334,Heard Island and McDonald Islands,HMD,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,5533,0,5533.418,0
H4,2016,2016,2016,5,0,0,X,56,Belgium,BEL,408,Dem. People's Rep. of Korea,PRK,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,3873874,0,3873874.88,0
H4,2016,2016,2016,5,0,0,X,56,Belgium,BEL,500,Montserrat,MSR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,45944,0,45944.81,0
H4,2016,2016,2016,5,0,0,X,56,Belgium,BEL,535,Bonaire,BES,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,698841,0,698841.559,0
H4,2016,2016,2016,5,0,0,X,56,Belgium,BEL,548,Vanuatu,VUT,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,218285,0,218285.957,0
H4,2016,2016,2016,5,0,0,X,56,Belgium,BEL,568,"Other Europe, nes",E19,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,190346,0,190346.213,0
H4,2016,2016,2016,5,0,0,X,56,Belgium,BEL,574,Norfolk Isds,NFK,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,1383,0,1383.354,0
H4,2016,2016,2016,5,0,0,X,56,Belgium,BEL,577,"Other Africa, nes",F19,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,3402467,0,3402467.057,0
H4,2016,2016,2016,5,0,0,X,56,Belgium,BEL,580,N. Mariana Isds,MNP,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,16,0,16.744,0
H4,2016,2016,2016,5,0,0,X,56,Belgium,BEL,581,United States Minor Outlying Islands,UMI,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,197914,0,197914.49,0
H4,2016,2016,2016,5,0,0,X,56,Belgium,BEL,585,Palau,PLW,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,4648,0,4648.071,0
H4,2016,2016,2016,5,0,0,X,56,Belgium,BEL,624,Guinea-Bissau,GNB,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,3988711,0,3988711.098,0
H4,2016,2016,2016,5,0,0,X,56,Belgium,BEL,660,Anguilla,AIA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,199995,0,199995.764,0
H4,2016,2016,2016,5,0,0,X,56,Belgium,BEL,670,Saint Vincent and the Grenadines,VCT,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,161607,0,161607.411,0
