Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2016,2016,2016,5,0,0,M,204,Benin,BEN,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,2630157599,2630157599,,0
H4,2016,2016,2016,5,0,0,M,204,Benin,BEN,4,Afghanistan,AFG,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,32168,32168,,0
H4,2016,2016,2016,5,0,0,M,204,Benin,BEN,8,Albania,ALB,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,88188,88188,,0
H4,2016,2016,2016,5,0,0,M,204,Benin,BEN,12,Algeria,DZA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,2159927,2159927,,0
H4,2016,2016,2016,5,0,0,M,204,Benin,BEN,20,Andorra,AND,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,8563,8563,,0
H4,2016,2016,2016,5,0,0,M,204,Benin,BEN,24,Angola,AGO,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,33188982,33188982,,0
H4,2016,2016,2016,5,0,0,M,204,Benin,BEN,28,Antigua and Barbuda,ATG,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,57033,57033,,0
H4,2016,2016,2016,5,0,0,M,204,Benin,BEN,32,Argentina,ARG,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,2363464,2363464,,0
H4,2016,2016,2016,5,0,0,M,204,Benin,BEN,40,Austria,AUT,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,468382,468382,,0
H4,2016,2016,2016,5,0,0,M,204,Benin,BEN,48,Bahrain,BHR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,94757,94757,,0
H4,2016,2016,2016,5,0,0,M,204,Benin,BEN,50,Bangladesh,BGD,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,76716,76716,,0
H4,2016,2016,2016,5,0,0,M,204,Benin,BEN,51,Armenia,ARM,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,10876,10876,,0
H4,2016,2016,2016,5,0,0,M,204,Benin,BEN,36,Australia,AUS,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,715234,715234,,0
H4,2016,2016,2016,5,0,0,M,204,Benin,BEN,56,Belgium,BEL,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,122625049,122625049,,0
H4,2016,2016,2016,5,0,0,M,204,Benin,BEN,68,Bolivia (Plurinational State of),BOL,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,568,568,,0
H4,2016,2016,2016,5,0,0,M,204,Benin,BEN,70,Bosnia Herzegovina,BIH,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,136371,136371,,0
H4,2016,2016,2016,5,0,0,M,204,Benin,BEN,72,Botswana,BWA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,2597,2597,,0
H4,2016,2016,2016,5,0,0,M,204,Benin,BEN,76,Brazil,BRA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,52104472,52104472,,0
H4,2016,2016,2016,5,0,0,M,204,Benin,BEN,100,Bulgaria,BGR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,446342,446342,,0
H4,2016,2016,2016,5,0,0,M,204,Benin,BEN,108,Burundi,BDI,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,8227,8227,,0
H4,2016,2016,2016,5,0,0,M,204,Benin,BEN,124,Canada,CAN,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,6758075,6758075,,0
H4,2016,2016,2016,5,0,0,M,204,Benin,BEN,132,Cabo Verde,CPV,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,4546,4546,,0
H4,2016,2016,2016,5,0,0,M,204,Benin,BEN,120,Cameroon,CMR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,5344267,5344267,,0
H4,2016,2016,2016,5,0,0,M,204,Benin,BEN,144,Sri Lanka,LKA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,464678,464678,,0
H4,2016,2016,2016,5,0,0,M,204,Benin,BEN,148,Chad,TCD,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,11217,11217,,0
H4,2016,2016,2016,5,0,0,M,204,Benin,BEN,152,Chile,CHL,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,448297,448297,,0
