Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2016,2016,2016,5,0,0,M,96,Brunei Darussalam,BRN,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,2678505864,2678505864,,0
H4,2016,2016,2016,5,0,0,M,96,Brunei Darussalam,BRN,4,Afghanistan,AFG,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,3772,3772,,0
H4,2016,2016,2016,5,0,0,M,96,Brunei Darussalam,BRN,8,Albania,ALB,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,819,819,,0
H4,2016,2016,2016,5,0,0,M,96,Brunei Darussalam,BRN,24,Angola,AGO,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,3577,3577,,0
H4,2016,2016,2016,5,0,0,M,96,Brunei Darussalam,BRN,32,Argentina,ARG,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,6484393,6484393,,0
H4,2016,2016,2016,5,0,0,M,96,Brunei Darussalam,BRN,36,Australia,AUS,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,43379919,43379919,,0
H4,2016,2016,2016,5,0,0,M,96,Brunei Darussalam,BRN,44,Bahamas,BHS,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,364,364,,0
H4,2016,2016,2016,5,0,0,M,96,Brunei Darussalam,BRN,48,Bahrain,BHR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,4552,4552,,0
H4,2016,2016,2016,5,0,0,M,96,Brunei Darussalam,BRN,50,Bangladesh,BGD,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,1288464,1288464,,0
H4,2016,2016,2016,5,0,0,M,96,Brunei Darussalam,BRN,56,Belgium,BEL,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,43950997,43950997,,0
