Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2016,2016,2016,5,0,0,M,120,Cameroon,CMR,12,Algeria,DZA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,1539100,1539100,,0
H4,2016,2016,2016,5,0,0,M,120,Cameroon,CMR,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,4898887030,4898887030,,0
H4,2016,2016,2016,5,0,0,M,120,Cameroon,CMR,4,Afghanistan,AFG,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,1139,1139,,0
H4,2016,2016,2016,5,0,0,M,120,Cameroon,CMR,16,American Samoa,ASM,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,27714,27714,,0
H4,2016,2016,2016,5,0,0,M,120,Cameroon,CMR,20,Andorra,AND,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,41598,41598,,0
H4,2016,2016,2016,5,0,0,M,120,Cameroon,CMR,24,Angola,AGO,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,7115997,7115997,,0
H4,2016,2016,2016,5,0,0,M,120,Cameroon,CMR,28,Antigua and Barbuda,ATG,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,17742461,17742461,,0
H4,2016,2016,2016,5,0,0,M,120,Cameroon,CMR,31,Azerbaijan,AZE,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,1188,1188,,0
H4,2016,2016,2016,5,0,0,M,120,Cameroon,CMR,8,Albania,ALB,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,467297,467297,,0
H4,2016,2016,2016,5,0,0,M,120,Cameroon,CMR,32,Argentina,ARG,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,33408432,33408432,,0
H4,2016,2016,2016,5,0,0,M,120,Cameroon,CMR,36,Australia,AUS,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,8721011,8721011,,0
H4,2016,2016,2016,5,0,0,M,120,Cameroon,CMR,40,Austria,AUT,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,7745492,7745492,,0
H4,2016,2016,2016,5,0,0,M,120,Cameroon,CMR,44,Bahamas,BHS,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,79731,79731,,0
H4,2016,2016,2016,5,0,0,M,120,Cameroon,CMR,48,Bahrain,BHR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,26827,26827,,0
H4,2016,2016,2016,5,0,0,M,120,Cameroon,CMR,50,Bangladesh,BGD,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,2394478,2394478,,0
H4,2016,2016,2016,5,0,0,M,120,Cameroon,CMR,51,Armenia,ARM,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,31208,31208,,0
