Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2016,2016,2016,5,0,0,RX,344,"China, Hong Kong SAR",HKG,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,491062634702,,491062634702.21,0
H4,2016,2016,2016,5,0,0,RX,344,"China, Hong Kong SAR",HKG,156,China,CHN,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,270838239811,,270838239811.958,0
H4,2016,2016,2016,5,0,0,RX,344,"China, Hong Kong SAR",HKG,842,USA,USA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,41340035689,,41340035689.894,0
H4,2016,2016,2016,5,0,0,RX,344,"China, Hong Kong SAR",HKG,446,"China, Macao SAR",MAC,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,5091208358,,5091208358.39,0
H4,2016,2016,2016,5,0,0,RX,344,"China, Hong Kong SAR",HKG,490,"Other Asia, nes",S19,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,9421401363,,9421401363.395,0
H4,2016,2016,2016,5,0,0,RX,344,"China, Hong Kong SAR",HKG,702,Singapore,SGP,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,8792345671,,8792345671.171,0
H4,2016,2016,2016,5,0,0,RX,344,"China, Hong Kong SAR",HKG,392,Japan,JPN,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,14902868900,,14902868900.222,0
H4,2016,2016,2016,5,0,0,RX,344,"China, Hong Kong SAR",HKG,36,Australia,AUS,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,4550558280,,4550558280.859,0
H4,2016,2016,2016,5,0,0,RX,344,"China, Hong Kong SAR",HKG,458,Malaysia,MYS,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,3356573823,,3356573823.286,0
H4,2016,2016,2016,5,0,0,RX,344,"China, Hong Kong SAR",HKG,4,Afghanistan,AFG,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,4855432,,4855432.316,0
