Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2016,2016,2016,5,0,0,M,446,"China, Macao SAR",MAC,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,8924463347,8924463347,,0
H4,2016,2016,2016,5,0,0,M,446,"China, Macao SAR",MAC,8,Albania,ALB,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,362689,362689,,0
H4,2016,2016,2016,5,0,0,M,446,"China, Macao SAR",MAC,32,Argentina,ARG,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,6295701,6295701,,0
H4,2016,2016,2016,5,0,0,M,446,"China, Macao SAR",MAC,40,Austria,AUT,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,5052737,5052737,,0
H4,2016,2016,2016,5,0,0,M,446,"China, Macao SAR",MAC,44,Bahamas,BHS,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,61430,61430,,0
H4,2016,2016,2016,5,0,0,M,446,"China, Macao SAR",MAC,36,Australia,AUS,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,109079258,109079258,,0
H4,2016,2016,2016,5,0,0,M,446,"China, Macao SAR",MAC,51,Armenia,ARM,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,43060,43060,,0
H4,2016,2016,2016,5,0,0,M,446,"China, Macao SAR",MAC,52,Barbados,BRB,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,43,43,,0
H4,2016,2016,2016,5,0,0,M,446,"China, Macao SAR",MAC,76,Brazil,BRA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,48613029,48613029,,0
H4,2016,2016,2016,5,0,0,M,446,"China, Macao SAR",MAC,92,Br. Virgin Isds,VGB,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,9662,9662,,0
H4,2016,2016,2016,5,0,0,M,446,"China, Macao SAR",MAC,96,Brunei Darussalam,BRN,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,1211,1211,,0
H4,2016,2016,2016,5,0,0,M,446,"China, Macao SAR",MAC,56,Belgium,BEL,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,16570740,16570740,,0
H4,2016,2016,2016,5,0,0,M,446,"China, Macao SAR",MAC,60,Bermuda,BMU,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,881,881,,0
H4,2016,2016,2016,5,0,0,M,446,"China, Macao SAR",MAC,64,Bhutan,BTN,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,7503,7503,,0
H4,2016,2016,2016,5,0,0,M,446,"China, Macao SAR",MAC,68,Bolivia (Plurinational State of),BOL,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,13093,13093,,0
H4,2016,2016,2016,5,0,0,M,446,"China, Macao SAR",MAC,50,Bangladesh,BGD,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,3604848,3604848,,0
H4,2016,2016,2016,5,0,0,M,446,"China, Macao SAR",MAC,100,Bulgaria,BGR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,1745086,1745086,,0
