Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2016,2016,2016,5,0,0,M,174,Comoros,COM,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,196288951,196288951.591,,4
H4,2016,2016,2016,5,0,0,M,174,Comoros,COM,0,World,W00,0,World,W00,C00,All CPCs,1000,Air,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,4862728,4862728.566,,4
H4,2016,2016,2016,5,0,0,M,174,Comoros,COM,0,World,W00,0,World,W00,C00,All CPCs,2100,Sea,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,191426223,191426223.025,,4
H4,2016,2016,2016,5,0,0,M,174,Comoros,COM,8,Albania,ALB,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,95,95.643,,0
H4,2016,2016,2016,5,0,0,M,174,Comoros,COM,8,Albania,ALB,0,World,W00,C00,All CPCs,2100,Sea,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,95,95.643,,0
H4,2016,2016,2016,5,0,0,M,174,Comoros,COM,12,Algeria,DZA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,103,103.391,,0
H4,2016,2016,2016,5,0,0,M,174,Comoros,COM,12,Algeria,DZA,0,World,W00,C00,All CPCs,2100,Sea,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,103,103.391,,0
H4,2016,2016,2016,5,0,0,M,174,Comoros,COM,16,American Samoa,ASM,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,884,884.775,,0
H4,2016,2016,2016,5,0,0,M,174,Comoros,COM,16,American Samoa,ASM,0,World,W00,C00,All CPCs,2100,Sea,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,884,884.775,,0
H4,2016,2016,2016,5,0,0,M,174,Comoros,COM,20,Andorra,AND,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,10883,10883.658,,0
H4,2016,2016,2016,5,0,0,M,174,Comoros,COM,20,Andorra,AND,0,World,W00,C00,All CPCs,1000,Air,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,34,34.2,,0
H4,2016,2016,2016,5,0,0,M,174,Comoros,COM,20,Andorra,AND,0,World,W00,C00,All CPCs,2100,Sea,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,10849,10849.458,,0
H4,2016,2016,2016,5,0,0,M,174,Comoros,COM,28,Antigua and Barbuda,ATG,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,2792,2792.096,,0
H4,2016,2016,2016,5,0,0,M,174,Comoros,COM,28,Antigua and Barbuda,ATG,0,World,W00,C00,All CPCs,2100,Sea,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,2792,2792.096,,0
H4,2016,2016,2016,5,0,0,M,174,Comoros,COM,32,Argentina,ARG,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,650637,650637.133,,0
H4,2016,2016,2016,5,0,0,M,174,Comoros,COM,32,Argentina,ARG,0,World,W00,C00,All CPCs,2100,Sea,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,650637,650637.133,,0
H4,2016,2016,2016,5,0,0,M,174,Comoros,COM,36,Australia,AUS,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,6212,6212.004,,0
H4,2016,2016,2016,5,0,0,M,174,Comoros,COM,36,Australia,AUS,0,World,W00,C00,All CPCs,1000,Air,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,47,47.879,,0
H4,2016,2016,2016,5,0,0,M,174,Comoros,COM,36,Australia,AUS,0,World,W00,C00,All CPCs,2100,Sea,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,6164,6164.125,,0
H4,2016,2016,2016,5,0,0,M,174,Comoros,COM,40,Austria,AUT,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,493336,493336.132,,0
H4,2016,2016,2016,5,0,0,M,174,Comoros,COM,40,Austria,AUT,0,World,W00,C00,All CPCs,2100,Sea,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,493336,493336.132,,0
H4,2016,2016,2016,5,0,0,M,174,Comoros,COM,50,Bangladesh,BGD,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,64989,64989.313,,0
H4,2016,2016,2016,5,0,0,M,174,Comoros,COM,50,Bangladesh,BGD,0,World,W00,C00,All CPCs,2100,Sea,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,64989,64989.313,,0
H4,2016,2016,2016,5,0,0,M,174,Comoros,COM,31,Azerbaijan,AZE,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,3057,3057.316,,0
H4,2016,2016,2016,5,0,0,M,174,Comoros,COM,31,Azerbaijan,AZE,0,World,W00,C00,All CPCs,2100,Sea,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,3057,3057.316,,0
H4,2016,2016,2016,5,0,0,M,174,Comoros,COM,56,Belgium,BEL,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,1015541,1015541.298,,0
H4,2016,2016,2016,5,0,0,M,174,Comoros,COM,56,Belgium,BEL,0,World,W00,C00,All CPCs,1000,Air,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,246153,246153.335,,0
H4,2016,2016,2016,5,0,0,M,174,Comoros,COM,56,Belgium,BEL,0,World,W00,C00,All CPCs,2100,Sea,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,769387,769387.963,,0
H4,2016,2016,2016,5,0,0,M,174,Comoros,COM,124,Canada,CAN,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,139399,139399.242,,0
H4,2016,2016,2016,5,0,0,M,174,Comoros,COM,124,Canada,CAN,0,World,W00,C00,All CPCs,1000,Air,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,129563,129563.164,,0
H4,2016,2016,2016,5,0,0,M,174,Comoros,COM,124,Canada,CAN,0,World,W00,C00,All CPCs,2100,Sea,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,9836,9836.078,,0
H4,2016,2016,2016,5,0,0,M,174,Comoros,COM,132,Cabo Verde,CPV,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,56,56.191,,0
