Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2016,2016,2016,5,0,0,M,180,Dem. Rep. of the Congo,COD,0,World,W00,784,United Arab Emirates,ARE,C00,All CPCs,2100,Sea,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,74503084,74503084.907,0,4
H4,2016,2016,2016,5,0,0,M,180,Dem. Rep. of the Congo,COD,0,World,W00,404,Kenya,KEN,C00,All CPCs,3200,Road,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,193020413,193020413.764,0,4
H4,2016,2016,2016,5,0,0,M,180,Dem. Rep. of the Congo,COD,0,World,W00,508,Mozambique,MOZ,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,3066180,3066180.715,0,4
H4,2016,2016,2016,5,0,0,M,180,Dem. Rep. of the Congo,COD,0,World,W00,56,Belgium,BEL,C00,All CPCs,1000,Air,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,64267979,64267979.267,0,4
H4,2016,2016,2016,5,0,0,M,180,Dem. Rep. of the Congo,COD,0,World,W00,76,Brazil,BRA,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,26034590,26034590.667,0,4
H4,2016,2016,2016,5,0,0,M,180,Dem. Rep. of the Congo,COD,0,World,W00,894,Zambia,ZMB,C00,All CPCs,2200,Inland waterway,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,4042356,4042356.888,0,4
H4,2016,2016,2016,5,0,0,M,180,Dem. Rep. of the Congo,COD,0,World,W00,156,China,CHN,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,397928718,397928718.512,0,4
H4,2016,2016,2016,5,0,0,M,180,Dem. Rep. of the Congo,COD,0,World,W00,834,United Rep. of Tanzania,TZA,C00,All CPCs,3200,Road,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,195989186,195989186.488,0,4
H4,2016,2016,2016,5,0,0,M,180,Dem. Rep. of the Congo,COD,0,World,W00,422,Lebanon,LBN,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,15807858,15807858.926,0,4
H4,2016,2016,2016,5,0,0,M,180,Dem. Rep. of the Congo,COD,0,World,W00,422,Lebanon,LBN,C00,All CPCs,9900,Other,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,531355,531355.768,0,4
H4,2016,2016,2016,5,0,0,M,180,Dem. Rep. of the Congo,COD,0,World,W00,276,Germany,DEU,C00,All CPCs,1000,Air,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,11313255,11313255.468,0,4
H4,2016,2016,2016,5,0,0,M,180,Dem. Rep. of the Congo,COD,0,World,W00,76,Brazil,BRA,C00,All CPCs,2100,Sea,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,25953801,25953801.62,0,4
H4,2016,2016,2016,5,0,0,M,180,Dem. Rep. of the Congo,COD,0,World,W00,834,United Rep. of Tanzania,TZA,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,233337776,233337776.103,0,4
H4,2016,2016,2016,5,0,0,M,180,Dem. Rep. of the Congo,COD,0,World,W00,156,China,CHN,C00,All CPCs,9900,Other,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,23010880,23010880.56,0,4
H4,2016,2016,2016,5,0,0,M,180,Dem. Rep. of the Congo,COD,0,World,W00,834,United Rep. of Tanzania,TZA,C00,All CPCs,9900,Other,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,33071878,33071878.34,0,4
H4,2016,2016,2016,5,0,0,M,180,Dem. Rep. of the Congo,COD,0,World,W00,56,Belgium,BEL,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,346793235,346793235.033,0,4
H4,2016,2016,2016,5,0,0,M,180,Dem. Rep. of the Congo,COD,0,World,W00,818,Egypt,EGY,C00,All CPCs,2100,Sea,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,18503693,18503693.61,0,4
H4,2016,2016,2016,5,0,0,M,180,Dem. Rep. of the Congo,COD,0,World,W00,826,United Kingdom,GBR,C00,All CPCs,1000,Air,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,7173999,7173999.846,0,4
H4,2016,2016,2016,5,0,0,M,180,Dem. Rep. of the Congo,COD,0,World,W00,56,Belgium,BEL,C00,All CPCs,2100,Sea,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,268311849,268311849.592,0,4
H4,2016,2016,2016,5,0,0,M,180,Dem. Rep. of the Congo,COD,0,World,W00,100,Bulgaria,BGR,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,130549,130549.372,0,4
H4,2016,2016,2016,5,0,0,M,180,Dem. Rep. of the Congo,COD,0,World,W00,826,United Kingdom,GBR,C00,All CPCs,2100,Sea,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,12042833,12042833.984,0,4
H4,2016,2016,2016,5,0,0,M,180,Dem. Rep. of the Congo,COD,0,World,W00,24,Angola,AGO,C00,All CPCs,3200,Road,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,48630660,48630660.732,0,4
H4,2016,2016,2016,5,0,0,M,180,Dem. Rep. of the Congo,COD,0,World,W00,710,South Africa,ZAF,C00,All CPCs,3200,Road,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,656036778,656036778.537,0,4
H4,2016,2016,2016,5,0,0,M,180,Dem. Rep. of the Congo,COD,0,World,W00,834,United Rep. of Tanzania,TZA,C00,All CPCs,2200,Inland waterway,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,4177789,4177789.856,0,4
H4,2016,2016,2016,5,0,0,M,180,Dem. Rep. of the Congo,COD,0,World,W00,646,Rwanda,RWA,C00,All CPCs,9900,Other,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,25949870,25949870.647,0,4
H4,2016,2016,2016,5,0,0,M,180,Dem. Rep. of the Congo,COD,0,World,W00,508,Mozambique,MOZ,C00,All CPCs,3200,Road,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,2857487,2857487.997,0,4
H4,2016,2016,2016,5,0,0,M,180,Dem. Rep. of the Congo,COD,0,World,W00,646,Rwanda,RWA,C00,All CPCs,3200,Road,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,191125137,191125137.374,0,4
H4,2016,2016,2016,5,0,0,M,180,Dem. Rep. of the Congo,COD,0,World,W00,748,Eswatini,SWZ,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,837629,837629.568,0,4
H4,2016,2016,2016,5,0,0,M,180,Dem. Rep. of the Congo,COD,0,World,W00,516,Namibia,NAM,C00,All CPCs,9900,Other,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,16448830,16448830.691,0,4
H4,2016,2016,2016,5,0,0,M,180,Dem. Rep. of the Congo,COD,0,World,W00,818,Egypt,EGY,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,18720035,18720035.606,0,4
H4,2016,2016,2016,5,0,0,M,180,Dem. Rep. of the Congo,COD,0,World,W00,710,South Africa,ZAF,C00,All CPCs,9900,Other,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,46299535,46299535.116,0,4
H4,2016,2016,2016,5,0,0,M,180,Dem. Rep. of the Congo,COD,0,World,W00,380,Italy,ITA,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,26999842,26999842.756,0,4
H4,2016,2016,2016,5,0,0,M,180,Dem. Rep. of the Congo,COD,0,World,W00,404,Kenya,KEN,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,744762563,744762563.482,0,4
H4,2016,2016,2016,5,0,0,M,180,Dem. Rep. of the Congo,COD,0,World,W00,710,South Africa,ZAF,C00,All CPCs,2100,Sea,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,78309036,78309036.477,0,4
H4,2016,2016,2016,5,0,0,M,180,Dem. Rep. of the Congo,COD,0,World,W00,894,Zambia,ZMB,C00,All CPCs,1000,Air,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,2637146,2637146.554,0,4
H4,2016,2016,2016,5,0,0,M,180,Dem. Rep. of the Congo,COD,0,World,W00,24,Angola,AGO,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,65670431,65670431.731,0,4
H4,2016,2016,2016,5,0,0,M,180,Dem. Rep. of the Congo,COD,0,World,W00,826,United Kingdom,GBR,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,19484016,19484016.503,0,4
H4,2016,2016,2016,5,0,0,M,180,Dem. Rep. of the Congo,COD,0,World,W00,646,Rwanda,RWA,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,217852923,217852923.05,0,4
H4,2016,2016,2016,5,0,0,M,180,Dem. Rep. of the Congo,COD,0,World,W00,392,Japan,JPN,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,26071867,26071867.359,0,4
H4,2016,2016,2016,5,0,0,M,180,Dem. Rep. of the Congo,COD,0,World,W00,894,Zambia,ZMB,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,885637162,885637162.72,0,4
H4,2016,2016,2016,5,0,0,M,180,Dem. Rep. of the Congo,COD,0,World,W00,392,Japan,JPN,C00,All CPCs,2100,Sea,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,17997944,17997944.269,0,4
H4,2016,2016,2016,5,0,0,M,180,Dem. Rep. of the Congo,COD,0,World,W00,710,South Africa,ZAF,C00,All CPCs,1000,Air,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,37472988,37472988.13,0,4
H4,2016,2016,2016,5,0,0,M,180,Dem. Rep. of the Congo,COD,0,World,W00,422,Lebanon,LBN,C00,All CPCs,2100,Sea,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,13721852,13721852.593,0,4
