Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2016,2016,2016,5,0,0,X,384,Côte d'Ivoire,CIV,24,Angola,AGO,0,World,W00,C00,All CPCs,2100,Sea,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,5743184,,5743184.629,0
H4,2016,2016,2016,5,0,0,X,384,Côte d'Ivoire,CIV,76,Brazil,BRA,0,World,W00,C00,All CPCs,2100,Sea,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,44259336,,44259336.873,0
H4,2016,2016,2016,5,0,0,X,384,Côte d'Ivoire,CIV,246,Finland,FIN,0,World,W00,C00,All CPCs,1000,Air,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,87350,,87350.066,0
H4,2016,2016,2016,5,0,0,X,384,Côte d'Ivoire,CIV,251,France,FRA,0,World,W00,C00,All CPCs,3200,Road,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,316852,,316852.886,0
H4,2016,2016,2016,5,0,0,X,384,Côte d'Ivoire,CIV,504,Morocco,MAR,0,World,W00,C00,All CPCs,9900,Other,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,47201,,47201.956,0
H4,2016,2016,2016,5,0,0,X,384,Côte d'Ivoire,CIV,682,Saudi Arabia,SAU,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,427251,,427251.127,0
H4,2016,2016,2016,5,0,0,X,384,Côte d'Ivoire,CIV,716,Zimbabwe,ZWE,0,World,W00,C00,All CPCs,2100,Sea,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,332457,,332457.71,0
H4,2016,2016,2016,5,0,0,X,384,Côte d'Ivoire,CIV,548,Vanuatu,VUT,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,43667,,43667.117,0
H4,2016,2016,2016,5,0,0,X,384,Côte d'Ivoire,CIV,548,Vanuatu,VUT,0,World,W00,C00,All CPCs,3200,Road,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,43667,,43667.117,0
H4,2016,2016,2016,5,0,0,X,384,Côte d'Ivoire,CIV,348,Hungary,HUN,0,World,W00,C00,All CPCs,1000,Air,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,498470,,498470.314,0
