Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2016,2016,2016,5,0,0,X,208,Denmark,DNK,4,Afghanistan,AFG,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,7934428,,7934428.725,0
H4,2016,2016,2016,5,0,0,X,208,Denmark,DNK,8,Albania,ALB,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,6630909,,6630909.429,0
H4,2016,2016,2016,5,0,0,X,208,Denmark,DNK,10,Antarctica,ATA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,343328,,343328.833,0
H4,2016,2016,2016,5,0,0,X,208,Denmark,DNK,16,American Samoa,ASM,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,677825,,677825.771,0
H4,2016,2016,2016,5,0,0,X,208,Denmark,DNK,20,Andorra,AND,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,1083934,,1083934.501,0
H4,2016,2016,2016,5,0,0,X,208,Denmark,DNK,24,Angola,AGO,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,13462119,,13462119.713,0
H4,2016,2016,2016,5,0,0,X,208,Denmark,DNK,28,Antigua and Barbuda,ATG,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,1396150,,1396150.52,0
H4,2016,2016,2016,5,0,0,X,208,Denmark,DNK,31,Azerbaijan,AZE,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,21480437,,21480437.694,0
H4,2016,2016,2016,5,0,0,X,208,Denmark,DNK,32,Argentina,ARG,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,118993578,,118993578.296,0
H4,2016,2016,2016,5,0,0,X,208,Denmark,DNK,44,Bahamas,BHS,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,11817869,,11817869.621,0
H4,2016,2016,2016,5,0,0,X,208,Denmark,DNK,50,Bangladesh,BGD,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,59781014,,59781014.707,0
H4,2016,2016,2016,5,0,0,X,208,Denmark,DNK,51,Armenia,ARM,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,4294728,,4294728.01,0
H4,2016,2016,2016,5,0,0,X,208,Denmark,DNK,52,Barbados,BRB,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,2984288,,2984288.745,0
H4,2016,2016,2016,5,0,0,X,208,Denmark,DNK,60,Bermuda,BMU,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,2841212,,2841212.162,0
H4,2016,2016,2016,5,0,0,X,208,Denmark,DNK,64,Bhutan,BTN,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,451343,,451343.748,0
H4,2016,2016,2016,5,0,0,X,208,Denmark,DNK,72,Botswana,BWA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,377626,,377626.95,0
