Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2016,2016,2016,5,0,0,M,748,Eswatini,SWZ,10,Antarctica,ATA,0,World,W00,C00,All CPCs,3200,Road,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,688,688.924,,0
H4,2016,2016,2016,5,0,0,M,748,Eswatini,SWZ,10,Antarctica,ATA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,688,688.924,,0
H4,2016,2016,2016,5,0,0,M,748,Eswatini,SWZ,0,World,W00,0,World,W00,C00,All CPCs,9200,"Postal consignments, mail or courier shipment",TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,673,673.556,,0
H4,2016,2016,2016,5,0,0,M,748,Eswatini,SWZ,0,World,W00,0,World,W00,C00,All CPCs,9100,Pipelines and cables,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,13244,13244.046,,0
H4,2016,2016,2016,5,0,0,M,748,Eswatini,SWZ,0,World,W00,0,World,W00,C00,All CPCs,3200,Road,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,1352352718,1352352718.967,,4
H4,2016,2016,2016,5,0,0,M,748,Eswatini,SWZ,0,World,W00,0,World,W00,C00,All CPCs,3100,Railway,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,174475097,174475097.121,,4
H4,2016,2016,2016,5,0,0,M,748,Eswatini,SWZ,0,World,W00,0,World,W00,C00,All CPCs,2200,Inland waterway,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,3130569,3130569.401,,0
H4,2016,2016,2016,5,0,0,M,748,Eswatini,SWZ,0,World,W00,0,World,W00,C00,All CPCs,2100,Sea,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,448438,448438.798,,0
H4,2016,2016,2016,5,0,0,M,748,Eswatini,SWZ,0,World,W00,0,World,W00,C00,All CPCs,1000,Air,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,6124472,6124472.411,,4
H4,2016,2016,2016,5,0,0,M,748,Eswatini,SWZ,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,1536545214,1536545214.299,,4
H4,2016,2016,2016,5,0,0,M,748,Eswatini,SWZ,32,Argentina,ARG,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,203556,203556.836,,0
H4,2016,2016,2016,5,0,0,M,748,Eswatini,SWZ,32,Argentina,ARG,0,World,W00,C00,All CPCs,3200,Road,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,203556,203556.836,,0
H4,2016,2016,2016,5,0,0,M,748,Eswatini,SWZ,20,Andorra,AND,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,339377,339377.656,,0
H4,2016,2016,2016,5,0,0,M,748,Eswatini,SWZ,20,Andorra,AND,0,World,W00,C00,All CPCs,3200,Road,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,339377,339377.656,,0
H4,2016,2016,2016,5,0,0,M,748,Eswatini,SWZ,24,Angola,AGO,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,1228,1228.304,,0
H4,2016,2016,2016,5,0,0,M,748,Eswatini,SWZ,24,Angola,AGO,0,World,W00,C00,All CPCs,1000,Air,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,1228,1228.304,,0
H4,2016,2016,2016,5,0,0,M,748,Eswatini,SWZ,31,Azerbaijan,AZE,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,6720,6720.157,,0
H4,2016,2016,2016,5,0,0,M,748,Eswatini,SWZ,31,Azerbaijan,AZE,0,World,W00,C00,All CPCs,3200,Road,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,6720,6720.157,,0
H4,2016,2016,2016,5,0,0,M,748,Eswatini,SWZ,36,Australia,AUS,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,1229058,1229058.028,,4
H4,2016,2016,2016,5,0,0,M,748,Eswatini,SWZ,36,Australia,AUS,0,World,W00,C00,All CPCs,1000,Air,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,23641,23641.035,,4
H4,2016,2016,2016,5,0,0,M,748,Eswatini,SWZ,36,Australia,AUS,0,World,W00,C00,All CPCs,3100,Railway,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,1022054,1022054.641,,0
H4,2016,2016,2016,5,0,0,M,748,Eswatini,SWZ,36,Australia,AUS,0,World,W00,C00,All CPCs,3200,Road,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,183362,183362.352,,0
H4,2016,2016,2016,5,0,0,M,748,Eswatini,SWZ,40,Austria,AUT,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,203734,203734.396,,0
H4,2016,2016,2016,5,0,0,M,748,Eswatini,SWZ,40,Austria,AUT,0,World,W00,C00,All CPCs,1000,Air,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,29028,29028.187,,0
H4,2016,2016,2016,5,0,0,M,748,Eswatini,SWZ,40,Austria,AUT,0,World,W00,C00,All CPCs,3100,Railway,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,22830,22830.422,,0
H4,2016,2016,2016,5,0,0,M,748,Eswatini,SWZ,40,Austria,AUT,0,World,W00,C00,All CPCs,3200,Road,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,151875,151875.787,,0
H4,2016,2016,2016,5,0,0,M,748,Eswatini,SWZ,50,Bangladesh,BGD,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,41503,41503.182,,4
H4,2016,2016,2016,5,0,0,M,748,Eswatini,SWZ,50,Bangladesh,BGD,0,World,W00,C00,All CPCs,1000,Air,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,768,768.259,,4
H4,2016,2016,2016,5,0,0,M,748,Eswatini,SWZ,50,Bangladesh,BGD,0,World,W00,C00,All CPCs,3200,Road,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,40734,40734.923,,4
H4,2016,2016,2016,5,0,0,M,748,Eswatini,SWZ,56,Belgium,BEL,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,5549535,5549535.446,,0
H4,2016,2016,2016,5,0,0,M,748,Eswatini,SWZ,56,Belgium,BEL,0,World,W00,C00,All CPCs,1000,Air,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,20724,20724.614,,0
H4,2016,2016,2016,5,0,0,M,748,Eswatini,SWZ,56,Belgium,BEL,0,World,W00,C00,All CPCs,3100,Railway,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,2478579,2478579.912,,0
H4,2016,2016,2016,5,0,0,M,748,Eswatini,SWZ,56,Belgium,BEL,0,World,W00,C00,All CPCs,3200,Road,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,3050230,3050230.92,,0
H4,2016,2016,2016,5,0,0,M,748,Eswatini,SWZ,70,Bosnia Herzegovina,BIH,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,1045,1045.131,,0
H4,2016,2016,2016,5,0,0,M,748,Eswatini,SWZ,70,Bosnia Herzegovina,BIH,0,World,W00,C00,All CPCs,3200,Road,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,1045,1045.131,,0
H4,2016,2016,2016,5,0,0,M,748,Eswatini,SWZ,72,Botswana,BWA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,556425,556425.448,,4
H4,2016,2016,2016,5,0,0,M,748,Eswatini,SWZ,72,Botswana,BWA,0,World,W00,C00,All CPCs,1000,Air,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,14419,14419.575,,0
H4,2016,2016,2016,5,0,0,M,748,Eswatini,SWZ,72,Botswana,BWA,0,World,W00,C00,All CPCs,3200,Road,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,542005,542005.873,,4
H4,2016,2016,2016,5,0,0,M,748,Eswatini,SWZ,76,Brazil,BRA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,1917423,1917423.097,,0
H4,2016,2016,2016,5,0,0,M,748,Eswatini,SWZ,76,Brazil,BRA,0,World,W00,C00,All CPCs,1000,Air,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,3010,3010.361,,0
H4,2016,2016,2016,5,0,0,M,748,Eswatini,SWZ,76,Brazil,BRA,0,World,W00,C00,All CPCs,3100,Railway,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,1404924,1404924.545,,0
H4,2016,2016,2016,5,0,0,M,748,Eswatini,SWZ,76,Brazil,BRA,0,World,W00,C00,All CPCs,3200,Road,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,509488,509488.192,,0
H4,2016,2016,2016,5,0,0,M,748,Eswatini,SWZ,100,Bulgaria,BGR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,3470,3470.221,,0
H4,2016,2016,2016,5,0,0,M,748,Eswatini,SWZ,100,Bulgaria,BGR,0,World,W00,C00,All CPCs,1000,Air,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,381,381.621,,0
