Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,0,0,1,Import,97,EU,EU2,0,World,WLD,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,,,2090461545334,,,4
H5,2017,2017,2017,0,0,2,Export,97,EU,EU2,0,World,WLD,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,,,2120739381137,,,4
H5,2017,2017,2017,0,0,1,Import,97,EU,EU2,4,Afghanistan,AFG,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,24941832,,,4
H5,2017,2017,2017,0,0,2,Export,97,EU,EU2,4,Afghanistan,AFG,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,365357926,,,4
H5,2017,2017,2017,0,0,1,Import,97,EU,EU2,8,Albania,ALB,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,1695442847,,,4
H5,2017,2017,2017,0,0,2,Export,97,EU,EU2,8,Albania,ALB,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,3356560387,,,4
H5,2017,2017,2017,0,0,1,Import,97,EU,EU2,10,Antarctica,ATA,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,6066334,,,4
H5,2017,2017,2017,0,0,2,Export,97,EU,EU2,10,Antarctica,ATA,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,16207965,,,4
H5,2017,2017,2017,0,0,1,Import,97,EU,EU2,12,Algeria,DZA,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,20875253277,,,4
H5,2017,2017,2017,0,0,2,Export,97,EU,EU2,12,Algeria,DZA,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,20998002651,,,4
H5,2017,2017,2017,0,0,1,Import,97,EU,EU2,16,American Samoa,ASM,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,3030451,,,4
H5,2017,2017,2017,0,0,2,Export,97,EU,EU2,16,American Samoa,ASM,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,5149758,,,4
H5,2017,2017,2017,0,0,1,Import,97,EU,EU2,20,Andorra,AND,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,95587335,,,4
H5,2017,2017,2017,0,0,2,Export,97,EU,EU2,20,Andorra,AND,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,1410199525,,,4
H5,2017,2017,2017,0,0,1,Import,97,EU,EU2,24,Angola,AGO,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,2638384767,,,4
H5,2017,2017,2017,0,0,2,Export,97,EU,EU2,24,Angola,AGO,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,4349406396,,,4
H5,2017,2017,2017,0,0,1,Import,97,EU,EU2,28,Antigua and Barbuda,ATG,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,,,124994382,,,4
H5,2017,2017,2017,0,0,2,Export,97,EU,EU2,28,Antigua and Barbuda,ATG,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,288067650,,,4
H5,2017,2017,2017,0,0,1,Import,97,EU,EU2,31,Azerbaijan,AZE,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,10598433643,,,4
H5,2017,2017,2017,0,0,2,Export,97,EU,EU2,31,Azerbaijan,AZE,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,1920037542,,,4
H5,2017,2017,2017,0,0,1,Import,97,EU,EU2,32,Argentina,ARG,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,9229567962,,,4
H5,2017,2017,2017,0,0,2,Export,97,EU,EU2,32,Argentina,ARG,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,10951638035,,,4
H5,2017,2017,2017,0,0,1,Import,97,EU,EU2,36,Australia,AUS,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,14112578789,,,4
H5,2017,2017,2017,0,0,2,Export,97,EU,EU2,36,Australia,AUS,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,38715695373,,,4
H5,2017,2017,2017,0,0,1,Import,97,EU,EU2,44,Bahamas,BHS,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,357396156,,,4
H5,2017,2017,2017,0,0,2,Export,97,EU,EU2,44,Bahamas,BHS,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,1184525712,,,4
H5,2017,2017,2017,0,0,1,Import,97,EU,EU2,48,Bahrain,BHR,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,1010465874,,,4
H5,2017,2017,2017,0,0,2,Export,97,EU,EU2,48,Bahrain,BHR,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,2481252183,,,4
H5,2017,2017,2017,0,0,1,Import,97,EU,EU2,50,Bangladesh,BGD,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,19131568966,,,4
H5,2017,2017,2017,0,0,2,Export,97,EU,EU2,50,Bangladesh,BGD,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,3531407586,,,4
H5,2017,2017,2017,0,0,1,Import,97,EU,EU2,51,Armenia,ARM,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,441122972,,,4
H5,2017,2017,2017,0,0,2,Export,97,EU,EU2,51,Armenia,ARM,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,791550257,,,4
H5,2017,2017,2017,0,0,1,Import,97,EU,EU2,52,Barbados,BRB,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,,,53770530,,,4
