Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2016,2016,2016,5,0,0,M,97,EU-28,EUR,68,Bolivia (Plurinational State of),BOL,0,World,W00,C07,Outward processing,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,11059,11059.995,,0
H4,2016,2016,2016,5,0,0,M,97,EU-28,EUR,887,Yemen,YEM,0,World,W00,C06,Inward processing,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,14366,14366.374,,0
H4,2016,2016,2016,5,0,0,M,97,EU-28,EUR,231,Ethiopia,ETH,0,World,W00,C07,Outward processing,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,24044,24044.285,,0
H4,2016,2016,2016,5,0,0,M,97,EU-28,EUR,24,Angola,AGO,0,World,W00,C06,Inward processing,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,15833337,15833337.973,,0
H4,2016,2016,2016,5,0,0,M,97,EU-28,EUR,226,Equatorial Guinea,GNQ,0,World,W00,C20,CPC N.E.S.,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,6196,6196.695,,0
H4,2016,2016,2016,5,0,0,M,97,EU-28,EUR,531,Curaçao,CUW,0,World,W00,C06,Inward processing,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,1979993,1979993.565,,0
H4,2016,2016,2016,5,0,0,M,97,EU-28,EUR,558,Nicaragua,NIC,0,World,W00,C06,Inward processing,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,1946736,1946736.122,,0
H4,2016,2016,2016,5,0,0,M,97,EU-28,EUR,834,United Rep. of Tanzania,TZA,0,World,W00,C07,Outward processing,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,17926,17926.155,,0
H4,2016,2016,2016,5,0,0,M,97,EU-28,EUR,876,Wallis and Futuna Isds,WLF,0,World,W00,C06,Inward processing,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,9348,9348.158,,0
H4,2016,2016,2016,5,0,0,M,97,EU-28,EUR,218,Ecuador,ECU,0,World,W00,C07,Outward processing,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,1266472,1266472.86,,0
H4,2016,2016,2016,5,0,0,M,97,EU-28,EUR,140,Central African Rep.,CAF,0,World,W00,C06,Inward processing,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,69232,69232.579,,0
H4,2016,2016,2016,5,0,0,M,97,EU-28,EUR,762,Tajikistan,TJK,0,World,W00,C06,Inward processing,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,13489445,13489445.684,,0
H4,2016,2016,2016,5,0,0,M,97,EU-28,EUR,682,Saudi Arabia,SAU,0,World,W00,C07,Outward processing,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,3492661,3492661.133,,0
H4,2016,2016,2016,5,0,0,M,97,EU-28,EUR,690,Seychelles,SYC,0,World,W00,C06,Inward processing,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,596196,596196.237,,0
