Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2016,2016,2016,5,0,0,M,258,French Polynesia,PYF,120,Cameroon,CMR,0,World,W00,C00,All CPCs,2100,Sea,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,61820,61820.663,0,4
H4,2016,2016,2016,5,0,0,M,258,French Polynesia,PYF,191,Croatia,HRV,0,World,W00,C00,All CPCs,1000,Air,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,27135,27135.292,0,4
H4,2016,2016,2016,5,0,0,M,258,French Polynesia,PYF,372,Ireland,IRL,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,6706352,6706352.141,0,4
H4,2016,2016,2016,5,0,0,M,258,French Polynesia,PYF,442,Luxembourg,LUX,0,World,W00,C00,All CPCs,1000,Air,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,125965,125965.532,0,4
H4,2016,2016,2016,5,0,0,M,258,French Polynesia,PYF,858,Uruguay,URY,0,World,W00,C00,All CPCs,1000,Air,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,1732,1732.703,0,4
H4,2016,2016,2016,5,0,0,M,258,French Polynesia,PYF,512,Oman,OMN,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,4169,4169.441,0,0
H4,2016,2016,2016,5,0,0,M,258,French Polynesia,PYF,704,Viet Nam,VNM,0,World,W00,C00,All CPCs,1000,Air,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,1758941,1758941.835,0,4
H4,2016,2016,2016,5,0,0,M,258,French Polynesia,PYF,776,Tonga,TON,0,World,W00,C00,All CPCs,1000,Air,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,79,79.287,0,0
H4,2016,2016,2016,5,0,0,M,258,French Polynesia,PYF,729,Sudan,SDN,0,World,W00,C00,All CPCs,2100,Sea,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,290,290.146,0,0
H4,2016,2016,2016,5,0,0,M,258,French Polynesia,PYF,434,Libya,LBY,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,69,69.393,0,0
H4,2016,2016,2016,5,0,0,M,258,French Polynesia,PYF,328,Guyana,GUY,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,774064,774064.089,0,0
H4,2016,2016,2016,5,0,0,M,258,French Polynesia,PYF,364,Iran,IRN,0,World,W00,C00,All CPCs,2100,Sea,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,8295,8295.929,0,4
H4,2016,2016,2016,5,0,0,M,258,French Polynesia,PYF,90,Solomon Isds,SLB,0,World,W00,C00,All CPCs,1000,Air,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,1479,1479.698,0,0
H4,2016,2016,2016,5,0,0,M,258,French Polynesia,PYF,764,Thailand,THA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,37521150,37521150.605,0,4
