Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2016,2016,2016,5,0,0,X,268,Georgia,GEO,4,Afghanistan,AFG,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,56808,0,56808.53,0
H4,2016,2016,2016,5,0,0,DX,268,Georgia,GEO,4,Afghanistan,AFG,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,52853,0,52853.76,0
H4,2016,2016,2016,5,0,0,RX,268,Georgia,GEO,4,Afghanistan,AFG,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,3954,0,3954.77,0
H4,2016,2016,2016,5,0,0,X,268,Georgia,GEO,8,Albania,ALB,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,207780,0,207780.91,0
H4,2016,2016,2016,5,0,0,RX,268,Georgia,GEO,8,Albania,ALB,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,207780,0,207780.91,0
H4,2016,2016,2016,5,0,0,X,268,Georgia,GEO,12,Algeria,DZA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,656638,0,656638.28,0
H4,2016,2016,2016,5,0,0,DX,268,Georgia,GEO,12,Algeria,DZA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,633878,0,633878.28,0
H4,2016,2016,2016,5,0,0,RX,268,Georgia,GEO,12,Algeria,DZA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,22760,0,22760,0
H4,2016,2016,2016,5,0,0,X,268,Georgia,GEO,24,Angola,AGO,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,2076140,0,2076140.6,0
H4,2016,2016,2016,5,0,0,DX,268,Georgia,GEO,24,Angola,AGO,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,2076140,0,2076140.6,0
H4,2016,2016,2016,5,0,0,RX,268,Georgia,GEO,31,Azerbaijan,AZE,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,104935757,0,104935757.19,0
H4,2016,2016,2016,5,0,0,X,268,Georgia,GEO,36,Australia,AUS,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,948100,0,948100.48,0
H4,2016,2016,2016,5,0,0,DX,268,Georgia,GEO,36,Australia,AUS,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,670893,0,670893.15,0
