Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2016,2016,2016,5,0,0,X,300,Greece,GRC,4,Afghanistan,AFG,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,4736229,,4736229,0
H4,2016,2016,2016,5,0,0,X,300,Greece,GRC,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,27810924841,,27810924841,0
H4,2016,2016,2016,5,0,0,X,300,Greece,GRC,8,Albania,ALB,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,418760845,,418760845,0
H4,2016,2016,2016,5,0,0,X,300,Greece,GRC,10,Antarctica,ATA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,13949673,,13949673,0
H4,2016,2016,2016,5,0,0,X,300,Greece,GRC,12,Algeria,DZA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,224348949,,224348949,0
H4,2016,2016,2016,5,0,0,X,300,Greece,GRC,20,Andorra,AND,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,217161,,217161,0
H4,2016,2016,2016,5,0,0,X,300,Greece,GRC,28,Antigua and Barbuda,ATG,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,12642444,,12642444,0
H4,2016,2016,2016,5,0,0,X,300,Greece,GRC,31,Azerbaijan,AZE,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,26287075,,26287075,0
H4,2016,2016,2016,5,0,0,X,300,Greece,GRC,24,Angola,AGO,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,2959156,,2959156,0
H4,2016,2016,2016,5,0,0,X,300,Greece,GRC,32,Argentina,ARG,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,4144709,,4144709,0
H4,2016,2016,2016,5,0,0,X,300,Greece,GRC,36,Australia,AUS,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,142125940,,142125940,0
H4,2016,2016,2016,5,0,0,X,300,Greece,GRC,40,Austria,AUT,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,219741899,,219741899,0
H4,2016,2016,2016,5,0,0,X,300,Greece,GRC,44,Bahamas,BHS,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,50365622,,50365622,0
H4,2016,2016,2016,5,0,0,X,300,Greece,GRC,48,Bahrain,BHR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,10814740,,10814740,0
H4,2016,2016,2016,5,0,0,X,300,Greece,GRC,50,Bangladesh,BGD,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,31732033,,31732033,0
H4,2016,2016,2016,5,0,0,X,300,Greece,GRC,51,Armenia,ARM,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,11899480,,11899480,0
