Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,0,0,1,Import,304,Greenland,GRL,0,World,WLD,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,760311974,,,4
H5,2017,2017,2017,0,0,2,Export,304,Greenland,GRL,0,World,WLD,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,,,595837190,,,4
H5,2017,2017,2017,0,0,1,Import,304,Greenland,GRL,4,Afghanistan,AFG,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,6578,,,0
H5,2017,2017,2017,0,0,1,Import,304,Greenland,GRL,12,Algeria,DZA,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,1951,,,4
H5,2017,2017,2017,0,0,1,Import,304,Greenland,GRL,20,Andorra,AND,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,123078,,,0
H5,2017,2017,2017,0,0,1,Import,304,Greenland,GRL,28,Antigua and Barbuda,ATG,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,239,,,0
H5,2017,2017,2017,0,0,1,Import,304,Greenland,GRL,31,Azerbaijan,AZE,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,3132,,,0
H5,2017,2017,2017,0,0,1,Import,304,Greenland,GRL,32,Argentina,ARG,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,87720,,,0
H5,2017,2017,2017,0,0,1,Import,304,Greenland,GRL,36,Australia,AUS,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,389405,,,4
H5,2017,2017,2017,0,0,1,Import,304,Greenland,GRL,40,Austria,AUT,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,739411,,,4
H5,2017,2017,2017,0,0,1,Import,304,Greenland,GRL,44,Bahamas,BHS,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,15612,,,0
H5,2017,2017,2017,0,0,1,Import,304,Greenland,GRL,48,Bahrain,BHR,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,960,,,0
H5,2017,2017,2017,0,0,2,Export,304,Greenland,GRL,48,Bahrain,BHR,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,871,,,0
H5,2017,2017,2017,0,0,1,Import,304,Greenland,GRL,50,Bangladesh,BGD,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,1239434,,,4
H5,2017,2017,2017,0,0,1,Import,304,Greenland,GRL,52,Barbados,BRB,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,488,,,0
H5,2017,2017,2017,0,0,1,Import,304,Greenland,GRL,56,Belgium,BEL,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,1832386,,,4
H5,2017,2017,2017,0,0,1,Import,304,Greenland,GRL,68,Bolivia (Plurinational State of),BOL,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,1626,,,0
H5,2017,2017,2017,0,0,1,Import,304,Greenland,GRL,70,Bosnia Herzegovina,BIH,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,2541,,,4
H5,2017,2017,2017,0,0,1,Import,304,Greenland,GRL,76,Brazil,BRA,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,1131880,,,4
H5,2017,2017,2017,0,0,1,Import,304,Greenland,GRL,100,Bulgaria,BGR,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,45047,,,4
H5,2017,2017,2017,0,0,1,Import,304,Greenland,GRL,104,Myanmar,MMR,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,149303,,,4
H5,2017,2017,2017,0,0,1,Import,304,Greenland,GRL,112,Belarus,BLR,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,334,,,0
H5,2017,2017,2017,0,0,1,Import,304,Greenland,GRL,116,Cambodia,KHM,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,203959,,,4
H5,2017,2017,2017,0,0,1,Import,304,Greenland,GRL,120,Cameroon,CMR,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,262,,,0
H5,2017,2017,2017,0,0,1,Import,304,Greenland,GRL,124,Canada,CAN,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,10758353,,,0
H5,2017,2017,2017,0,0,1,Import,304,Greenland,GRL,144,Sri Lanka,LKA,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,36503,,,0
H5,2017,2017,2017,0,0,1,Import,304,Greenland,GRL,152,Chile,CHL,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,900284,,,0
H5,2017,2017,2017,0,0,1,Import,304,Greenland,GRL,156,China,CHN,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,16229387,,,4
H5,2017,2017,2017,0,0,2,Export,304,Greenland,GRL,156,China,CHN,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,247842,,,0
H5,2017,2017,2017,0,0,1,Import,304,Greenland,GRL,166,Cocos Isds,CCK,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,171,,,0
H5,2017,2017,2017,0,0,1,Import,304,Greenland,GRL,170,Colombia,COL,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,6426,,,4
H5,2017,2017,2017,0,0,1,Import,304,Greenland,GRL,188,Costa Rica,CRI,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,56838,,,0
H5,2017,2017,2017,0,0,1,Import,304,Greenland,GRL,191,Croatia,HRV,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,8784,,,0
H5,2017,2017,2017,0,0,1,Import,304,Greenland,GRL,192,Cuba,CUB,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,727,,,0
H5,2017,2017,2017,0,0,1,Import,304,Greenland,GRL,196,Cyprus,CYP,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,1683,,,0
H5,2017,2017,2017,0,0,1,Import,304,Greenland,GRL,203,Czechia,CZE,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,1340319,,,4
H5,2017,2017,2017,0,0,2,Export,304,Greenland,GRL,203,Czechia,CZE,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,537,,,0
H5,2017,2017,2017,0,0,1,Import,304,Greenland,GRL,208,Denmark,DNK,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,467911177,,,4
H5,2017,2017,2017,0,0,2,Export,304,Greenland,GRL,208,Denmark,DNK,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,476310072,,,4
H5,2017,2017,2017,0,0,1,Import,304,Greenland,GRL,214,Dominican Rep.,DOM,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,1146,,,0
H5,2017,2017,2017,0,0,1,Import,304,Greenland,GRL,218,Ecuador,ECU,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,18575,,,0
H5,2017,2017,2017,0,0,1,Import,304,Greenland,GRL,222,El Salvador,SLV,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,1128,,,0
H5,2017,2017,2017,0,0,1,Import,304,Greenland,GRL,233,Estonia,EST,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,494259,,,0
H5,2017,2017,2017,0,0,1,Import,304,Greenland,GRL,234,Faeroe Isds,FRO,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,1096831,,,4
H5,2017,2017,2017,0,0,2,Export,304,Greenland,GRL,234,Faeroe Isds,FRO,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,1218597,,,0
H5,2017,2017,2017,0,0,1,Import,304,Greenland,GRL,238,Falkland Isds (Malvinas),FLK,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,23403,,,0
H5,2017,2017,2017,0,0,1,Import,304,Greenland,GRL,242,Fiji,FJI,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,381,,,0
H5,2017,2017,2017,0,0,1,Import,304,Greenland,GRL,246,Finland,FIN,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,1690205,,,4
H5,2017,2017,2017,0,0,1,Import,304,Greenland,GRL,251,France,FRA,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,18148197,,,4
H5,2017,2017,2017,0,0,1,Import,304,Greenland,GRL,258,French Polynesia,PYF,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,106,,,0
H5,2017,2017,2017,0,0,1,Import,304,Greenland,GRL,262,Djibouti,DJI,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,1558,,,0
H5,2017,2017,2017,0,0,1,Import,304,Greenland,GRL,268,Georgia,GEO,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,1120,,,4
H5,2017,2017,2017,0,0,1,Import,304,Greenland,GRL,270,Gambia,GMB,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,820,,,0
H5,2017,2017,2017,0,0,1,Import,304,Greenland,GRL,276,Germany,DEU,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,16207182,,,4
H5,2017,2017,2017,0,0,2,Export,304,Greenland,GRL,276,Germany,DEU,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,5672,,,0
H5,2017,2017,2017,0,0,1,Import,304,Greenland,GRL,300,Greece,GRC,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,89835,,,0
H5,2017,2017,2017,0,0,1,Import,304,Greenland,GRL,308,Grenada,GRD,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,9,,,0
H5,2017,2017,2017,0,0,1,Import,304,Greenland,GRL,320,Guatemala,GTM,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,2712,,,0
H5,2017,2017,2017,0,0,1,Import,304,Greenland,GRL,328,Guyana,GUY,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,22,,,0
H5,2017,2017,2017,0,0,1,Import,304,Greenland,GRL,332,Haiti,HTI,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,1268,,,0
H5,2017,2017,2017,0,0,1,Import,304,Greenland,GRL,340,Honduras,HND,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,3117,,,0
H5,2017,2017,2017,0,0,1,Import,304,Greenland,GRL,344,"China, Hong Kong SAR",HKG,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,91952,,,4
H5,2017,2017,2017,0,0,2,Export,304,Greenland,GRL,344,"China, Hong Kong SAR",HKG,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,7972,,,0
H5,2017,2017,2017,0,0,1,Import,304,Greenland,GRL,348,Hungary,HUN,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,819585,,,4
H5,2017,2017,2017,0,0,1,Import,304,Greenland,GRL,352,Iceland,ISL,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,4570918,,,4
H5,2017,2017,2017,0,0,2,Export,304,Greenland,GRL,352,Iceland,ISL,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,31197459,,,4
H5,2017,2017,2017,0,0,1,Import,304,Greenland,GRL,360,Indonesia,IDN,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,169911,,,4
H5,2017,2017,2017,0,0,1,Import,304,Greenland,GRL,364,Iran,IRN,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,32287,,,0
H5,2017,2017,2017,0,0,1,Import,304,Greenland,GRL,372,Ireland,IRL,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,498104,,,4
H5,2017,2017,2017,0,0,2,Export,304,Greenland,GRL,372,Ireland,IRL,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,,,11904852,,,4
H5,2017,2017,2017,0,0,1,Import,304,Greenland,GRL,376,Israel,ISR,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,166198,,,4
H5,2017,2017,2017,0,0,1,Import,304,Greenland,GRL,381,Italy,ITA,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,2560222,,,4
H5,2017,2017,2017,0,0,1,Import,304,Greenland,GRL,384,Côte d'Ivoire,CIV,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,334,,,0
H5,2017,2017,2017,0,0,1,Import,304,Greenland,GRL,388,Jamaica,JAM,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,7185,,,4
H5,2017,2017,2017,0,0,1,Import,304,Greenland,GRL,392,Japan,JPN,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,3033097,,,4
H5,2017,2017,2017,0,0,1,Import,304,Greenland,GRL,400,Jordan,JOR,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,72,,,0
H5,2017,2017,2017,0,0,1,Import,304,Greenland,GRL,404,Kenya,KEN,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,16135,,,0
H5,2017,2017,2017,0,0,1,Import,304,Greenland,GRL,408,Dem. People's Rep. of Korea,PRK,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,8077,,,0
H5,2017,2017,2017,0,0,1,Import,304,Greenland,GRL,410,Rep. of Korea,KOR,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,159572,,,4
H5,2017,2017,2017,0,0,1,Import,304,Greenland,GRL,418,Lao People's Dem. Rep.,LAO,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,6335,,,0
H5,2017,2017,2017,0,0,1,Import,304,Greenland,GRL,428,Latvia,LVA,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,246853,,,4
H5,2017,2017,2017,0,0,1,Import,304,Greenland,GRL,440,Lithuania,LTU,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,586868,,,4
H5,2017,2017,2017,0,0,1,Import,304,Greenland,GRL,442,Luxembourg,LUX,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,12273,,,0
H5,2017,2017,2017,0,0,1,Import,304,Greenland,GRL,446,"China, Macao SAR",MAC,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,418,,,0
H5,2017,2017,2017,0,0,1,Import,304,Greenland,GRL,450,Madagascar,MDG,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,2928,,,4
H5,2017,2017,2017,0,0,1,Import,304,Greenland,GRL,454,Malawi,MWI,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,213,,,4
H5,2017,2017,2017,0,0,1,Import,304,Greenland,GRL,458,Malaysia,MYS,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,299233,,,4
H5,2017,2017,2017,0,0,1,Import,304,Greenland,GRL,470,Malta,MLT,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,248,,,0
H5,2017,2017,2017,0,0,1,Import,304,Greenland,GRL,480,Mauritius,MUS,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,15692,,,0
H5,2017,2017,2017,0,0,1,Import,304,Greenland,GRL,484,Mexico,MEX,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,22501,,,4
H5,2017,2017,2017,0,0,1,Import,304,Greenland,GRL,490,"Other Asia, nes",,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,204094,,,4
