Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2016,2016,2016,5,0,0,X,392,Japan,JPN,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,644932439497,,644932439497,0
H4,2016,2016,2016,5,0,0,X,392,Japan,JPN,4,Afghanistan,AFG,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,80291814,,80291814,0
H4,2016,2016,2016,5,0,0,X,392,Japan,JPN,8,Albania,ALB,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,5377643,,5377643,0
H4,2016,2016,2016,5,0,0,X,392,Japan,JPN,12,Algeria,DZA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,221554688,,221554688,0
H4,2016,2016,2016,5,0,0,X,392,Japan,JPN,16,American Samoa,ASM,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,1561329,,1561329,0
H4,2016,2016,2016,5,0,0,X,392,Japan,JPN,20,Andorra,AND,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,247671,,247671,0
H4,2016,2016,2016,5,0,0,X,392,Japan,JPN,28,Antigua and Barbuda,ATG,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,17460170,,17460170,0
H4,2016,2016,2016,5,0,0,X,392,Japan,JPN,24,Angola,AGO,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,31506043,,31506043,0
H4,2016,2016,2016,5,0,0,X,392,Japan,JPN,31,Azerbaijan,AZE,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,100350626,,100350626,0
H4,2016,2016,2016,5,0,0,X,392,Japan,JPN,32,Argentina,ARG,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,631626148,,631626148,0
H4,2016,2016,2016,5,0,0,X,392,Japan,JPN,36,Australia,AUS,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,14104469909,,14104469909,0
H4,2016,2016,2016,5,0,0,X,392,Japan,JPN,40,Austria,AUT,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,1017787482,,1017787482,0
H4,2016,2016,2016,5,0,0,X,392,Japan,JPN,44,Bahamas,BHS,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,1015018683,,1015018683,0
H4,2016,2016,2016,5,0,0,X,392,Japan,JPN,48,Bahrain,BHR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,750101218,,750101218,0
H4,2016,2016,2016,5,0,0,X,392,Japan,JPN,50,Bangladesh,BGD,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,1582970883,,1582970883,0
H4,2016,2016,2016,5,0,0,X,392,Japan,JPN,51,Armenia,ARM,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,19271232,,19271232,0
H4,2016,2016,2016,5,0,0,X,392,Japan,JPN,52,Barbados,BRB,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,36779423,,36779423,0
H4,2016,2016,2016,5,0,0,X,392,Japan,JPN,56,Belgium,BEL,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,5719625552,,5719625552,0
H4,2016,2016,2016,5,0,0,X,392,Japan,JPN,60,Bermuda,BMU,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,276065662,,276065662,0
H4,2016,2016,2016,5,0,0,X,392,Japan,JPN,64,Bhutan,BTN,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,11146926,,11146926,0
H4,2016,2016,2016,5,0,0,X,392,Japan,JPN,68,Bolivia (Plurinational State of),BOL,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,172170638,,172170638,0
H4,2016,2016,2016,5,0,0,X,392,Japan,JPN,70,Bosnia Herzegovina,BIH,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,4061877,,4061877,0
H4,2016,2016,2016,5,0,0,X,392,Japan,JPN,72,Botswana,BWA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,24691841,,24691841,0
H4,2016,2016,2016,5,0,0,X,392,Japan,JPN,76,Brazil,BRA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,2791693420,,2791693420,0
H4,2016,2016,2016,5,0,0,X,392,Japan,JPN,84,Belize,BLZ,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,10848758,,10848758,0
H4,2016,2016,2016,5,0,0,X,392,Japan,JPN,86,Br. Indian Ocean Terr.,IOT,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,5516,,5516,0
H4,2016,2016,2016,5,0,0,X,392,Japan,JPN,90,Solomon Isds,SLB,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,21100665,,21100665,0
H4,2016,2016,2016,5,0,0,X,392,Japan,JPN,92,Br. Virgin Isds,VGB,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,9640257,,9640257,0
H4,2016,2016,2016,5,0,0,X,392,Japan,JPN,96,Brunei Darussalam,BRN,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,83518542,,83518542,0
H4,2016,2016,2016,5,0,0,X,392,Japan,JPN,100,Bulgaria,BGR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,83917290,,83917290,0
H4,2016,2016,2016,5,0,0,X,392,Japan,JPN,104,Myanmar,MMR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,1035630065,,1035630065,0
H4,2016,2016,2016,5,0,0,X,392,Japan,JPN,108,Burundi,BDI,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,5180387,,5180387,0
H4,2016,2016,2016,5,0,0,X,392,Japan,JPN,112,Belarus,BLR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,23593708,,23593708,0
H4,2016,2016,2016,5,0,0,X,392,Japan,JPN,116,Cambodia,KHM,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,306712247,,306712247,0
H4,2016,2016,2016,5,0,0,X,392,Japan,JPN,120,Cameroon,CMR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,27136201,,27136201,0
H4,2016,2016,2016,5,0,0,X,392,Japan,JPN,124,Canada,CAN,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,8162345902,,8162345902,0
H4,2016,2016,2016,5,0,0,X,392,Japan,JPN,132,Cabo Verde,CPV,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,5153803,,5153803,0
H4,2016,2016,2016,5,0,0,X,392,Japan,JPN,136,Cayman Isds,CYM,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,251083268,,251083268,0
H4,2016,2016,2016,5,0,0,X,392,Japan,JPN,140,Central African Rep.,CAF,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,2831110,,2831110,0
H4,2016,2016,2016,5,0,0,X,392,Japan,JPN,144,Sri Lanka,LKA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,700235657,,700235657,0
H4,2016,2016,2016,5,0,0,X,392,Japan,JPN,148,Chad,TCD,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,8374969,,8374969,0
H4,2016,2016,2016,5,0,0,X,392,Japan,JPN,152,Chile,CHL,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,1567389713,,1567389713,0
H4,2016,2016,2016,5,0,0,X,392,Japan,JPN,156,China,CHN,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,113830233712,,113830233712,0
H4,2016,2016,2016,5,0,0,X,392,Japan,JPN,174,Comoros,COM,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,1229210,,1229210,0
H4,2016,2016,2016,5,0,0,X,392,Japan,JPN,170,Colombia,COL,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,950526981,,950526981,0
H4,2016,2016,2016,5,0,0,X,392,Japan,JPN,178,Congo,COG,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,13017768,,13017768,0
H4,2016,2016,2016,5,0,0,X,392,Japan,JPN,180,Dem. Rep. of the Congo,COD,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,41930813,,41930813,0
H4,2016,2016,2016,5,0,0,X,392,Japan,JPN,184,Cook Isds,COK,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,5760287,,5760287,0
H4,2016,2016,2016,5,0,0,X,392,Japan,JPN,188,Costa Rica,CRI,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,321774825,,321774825,0
H4,2016,2016,2016,5,0,0,X,392,Japan,JPN,191,Croatia,HRV,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,39249372,,39249372,0
H4,2016,2016,2016,5,0,0,X,392,Japan,JPN,192,Cuba,CUB,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,44577522,,44577522,0
H4,2016,2016,2016,5,0,0,X,392,Japan,JPN,196,Cyprus,CYP,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,187240896,,187240896,0
H4,2016,2016,2016,5,0,0,X,392,Japan,JPN,203,Czechia,CZE,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,1235561085,,1235561085,0
H4,2016,2016,2016,5,0,0,X,392,Japan,JPN,204,Benin,BEN,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,10538564,,10538564,0
H4,2016,2016,2016,5,0,0,X,392,Japan,JPN,208,Denmark,DNK,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,417673436,,417673436,0
H4,2016,2016,2016,5,0,0,X,392,Japan,JPN,212,Dominica,DMA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,5642358,,5642358,0
H4,2016,2016,2016,5,0,0,X,392,Japan,JPN,214,Dominican Rep.,DOM,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,272551549,,272551549,0
H4,2016,2016,2016,5,0,0,X,392,Japan,JPN,218,Ecuador,ECU,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,250291840,,250291840,0
H4,2016,2016,2016,5,0,0,X,392,Japan,JPN,222,El Salvador,SLV,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,131055185,,131055185,0
H4,2016,2016,2016,5,0,0,X,392,Japan,JPN,226,Equatorial Guinea,GNQ,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,1281577,,1281577,0
H4,2016,2016,2016,5,0,0,X,392,Japan,JPN,231,Ethiopia,ETH,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,102457167,,102457167,0
H4,2016,2016,2016,5,0,0,X,392,Japan,JPN,232,Eritrea,ERI,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,1170214,,1170214,0
H4,2016,2016,2016,5,0,0,X,392,Japan,JPN,233,Estonia,EST,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,118680328,,118680328,0
H4,2016,2016,2016,5,0,0,X,392,Japan,JPN,238,Falkland Isds (Malvinas),FLK,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,83370,,83370,0
H4,2016,2016,2016,5,0,0,X,392,Japan,JPN,242,Fiji,FJI,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,114163699,,114163699,0
H4,2016,2016,2016,5,0,0,X,392,Japan,JPN,246,Finland,FIN,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,367591576,,367591576,0
H4,2016,2016,2016,5,0,0,X,392,Japan,JPN,251,France,FRA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,6239737057,,6239737057,0
H4,2016,2016,2016,5,0,0,X,392,Japan,JPN,258,French Polynesia,PYF,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,18834500,,18834500,0
H4,2016,2016,2016,5,0,0,X,392,Japan,JPN,266,Gabon,GAB,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,27124700,,27124700,0
H4,2016,2016,2016,5,0,0,X,392,Japan,JPN,262,Djibouti,DJI,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,33968478,,33968478,0
H4,2016,2016,2016,5,0,0,X,392,Japan,JPN,268,Georgia,GEO,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,174976278,,174976278,0
H4,2016,2016,2016,5,0,0,X,392,Japan,JPN,270,Gambia,GMB,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,1622996,,1622996,0
H4,2016,2016,2016,5,0,0,X,392,Japan,JPN,275,State of Palestine,PSE,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,2732233,,2732233,0
H4,2016,2016,2016,5,0,0,X,392,Japan,JPN,276,Germany,DEU,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,17652733307,,17652733307,0
H4,2016,2016,2016,5,0,0,X,392,Japan,JPN,288,Ghana,GHA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,124760910,,124760910,0
H4,2016,2016,2016,5,0,0,X,392,Japan,JPN,292,Gibraltar,GIB,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,72251302,,72251302,0
H4,2016,2016,2016,5,0,0,X,392,Japan,JPN,296,Kiribati,KIR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,18166507,,18166507,0
H4,2016,2016,2016,5,0,0,X,392,Japan,JPN,300,Greece,GRC,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,214913193,,214913193,0
H4,2016,2016,2016,5,0,0,X,392,Japan,JPN,304,Greenland,GRL,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,80479,,80479,0
H4,2016,2016,2016,5,0,0,X,392,Japan,JPN,308,Grenada,GRD,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,9792228,,9792228,0
H4,2016,2016,2016,5,0,0,X,392,Japan,JPN,316,Guam,GUM,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,218703762,,218703762,0
H4,2016,2016,2016,5,0,0,X,392,Japan,JPN,320,Guatemala,GTM,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,275950018,,275950018,0
H4,2016,2016,2016,5,0,0,X,392,Japan,JPN,332,Haiti,HTI,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,37794287,,37794287,0
H4,2016,2016,2016,5,0,0,X,392,Japan,JPN,324,Guinea,GIN,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,7478504,,7478504,0
H4,2016,2016,2016,5,0,0,X,392,Japan,JPN,328,Guyana,GUY,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,42162241,,42162241,0
