Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2016,2016,2016,5,0,0,M,400,Jordan,JOR,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,19207038414,19207038414,,0
H4,2016,2016,2016,5,0,0,M,400,Jordan,JOR,4,Afghanistan,AFG,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,1524955,1524955,,0
H4,2016,2016,2016,5,0,0,M,400,Jordan,JOR,8,Albania,ALB,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,56713,56713,,0
H4,2016,2016,2016,5,0,0,M,400,Jordan,JOR,12,Algeria,DZA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,69321724,69321724,,0
H4,2016,2016,2016,5,0,0,M,400,Jordan,JOR,24,Angola,AGO,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,57731,57731,,0
H4,2016,2016,2016,5,0,0,M,400,Jordan,JOR,32,Argentina,ARG,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,292921739,292921739,,0
H4,2016,2016,2016,5,0,0,M,400,Jordan,JOR,31,Azerbaijan,AZE,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,49582,49582,,0
H4,2016,2016,2016,5,0,0,M,400,Jordan,JOR,36,Australia,AUS,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,157053571,157053571,,0
H4,2016,2016,2016,5,0,0,M,400,Jordan,JOR,40,Austria,AUT,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,67991673,67991673,,0
H4,2016,2016,2016,5,0,0,M,400,Jordan,JOR,48,Bahrain,BHR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,55375331,55375331,,0
H4,2016,2016,2016,5,0,0,M,400,Jordan,JOR,50,Bangladesh,BGD,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,25592769,25592769,,0
H4,2016,2016,2016,5,0,0,M,400,Jordan,JOR,51,Armenia,ARM,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,8592,8592,,0
H4,2016,2016,2016,5,0,0,M,400,Jordan,JOR,68,Bolivia (Plurinational State of),BOL,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,32351,32351,,0
H4,2016,2016,2016,5,0,0,M,400,Jordan,JOR,56,Belgium,BEL,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,125130045,125130045,,0
H4,2016,2016,2016,5,0,0,M,400,Jordan,JOR,70,Bosnia Herzegovina,BIH,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,1950148,1950148,,0
H4,2016,2016,2016,5,0,0,M,400,Jordan,JOR,76,Brazil,BRA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,252728252,252728252,,0
H4,2016,2016,2016,5,0,0,M,400,Jordan,JOR,100,Bulgaria,BGR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,24259643,24259643,,0
H4,2016,2016,2016,5,0,0,M,400,Jordan,JOR,104,Myanmar,MMR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,511499,511499,,0
H4,2016,2016,2016,5,0,0,M,400,Jordan,JOR,112,Belarus,BLR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,1971155,1971155,,0
H4,2016,2016,2016,5,0,0,M,400,Jordan,JOR,116,Cambodia,KHM,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,1567114,1567114,,0
