Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2016,2016,2016,5,0,0,X,398,Kazakhstan,KAZ,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,36775323403,,36775323403,0
H4,2016,2016,2016,5,0,0,X,398,Kazakhstan,KAZ,4,Afghanistan,AFG,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,486885804,,486885804,0
H4,2016,2016,2016,5,0,0,X,398,Kazakhstan,KAZ,8,Albania,ALB,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,1224218,,1224218,0
H4,2016,2016,2016,5,0,0,X,398,Kazakhstan,KAZ,12,Algeria,DZA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,467728,,467728,0
H4,2016,2016,2016,5,0,0,X,398,Kazakhstan,KAZ,24,Angola,AGO,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,39485,,39485,0
H4,2016,2016,2016,5,0,0,X,398,Kazakhstan,KAZ,31,Azerbaijan,AZE,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,106471127,,106471127,0
H4,2016,2016,2016,5,0,0,X,398,Kazakhstan,KAZ,32,Argentina,ARG,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,1661919,,1661919,0
H4,2016,2016,2016,5,0,0,X,398,Kazakhstan,KAZ,40,Austria,AUT,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,46498443,,46498443,0
H4,2016,2016,2016,5,0,0,X,398,Kazakhstan,KAZ,48,Bahrain,BHR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,1683,,1683,0
H4,2016,2016,2016,5,0,0,X,398,Kazakhstan,KAZ,50,Bangladesh,BGD,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,1216268,,1216268,0
H4,2016,2016,2016,5,0,0,X,398,Kazakhstan,KAZ,36,Australia,AUS,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,5874117,,5874117,0
H4,2016,2016,2016,5,0,0,X,398,Kazakhstan,KAZ,51,Armenia,ARM,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,279770,,279770,0
H4,2016,2016,2016,5,0,0,X,398,Kazakhstan,KAZ,56,Belgium,BEL,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,136937523,,136937523,0
H4,2016,2016,2016,5,0,0,X,398,Kazakhstan,KAZ,68,Bolivia (Plurinational State of),BOL,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,5758,,5758,0
H4,2016,2016,2016,5,0,0,X,398,Kazakhstan,KAZ,76,Brazil,BRA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,25845675,,25845675,0
H4,2016,2016,2016,5,0,0,X,398,Kazakhstan,KAZ,92,Br. Virgin Isds,VGB,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,250000,,250000,0
H4,2016,2016,2016,5,0,0,X,398,Kazakhstan,KAZ,96,Brunei Darussalam,BRN,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,34511,,34511,0
H4,2016,2016,2016,5,0,0,X,398,Kazakhstan,KAZ,100,Bulgaria,BGR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,47314444,,47314444,0
H4,2016,2016,2016,5,0,0,X,398,Kazakhstan,KAZ,112,Belarus,BLR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,31865868,,31865868,0
H4,2016,2016,2016,5,0,0,X,398,Kazakhstan,KAZ,116,Cambodia,KHM,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,4,,4,0
H4,2016,2016,2016,5,0,0,X,398,Kazakhstan,KAZ,120,Cameroon,CMR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,21985,,21985,0
H4,2016,2016,2016,5,0,0,X,398,Kazakhstan,KAZ,124,Canada,CAN,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,281023746,,281023746,0
