Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2016,2016,2016,5,0,0,M,296,Kiribati,KIR,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,117408350,117408350,,0
H4,2016,2016,2016,5,0,0,M,296,Kiribati,KIR,36,Australia,AUS,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,25623595,25623595,,0
H4,2016,2016,2016,5,0,0,M,296,Kiribati,KIR,76,Brazil,BRA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,99277,99277,,0
H4,2016,2016,2016,5,0,0,M,296,Kiribati,KIR,90,Solomon Isds,SLB,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,540065,540065,,0
H4,2016,2016,2016,5,0,0,M,296,Kiribati,KIR,156,China,CHN,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,11239523,11239523,,0
H4,2016,2016,2016,5,0,0,M,296,Kiribati,KIR,208,Denmark,DNK,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,2713472,2713472,,0
H4,2016,2016,2016,5,0,0,M,296,Kiribati,KIR,242,Fiji,FJI,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,25562156,25562156,,0
H4,2016,2016,2016,5,0,0,M,296,Kiribati,KIR,251,France,FRA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,150978,150978,,0
H4,2016,2016,2016,5,0,0,M,296,Kiribati,KIR,276,Germany,DEU,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,46080,46080,,0
H4,2016,2016,2016,5,0,0,M,296,Kiribati,KIR,344,"China, Hong Kong SAR",HKG,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,2150022,2150022,,0
H4,2016,2016,2016,5,0,0,M,296,Kiribati,KIR,380,Italy,ITA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,5076,5076,,0
H4,2016,2016,2016,5,0,0,M,296,Kiribati,KIR,360,Indonesia,IDN,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,1737053,1737053,,0
H4,2016,2016,2016,5,0,0,M,296,Kiribati,KIR,392,Japan,JPN,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,8616976,8616976,,0
H4,2016,2016,2016,5,0,0,M,296,Kiribati,KIR,410,Rep. of Korea,KOR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,1210003,1210003,,0
H4,2016,2016,2016,5,0,0,M,296,Kiribati,KIR,458,Malaysia,MYS,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,853210,853210,,0
H4,2016,2016,2016,5,0,0,M,296,Kiribati,KIR,466,Mali,MLI,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,58683,58683,,0
H4,2016,2016,2016,5,0,0,M,296,Kiribati,KIR,490,"Other Asia, nes",S19,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,1785072,1785072,,0
H4,2016,2016,2016,5,0,0,M,296,Kiribati,KIR,504,Morocco,MAR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,6920,6920,,0
H4,2016,2016,2016,5,0,0,M,296,Kiribati,KIR,528,Netherlands,NLD,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,237873,237873,,0
H4,2016,2016,2016,5,0,0,M,296,Kiribati,KIR,548,Vanuatu,VUT,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,5704747,5704747,,0
H4,2016,2016,2016,5,0,0,M,296,Kiribati,KIR,554,New Zealand,NZL,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,9614738,9614738,,0
H4,2016,2016,2016,5,0,0,M,296,Kiribati,KIR,584,Marshall Isds,MHL,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,162924,162924,,0
H4,2016,2016,2016,5,0,0,M,296,Kiribati,KIR,616,Poland,POL,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,138889,138889,,0
H4,2016,2016,2016,5,0,0,M,296,Kiribati,KIR,699,India,IND,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,569286,569286,,0
H4,2016,2016,2016,5,0,0,M,296,Kiribati,KIR,702,Singapore,SGP,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,8885190,8885190,,0
H4,2016,2016,2016,5,0,0,M,296,Kiribati,KIR,704,Viet Nam,VNM,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,3980618,3980618,,0
H4,2016,2016,2016,5,0,0,M,296,Kiribati,KIR,724,Spain,ESP,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,154012,154012,,0
