Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2016,2016,2016,5,0,0,X,422,Lebanon,LBN,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,2976561583,,2976561583,0
H4,2016,2016,2016,5,0,0,X,422,Lebanon,LBN,4,Afghanistan,AFG,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,111572,,111572,0
H4,2016,2016,2016,5,0,0,X,422,Lebanon,LBN,8,Albania,ALB,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,71777,,71777,0
H4,2016,2016,2016,5,0,0,X,422,Lebanon,LBN,20,Andorra,AND,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,4373,,4373,0
H4,2016,2016,2016,5,0,0,X,422,Lebanon,LBN,12,Algeria,DZA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,26864319,,26864319,0
H4,2016,2016,2016,5,0,0,X,422,Lebanon,LBN,24,Angola,AGO,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,8996659,,8996659,0
H4,2016,2016,2016,5,0,0,X,422,Lebanon,LBN,28,Antigua and Barbuda,ATG,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,14291,,14291,0
H4,2016,2016,2016,5,0,0,X,422,Lebanon,LBN,31,Azerbaijan,AZE,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,2706564,,2706564,0
H4,2016,2016,2016,5,0,0,X,422,Lebanon,LBN,32,Argentina,ARG,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,4629223,,4629223,0
H4,2016,2016,2016,5,0,0,X,422,Lebanon,LBN,36,Australia,AUS,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,13613393,,13613393,0
H4,2016,2016,2016,5,0,0,X,422,Lebanon,LBN,40,Austria,AUT,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,2011440,,2011440,0
H4,2016,2016,2016,5,0,0,X,422,Lebanon,LBN,48,Bahrain,BHR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,15783085,,15783085,0
H4,2016,2016,2016,5,0,0,X,422,Lebanon,LBN,51,Armenia,ARM,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,853723,,853723,0
H4,2016,2016,2016,5,0,0,X,422,Lebanon,LBN,52,Barbados,BRB,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,17805,,17805,0
H4,2016,2016,2016,5,0,0,X,422,Lebanon,LBN,50,Bangladesh,BGD,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,7454797,,7454797,0
H4,2016,2016,2016,5,0,0,X,422,Lebanon,LBN,56,Belgium,BEL,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,16861961,,16861961,0
H4,2016,2016,2016,5,0,0,X,422,Lebanon,LBN,76,Brazil,BRA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,6074926,,6074926,0
H4,2016,2016,2016,5,0,0,X,422,Lebanon,LBN,84,Belize,BLZ,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,54213,,54213,0
H4,2016,2016,2016,5,0,0,X,422,Lebanon,LBN,96,Brunei Darussalam,BRN,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,195098,,195098,0
H4,2016,2016,2016,5,0,0,X,422,Lebanon,LBN,70,Bosnia Herzegovina,BIH,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,53134,,53134,0
H4,2016,2016,2016,5,0,0,X,422,Lebanon,LBN,72,Botswana,BWA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,450,,450,0
H4,2016,2016,2016,5,0,0,X,422,Lebanon,LBN,104,Myanmar,MMR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,1526450,,1526450,0
H4,2016,2016,2016,5,0,0,X,422,Lebanon,LBN,108,Burundi,BDI,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,140116,,140116,0
H4,2016,2016,2016,5,0,0,X,422,Lebanon,LBN,112,Belarus,BLR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,9000,,9000,0
H4,2016,2016,2016,5,0,0,X,422,Lebanon,LBN,116,Cambodia,KHM,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,27931,,27931,0
H4,2016,2016,2016,5,0,0,X,422,Lebanon,LBN,100,Bulgaria,BGR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,12233532,,12233532,0
H4,2016,2016,2016,5,0,0,X,422,Lebanon,LBN,120,Cameroon,CMR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,7322809,,7322809,0
H4,2016,2016,2016,5,0,0,X,422,Lebanon,LBN,124,Canada,CAN,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,20113494,,20113494,0
