Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2018,2018,2018,0,0,1,Import,446,"China, Macao SAR",MAC,0,World,WLD,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,12068649824,,,4
H5,2018,2018,2018,0,0,2,Export,446,"China, Macao SAR",MAC,0,World,WLD,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,1161004083,,,4
H5,2018,2018,2018,0,0,3,Re-Export,446,"China, Macao SAR",MAC,0,World,WLD,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,1101163982,,,0
H5,2018,2018,2018,0,0,4,Re-Import,446,"China, Macao SAR",MAC,0,World,WLD,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,855793,,,0
H5,2018,2018,2018,0,0,1,Import,446,"China, Macao SAR",MAC,8,Albania,ALB,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,432208,,,4
H5,2018,2018,2018,0,0,1,Import,446,"China, Macao SAR",MAC,24,Angola,AGO,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,7247,,,0
H5,2018,2018,2018,0,0,1,Import,446,"China, Macao SAR",MAC,32,Argentina,ARG,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,5178799,,,4
H5,2018,2018,2018,0,0,1,Import,446,"China, Macao SAR",MAC,36,Australia,AUS,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,125071860,,,4
H5,2018,2018,2018,0,0,2,Export,446,"China, Macao SAR",MAC,36,Australia,AUS,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,922262,,,0
H5,2018,2018,2018,0,0,3,Re-Export,446,"China, Macao SAR",MAC,36,Australia,AUS,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,898571,,,0
H5,2018,2018,2018,0,0,1,Import,446,"China, Macao SAR",MAC,40,Austria,AUT,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,11019174,,,4
H5,2018,2018,2018,0,0,1,Import,446,"China, Macao SAR",MAC,44,Bahamas,BHS,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,13581,,,0
H5,2018,2018,2018,0,0,1,Import,446,"China, Macao SAR",MAC,50,Bangladesh,BGD,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,9887479,,,4
