Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2016,2016,2016,5,0,0,DX,450,Madagascar,MDG,4,Afghanistan,AFG,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,6030,,6030.815,0
H4,2016,2016,2016,5,0,0,DX,450,Madagascar,MDG,12,Algeria,DZA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,297178,,297178.107,0
H4,2016,2016,2016,5,0,0,DX,450,Madagascar,MDG,32,Argentina,ARG,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,81132,,81132.81,0
H4,2016,2016,2016,5,0,0,DX,450,Madagascar,MDG,36,Australia,AUS,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,6684940,,6684940.06,0
H4,2016,2016,2016,5,0,0,DX,450,Madagascar,MDG,40,Austria,AUT,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,185344,,185344.231,0
H4,2016,2016,2016,5,0,0,DX,450,Madagascar,MDG,48,Bahrain,BHR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,11014,,11014.704,0
H4,2016,2016,2016,5,0,0,DX,450,Madagascar,MDG,50,Bangladesh,BGD,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,1579912,,1579912.882,0
H4,2016,2016,2016,5,0,0,DX,450,Madagascar,MDG,56,Belgium,BEL,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,27194733,,27194733.494,0
H4,2016,2016,2016,5,0,0,DX,450,Madagascar,MDG,72,Botswana,BWA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,695,,695.587,0
H4,2016,2016,2016,5,0,0,DX,450,Madagascar,MDG,76,Brazil,BRA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,418833,,418833.56,0
H4,2016,2016,2016,5,0,0,DX,450,Madagascar,MDG,100,Bulgaria,BGR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,114654,,114654.549,0
H4,2016,2016,2016,5,0,0,DX,450,Madagascar,MDG,104,Myanmar,MMR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,23003,,23003.594,0
H4,2016,2016,2016,5,0,0,DX,450,Madagascar,MDG,108,Burundi,BDI,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,412007,,412007.933,0
H4,2016,2016,2016,5,0,0,DX,450,Madagascar,MDG,116,Cambodia,KHM,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,18722,,18722.603,0
H4,2016,2016,2016,5,0,0,DX,450,Madagascar,MDG,120,Cameroon,CMR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,120017,,120017.93,0
H4,2016,2016,2016,5,0,0,DX,450,Madagascar,MDG,124,Canada,CAN,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,37272439,,37272439.387,0
H4,2016,2016,2016,5,0,0,DX,450,Madagascar,MDG,148,Chad,TCD,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,11656,,11656.604,0
H4,2016,2016,2016,5,0,0,DX,450,Madagascar,MDG,152,Chile,CHL,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,21475,,21475.675,0
H4,2016,2016,2016,5,0,0,DX,450,Madagascar,MDG,156,China,CHN,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,143799013,,143799013.346,0
H4,2016,2016,2016,5,0,0,DX,450,Madagascar,MDG,170,Colombia,COL,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,45285,,45285.364,0
