Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2016,2016,2016,5,0,0,X,458,Malaysia,MYS,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,189414073154,,189414073154,0
H4,2016,2016,2016,5,0,0,X,458,Malaysia,MYS,4,Afghanistan,AFG,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,85381545,,85381545,0
H4,2016,2016,2016,5,0,0,X,458,Malaysia,MYS,8,Albania,ALB,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,10753883,,10753883,0
H4,2016,2016,2016,5,0,0,X,458,Malaysia,MYS,10,Antarctica,ATA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,1265,,1265,0
H4,2016,2016,2016,5,0,0,X,458,Malaysia,MYS,12,Algeria,DZA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,123581354,,123581354,0
H4,2016,2016,2016,5,0,0,X,458,Malaysia,MYS,16,American Samoa,ASM,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,13503817,,13503817,0
H4,2016,2016,2016,5,0,0,X,458,Malaysia,MYS,20,Andorra,AND,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,215085,,215085,0
H4,2016,2016,2016,5,0,0,X,458,Malaysia,MYS,24,Angola,AGO,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,149726868,,149726868,0
H4,2016,2016,2016,5,0,0,X,458,Malaysia,MYS,31,Azerbaijan,AZE,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,8358468,,8358468,0
H4,2016,2016,2016,5,0,0,X,458,Malaysia,MYS,28,Antigua and Barbuda,ATG,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,1256742,,1256742,0
H4,2016,2016,2016,5,0,0,X,458,Malaysia,MYS,32,Argentina,ARG,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,195035213,,195035213,0
H4,2016,2016,2016,5,0,0,X,458,Malaysia,MYS,36,Australia,AUS,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,6445327279,,6445327279,0
H4,2016,2016,2016,5,0,0,X,458,Malaysia,MYS,44,Bahamas,BHS,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,5707418,,5707418,0
H4,2016,2016,2016,5,0,0,X,458,Malaysia,MYS,40,Austria,AUT,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,111171571,,111171571,0
H4,2016,2016,2016,5,0,0,X,458,Malaysia,MYS,48,Bahrain,BHR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,64164391,,64164391,0
H4,2016,2016,2016,5,0,0,X,458,Malaysia,MYS,50,Bangladesh,BGD,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,1240818291,,1240818291,0
H4,2016,2016,2016,5,0,0,X,458,Malaysia,MYS,51,Armenia,ARM,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,4085108,,4085108,0
H4,2016,2016,2016,5,0,0,X,458,Malaysia,MYS,52,Barbados,BRB,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,1901817,,1901817,0
H4,2016,2016,2016,5,0,0,X,458,Malaysia,MYS,56,Belgium,BEL,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,1010715037,,1010715037,0
H4,2016,2016,2016,5,0,0,X,458,Malaysia,MYS,64,Bhutan,BTN,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,1549586,,1549586,0
H4,2016,2016,2016,5,0,0,X,458,Malaysia,MYS,68,Bolivia (Plurinational State of),BOL,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,7153519,,7153519,0
H4,2016,2016,2016,5,0,0,X,458,Malaysia,MYS,70,Bosnia Herzegovina,BIH,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,373011,,373011,0
H4,2016,2016,2016,5,0,0,X,458,Malaysia,MYS,72,Botswana,BWA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,3245284,,3245284,0
H4,2016,2016,2016,5,0,0,X,458,Malaysia,MYS,60,Bermuda,BMU,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,347757,,347757,0
H4,2016,2016,2016,5,0,0,X,458,Malaysia,MYS,76,Brazil,BRA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,709846021,,709846021,0
H4,2016,2016,2016,5,0,0,X,458,Malaysia,MYS,84,Belize,BLZ,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,2558328,,2558328,0
H4,2016,2016,2016,5,0,0,X,458,Malaysia,MYS,86,Br. Indian Ocean Terr.,IOT,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,1431,,1431,0
H4,2016,2016,2016,5,0,0,X,458,Malaysia,MYS,90,Solomon Isds,SLB,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,38575161,,38575161,0
H4,2016,2016,2016,5,0,0,X,458,Malaysia,MYS,92,Br. Virgin Isds,VGB,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,16514106,,16514106,0
H4,2016,2016,2016,5,0,0,X,458,Malaysia,MYS,96,Brunei Darussalam,BRN,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,512029444,,512029444,0
H4,2016,2016,2016,5,0,0,X,458,Malaysia,MYS,100,Bulgaria,BGR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,64026259,,64026259,0
H4,2016,2016,2016,5,0,0,X,458,Malaysia,MYS,108,Burundi,BDI,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,78828,,78828,0
H4,2016,2016,2016,5,0,0,X,458,Malaysia,MYS,112,Belarus,BLR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,2851990,,2851990,0
H4,2016,2016,2016,5,0,0,X,458,Malaysia,MYS,104,Myanmar,MMR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,945885285,,945885285,0
H4,2016,2016,2016,5,0,0,X,458,Malaysia,MYS,116,Cambodia,KHM,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,284981856,,284981856,0
H4,2016,2016,2016,5,0,0,X,458,Malaysia,MYS,120,Cameroon,CMR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,41791987,,41791987,0
H4,2016,2016,2016,5,0,0,X,458,Malaysia,MYS,124,Canada,CAN,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,704494446,,704494446,0
H4,2016,2016,2016,5,0,0,X,458,Malaysia,MYS,132,Cabo Verde,CPV,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,1111075,,1111075,0
