Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2016,2016,2016,5,0,0,M,466,Mali,MLI,4,Afghanistan,AFG,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,144468,144468,,0
H4,2016,2016,2016,5,0,0,M,466,Mali,MLI,8,Albania,ALB,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,390962,390962,,0
H4,2016,2016,2016,5,0,0,M,466,Mali,MLI,10,Antarctica,ATA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,2727,2727,,0
H4,2016,2016,2016,5,0,0,M,466,Mali,MLI,12,Algeria,DZA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,2316446,2316446,,0
H4,2016,2016,2016,5,0,0,M,466,Mali,MLI,20,Andorra,AND,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,3306,3306,,0
H4,2016,2016,2016,5,0,0,M,466,Mali,MLI,24,Angola,AGO,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,13098,13098,,0
H4,2016,2016,2016,5,0,0,M,466,Mali,MLI,31,Azerbaijan,AZE,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,595959,595959,,0
H4,2016,2016,2016,5,0,0,M,466,Mali,MLI,32,Argentina,ARG,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,818287,818287,,0
H4,2016,2016,2016,5,0,0,M,466,Mali,MLI,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,3845404761,3845404761,,0
H4,2016,2016,2016,5,0,0,M,466,Mali,MLI,36,Australia,AUS,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,34659015,34659015,,0
H4,2016,2016,2016,5,0,0,M,466,Mali,MLI,50,Bangladesh,BGD,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,10697155,10697155,,0
H4,2016,2016,2016,5,0,0,M,466,Mali,MLI,51,Armenia,ARM,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,22151,22151,,0
H4,2016,2016,2016,5,0,0,M,466,Mali,MLI,40,Austria,AUT,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,10400275,10400275,,0
H4,2016,2016,2016,5,0,0,M,466,Mali,MLI,44,Bahamas,BHS,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,2626,2626,,0
H4,2016,2016,2016,5,0,0,M,466,Mali,MLI,48,Bahrain,BHR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,369911,369911,,0
H4,2016,2016,2016,5,0,0,M,466,Mali,MLI,56,Belgium,BEL,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,74214368,74214368,,0
H4,2016,2016,2016,5,0,0,M,466,Mali,MLI,68,Bolivia (Plurinational State of),BOL,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,6116,6116,,0
H4,2016,2016,2016,5,0,0,M,466,Mali,MLI,70,Bosnia Herzegovina,BIH,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,91809,91809,,0
H4,2016,2016,2016,5,0,0,M,466,Mali,MLI,72,Botswana,BWA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,106700,106700,,0
H4,2016,2016,2016,5,0,0,M,466,Mali,MLI,76,Brazil,BRA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,46418322,46418322,,0
H4,2016,2016,2016,5,0,0,M,466,Mali,MLI,96,Brunei Darussalam,BRN,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,36396,36396,,0
H4,2016,2016,2016,5,0,0,M,466,Mali,MLI,100,Bulgaria,BGR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,477581,477581,,0
H4,2016,2016,2016,5,0,0,M,466,Mali,MLI,108,Burundi,BDI,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,125360,125360,,0
H4,2016,2016,2016,5,0,0,M,466,Mali,MLI,112,Belarus,BLR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,30430482,30430482,,0
H4,2016,2016,2016,5,0,0,M,466,Mali,MLI,116,Cambodia,KHM,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,583898,583898,,0
H4,2016,2016,2016,5,0,0,M,466,Mali,MLI,120,Cameroon,CMR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,84809,84809,,0
H4,2016,2016,2016,5,0,0,M,466,Mali,MLI,124,Canada,CAN,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,20973438,20973438,,0
H4,2016,2016,2016,5,0,0,M,466,Mali,MLI,144,Sri Lanka,LKA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,447658,447658,,0
H4,2016,2016,2016,5,0,0,M,466,Mali,MLI,148,Chad,TCD,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,1681,1681,,0
H4,2016,2016,2016,5,0,0,M,466,Mali,MLI,152,Chile,CHL,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,59131,59131,,0
H4,2016,2016,2016,5,0,0,M,466,Mali,MLI,156,China,CHN,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,600556776,600556776,,0
H4,2016,2016,2016,5,0,0,M,466,Mali,MLI,170,Colombia,COL,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,487967,487967,,0
H4,2016,2016,2016,5,0,0,M,466,Mali,MLI,178,Congo,COG,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,64816,64816,,0
H4,2016,2016,2016,5,0,0,M,466,Mali,MLI,180,Dem. Rep. of the Congo,COD,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,112859,112859,,0
H4,2016,2016,2016,5,0,0,M,466,Mali,MLI,188,Costa Rica,CRI,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,69916,69916,,0
H4,2016,2016,2016,5,0,0,M,466,Mali,MLI,191,Croatia,HRV,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,16553,16553,,0
H4,2016,2016,2016,5,0,0,M,466,Mali,MLI,192,Cuba,CUB,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,1097,1097,,0
H4,2016,2016,2016,5,0,0,M,466,Mali,MLI,196,Cyprus,CYP,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,8549,8549,,0
H4,2016,2016,2016,5,0,0,M,466,Mali,MLI,203,Czechia,CZE,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,3538747,3538747,,0
H4,2016,2016,2016,5,0,0,M,466,Mali,MLI,204,Benin,BEN,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,100761840,100761840,,0
H4,2016,2016,2016,5,0,0,M,466,Mali,MLI,218,Ecuador,ECU,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,2541375,2541375,,0
H4,2016,2016,2016,5,0,0,M,466,Mali,MLI,222,El Salvador,SLV,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,488,488,,0
H4,2016,2016,2016,5,0,0,M,466,Mali,MLI,226,Equatorial Guinea,GNQ,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,1775,1775,,0
H4,2016,2016,2016,5,0,0,M,466,Mali,MLI,231,Ethiopia,ETH,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,9441,9441,,0
H4,2016,2016,2016,5,0,0,M,466,Mali,MLI,233,Estonia,EST,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,17169,17169,,0
H4,2016,2016,2016,5,0,0,M,466,Mali,MLI,238,Falkland Isds (Malvinas),FLK,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,5351,5351,,0
H4,2016,2016,2016,5,0,0,M,466,Mali,MLI,208,Denmark,DNK,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,14529123,14529123,,0
H4,2016,2016,2016,5,0,0,M,466,Mali,MLI,212,Dominica,DMA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,18687,18687,,0
