Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2016,2016,2016,5,0,0,M,470,Malta,MLT,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,7181978806,7181978806,,0
H4,2016,2016,2016,5,0,0,M,470,Malta,MLT,4,Afghanistan,AFG,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,1544,1544,,0
H4,2016,2016,2016,5,0,0,M,470,Malta,MLT,8,Albania,ALB,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,1993684,1993684,,0
H4,2016,2016,2016,5,0,0,M,470,Malta,MLT,12,Algeria,DZA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,53324270,53324270,,0
H4,2016,2016,2016,5,0,0,M,470,Malta,MLT,16,American Samoa,ASM,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,96,96,,0
H4,2016,2016,2016,5,0,0,M,470,Malta,MLT,24,Angola,AGO,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,424313,424313,,0
H4,2016,2016,2016,5,0,0,M,470,Malta,MLT,28,Antigua and Barbuda,ATG,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,552,552,,0
H4,2016,2016,2016,5,0,0,M,470,Malta,MLT,31,Azerbaijan,AZE,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,7070126,7070126,,0
H4,2016,2016,2016,5,0,0,M,470,Malta,MLT,32,Argentina,ARG,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,13774122,13774122,,0
H4,2016,2016,2016,5,0,0,M,470,Malta,MLT,36,Australia,AUS,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,3814105,3814105,,0
H4,2016,2016,2016,5,0,0,M,470,Malta,MLT,40,Austria,AUT,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,26027728,26027728,,0
H4,2016,2016,2016,5,0,0,M,470,Malta,MLT,44,Bahamas,BHS,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,2234950,2234950,,0
H4,2016,2016,2016,5,0,0,M,470,Malta,MLT,48,Bahrain,BHR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,270002,270002,,0
H4,2016,2016,2016,5,0,0,M,470,Malta,MLT,50,Bangladesh,BGD,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,364853,364853,,0
H4,2016,2016,2016,5,0,0,M,470,Malta,MLT,51,Armenia,ARM,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,23998,23998,,0
H4,2016,2016,2016,5,0,0,M,470,Malta,MLT,56,Belgium,BEL,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,106282572,106282572,,0
H4,2016,2016,2016,5,0,0,M,470,Malta,MLT,70,Bosnia Herzegovina,BIH,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,160179,160179,,0
H4,2016,2016,2016,5,0,0,M,470,Malta,MLT,72,Botswana,BWA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,476529,476529,,0
H4,2016,2016,2016,5,0,0,M,470,Malta,MLT,74,Bouvet Island,BVT,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,2559,2559,,0
H4,2016,2016,2016,5,0,0,M,470,Malta,MLT,76,Brazil,BRA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,14386762,14386762,,0
H4,2016,2016,2016,5,0,0,M,470,Malta,MLT,92,Br. Virgin Isds,VGB,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,119782138,119782138,,0
H4,2016,2016,2016,5,0,0,M,470,Malta,MLT,60,Bermuda,BMU,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,3430,3430,,0
H4,2016,2016,2016,5,0,0,M,470,Malta,MLT,68,Bolivia (Plurinational State of),BOL,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,405,405,,0
H4,2016,2016,2016,5,0,0,M,470,Malta,MLT,100,Bulgaria,BGR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,39385258,39385258,,0
H4,2016,2016,2016,5,0,0,M,470,Malta,MLT,104,Myanmar,MMR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,28443,28443,,0
H4,2016,2016,2016,5,0,0,M,470,Malta,MLT,112,Belarus,BLR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,21382,21382,,0
H4,2016,2016,2016,5,0,0,M,470,Malta,MLT,116,Cambodia,KHM,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,513058,513058,,0
H4,2016,2016,2016,5,0,0,M,470,Malta,MLT,120,Cameroon,CMR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,12610685,12610685,,0
H4,2016,2016,2016,5,0,0,M,470,Malta,MLT,124,Canada,CAN,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,643548873,643548873,,0
H4,2016,2016,2016,5,0,0,M,470,Malta,MLT,136,Cayman Isds,CYM,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,729924671,729924671,,0
H4,2016,2016,2016,5,0,0,M,470,Malta,MLT,144,Sri Lanka,LKA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,471169,471169,,0
H4,2016,2016,2016,5,0,0,M,470,Malta,MLT,152,Chile,CHL,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,4106782,4106782,,0
H4,2016,2016,2016,5,0,0,M,470,Malta,MLT,170,Colombia,COL,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,2945678,2945678,,0
H4,2016,2016,2016,5,0,0,M,470,Malta,MLT,178,Congo,COG,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,404049,404049,,0
H4,2016,2016,2016,5,0,0,M,470,Malta,MLT,188,Costa Rica,CRI,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,662876,662876,,0
H4,2016,2016,2016,5,0,0,M,470,Malta,MLT,191,Croatia,HRV,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,34141173,34141173,,0
H4,2016,2016,2016,5,0,0,M,470,Malta,MLT,192,Cuba,CUB,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,67875,67875,,0
H4,2016,2016,2016,5,0,0,M,470,Malta,MLT,156,China,CHN,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,224416478,224416478,,0
H4,2016,2016,2016,5,0,0,M,470,Malta,MLT,196,Cyprus,CYP,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,36824932,36824932,,0
H4,2016,2016,2016,5,0,0,M,470,Malta,MLT,203,Czechia,CZE,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,14428617,14428617,,0
H4,2016,2016,2016,5,0,0,M,470,Malta,MLT,208,Denmark,DNK,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,35588508,35588508,,0
H4,2016,2016,2016,5,0,0,M,470,Malta,MLT,214,Dominican Rep.,DOM,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,56621,56621,,0
H4,2016,2016,2016,5,0,0,M,470,Malta,MLT,218,Ecuador,ECU,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,3274728,3274728,,0
H4,2016,2016,2016,5,0,0,M,470,Malta,MLT,231,Ethiopia,ETH,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,7512,7512,,0
H4,2016,2016,2016,5,0,0,M,470,Malta,MLT,232,Eritrea,ERI,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,618,618,,0
H4,2016,2016,2016,5,0,0,M,470,Malta,MLT,233,Estonia,EST,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,7971521,7971521,,0
H4,2016,2016,2016,5,0,0,M,470,Malta,MLT,246,Finland,FIN,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,6808425,6808425,,0
H4,2016,2016,2016,5,0,0,M,470,Malta,MLT,251,France,FRA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,287215712,287215712,,0
H4,2016,2016,2016,5,0,0,M,470,Malta,MLT,258,French Polynesia,PYF,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,4033,4033,,0
H4,2016,2016,2016,5,0,0,M,470,Malta,MLT,262,Djibouti,DJI,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,269222,269222,,0
H4,2016,2016,2016,5,0,0,M,470,Malta,MLT,266,Gabon,GAB,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,67666,67666,,0
H4,2016,2016,2016,5,0,0,M,470,Malta,MLT,268,Georgia,GEO,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,24064,24064,,0
H4,2016,2016,2016,5,0,0,M,470,Malta,MLT,276,Germany,DEU,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,412498296,412498296,,0
H4,2016,2016,2016,5,0,0,M,470,Malta,MLT,288,Ghana,GHA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,12314055,12314055,,0
H4,2016,2016,2016,5,0,0,M,470,Malta,MLT,292,Gibraltar,GIB,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,2865877,2865877,,0
H4,2016,2016,2016,5,0,0,M,470,Malta,MLT,300,Greece,GRC,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,132518151,132518151,,0
H4,2016,2016,2016,5,0,0,M,470,Malta,MLT,340,Honduras,HND,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,14385,14385,,0
H4,2016,2016,2016,5,0,0,M,470,Malta,MLT,344,"China, Hong Kong SAR",HKG,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,44361586,44361586,,0
H4,2016,2016,2016,5,0,0,M,470,Malta,MLT,348,Hungary,HUN,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,9930667,9930667,,0
H4,2016,2016,2016,5,0,0,M,470,Malta,MLT,352,Iceland,ISL,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,2515541,2515541,,0
H4,2016,2016,2016,5,0,0,M,470,Malta,MLT,360,Indonesia,IDN,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,5220463,5220463,,0
