Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2020,2020,2020,0,0,1,Import,478,Mauritania,MRT,0,World,WLD,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,,,2744230322,,,4
H5,2020,2020,2020,0,0,2,Export,478,Mauritania,MRT,0,World,WLD,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,,,2828804807,,,4
H5,2020,2020,2020,0,0,4,Re-Import,478,Mauritania,MRT,0,World,WLD,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,494597,,,0
H5,2020,2020,2020,0,0,1,Import,478,Mauritania,MRT,4,Afghanistan,AFG,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,1297,,,0
H5,2020,2020,2020,0,0,2,Export,478,Mauritania,MRT,4,Afghanistan,AFG,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,1360,,,0
H5,2020,2020,2020,0,0,1,Import,478,Mauritania,MRT,8,Albania,ALB,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,37482,,,0
H5,2020,2020,2020,0,0,1,Import,478,Mauritania,MRT,12,Algeria,DZA,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,41778322,,,0
H5,2020,2020,2020,0,0,2,Export,478,Mauritania,MRT,12,Algeria,DZA,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,452625,,,0
H5,2020,2020,2020,0,0,1,Import,478,Mauritania,MRT,20,Andorra,AND,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,5872,,,0
H5,2020,2020,2020,0,0,2,Export,478,Mauritania,MRT,20,Andorra,AND,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,23065,,,0
H5,2020,2020,2020,0,0,1,Import,478,Mauritania,MRT,24,Angola,AGO,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,1154418,,,0
H5,2020,2020,2020,0,0,2,Export,478,Mauritania,MRT,24,Angola,AGO,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,5088241,,,0
H5,2020,2020,2020,0,0,1,Import,478,Mauritania,MRT,31,Azerbaijan,AZE,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,183365,,,0
H5,2020,2020,2020,0,0,2,Export,478,Mauritania,MRT,31,Azerbaijan,AZE,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,3424,,,0
H5,2020,2020,2020,0,0,1,Import,478,Mauritania,MRT,32,Argentina,ARG,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,1302637,,,0
H5,2020,2020,2020,0,0,2,Export,478,Mauritania,MRT,32,Argentina,ARG,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,1024,,,0
H5,2020,2020,2020,0,0,1,Import,478,Mauritania,MRT,36,Australia,AUS,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,10762501,,,0
H5,2020,2020,2020,0,0,2,Export,478,Mauritania,MRT,36,Australia,AUS,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,74295320,,,0
H5,2020,2020,2020,0,0,1,Import,478,Mauritania,MRT,40,Austria,AUT,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,41774,,,4
