Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2016,2016,2016,5,0,0,X,480,Mauritius,MUS,16,American Samoa,ASM,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,169786,,169786.829,0
H4,2016,2016,2016,5,0,0,X,480,Mauritius,MUS,4,Afghanistan,AFG,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,96823,,96823.549,0
H4,2016,2016,2016,5,0,0,X,480,Mauritius,MUS,8,Albania,ALB,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,34521,,34521.193,0
H4,2016,2016,2016,5,0,0,X,480,Mauritius,MUS,24,Angola,AGO,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,533626,,533626.166,0
H4,2016,2016,2016,5,0,0,X,480,Mauritius,MUS,52,Barbados,BRB,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,503042,,503042.578,0
H4,2016,2016,2016,5,0,0,X,480,Mauritius,MUS,104,Myanmar,MMR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,1270092,,1270092.52,0
H4,2016,2016,2016,5,0,0,X,480,Mauritius,MUS,108,Burundi,BDI,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,284061,,284061.188,0
H4,2016,2016,2016,5,0,0,X,480,Mauritius,MUS,116,Cambodia,KHM,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,9436,,9436.45,0
H4,2016,2016,2016,5,0,0,X,480,Mauritius,MUS,70,Bosnia Herzegovina,BIH,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,146911,,146911.926,0
H4,2016,2016,2016,5,0,0,X,480,Mauritius,MUS,72,Botswana,BWA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,175425,,175425.303,0
H4,2016,2016,2016,5,0,0,X,480,Mauritius,MUS,60,Bermuda,BMU,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,2143572,,2143572.559,0
H4,2016,2016,2016,5,0,0,X,480,Mauritius,MUS,120,Cameroon,CMR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,202373,,202373.192,0
H4,2016,2016,2016,5,0,0,X,480,Mauritius,MUS,132,Cabo Verde,CPV,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,1642,,1642.209,0
H4,2016,2016,2016,5,0,0,X,480,Mauritius,MUS,148,Chad,TCD,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,61654,,61654.176,0
H4,2016,2016,2016,5,0,0,X,480,Mauritius,MUS,184,Cook Isds,COK,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,763433,,763433.149,0
H4,2016,2016,2016,5,0,0,X,480,Mauritius,MUS,191,Croatia,HRV,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,521462,,521462.436,0
H4,2016,2016,2016,5,0,0,X,480,Mauritius,MUS,192,Cuba,CUB,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,700,,700.621,0
H4,2016,2016,2016,5,0,0,X,480,Mauritius,MUS,196,Cyprus,CYP,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,97897,,97897.114,0
H4,2016,2016,2016,5,0,0,X,480,Mauritius,MUS,204,Benin,BEN,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,50672,,50672.748,0
H4,2016,2016,2016,5,0,0,X,480,Mauritius,MUS,242,Fiji,FJI,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,1662,,1662.156,0
H4,2016,2016,2016,5,0,0,X,480,Mauritius,MUS,258,French Polynesia,PYF,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,2032,,2032.484,0
H4,2016,2016,2016,5,0,0,X,480,Mauritius,MUS,262,Djibouti,DJI,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,60563,,60563.703,0
H4,2016,2016,2016,5,0,0,X,480,Mauritius,MUS,266,Gabon,GAB,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,2653,,2653.936,0
H4,2016,2016,2016,5,0,0,X,480,Mauritius,MUS,324,Guinea,GIN,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,124,,124.971,0
H4,2016,2016,2016,5,0,0,X,480,Mauritius,MUS,288,Ghana,GHA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,953139,,953139.631,0
H4,2016,2016,2016,5,0,0,X,480,Mauritius,MUS,296,Kiribati,KIR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,65172,,65172.078,0
H4,2016,2016,2016,5,0,0,X,480,Mauritius,MUS,348,Hungary,HUN,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,1136273,,1136273,0
H4,2016,2016,2016,5,0,0,X,480,Mauritius,MUS,352,Iceland,ISL,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,41023,,41023.099,0
H4,2016,2016,2016,5,0,0,X,480,Mauritius,MUS,368,Iraq,IRQ,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,32783,,32783.695,0
H4,2016,2016,2016,5,0,0,X,480,Mauritius,MUS,398,Kazakhstan,KAZ,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,15255,,15255.656,0
H4,2016,2016,2016,5,0,0,X,480,Mauritius,MUS,400,Jordan,JOR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,18261,,18261.885,0
H4,2016,2016,2016,5,0,0,X,480,Mauritius,MUS,388,Jamaica,JAM,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,2692,,2692.592,0
H4,2016,2016,2016,5,0,0,X,480,Mauritius,MUS,422,Lebanon,LBN,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,54420,,54420.28,0
H4,2016,2016,2016,5,0,0,X,480,Mauritius,MUS,426,Lesotho,LSO,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,46711,,46711.792,0
H4,2016,2016,2016,5,0,0,X,480,Mauritius,MUS,428,Latvia,LVA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,89271,,89271.851,0
H4,2016,2016,2016,5,0,0,X,480,Mauritius,MUS,430,Liberia,LBR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,1024012,,1024012.584,0
H4,2016,2016,2016,5,0,0,X,480,Mauritius,MUS,440,Lithuania,LTU,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,169559,,169559.366,0
H4,2016,2016,2016,5,0,0,X,480,Mauritius,MUS,446,"China, Macao SAR",MAC,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,7566,,7566.074,0
H4,2016,2016,2016,5,0,0,X,480,Mauritius,MUS,454,Malawi,MWI,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,125657,,125657.934,0
H4,2016,2016,2016,5,0,0,X,480,Mauritius,MUS,478,Mauritania,MRT,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,262,,262.968,0
H4,2016,2016,2016,5,0,0,X,480,Mauritius,MUS,504,Morocco,MAR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,292633,,292633.896,0
