Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2016,2016,2016,5,0,0,M,484,Mexico,MEX,450,Madagascar,MDG,0,World,W00,C00,All CPCs,3000,Land,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,301930,0,301930,0
H4,2016,2016,2016,5,0,0,M,484,Mexico,MEX,276,Germany,DEU,0,World,W00,C00,All CPCs,3000,Land,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,2891947138,0,2891947138,0
H4,2016,2016,2016,5,0,0,M,484,Mexico,MEX,196,Cyprus,CYP,0,World,W00,C00,All CPCs,2100,Sea,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,383612,0,383612,0
H4,2016,2016,2016,5,0,0,M,484,Mexico,MEX,233,Estonia,EST,0,World,W00,C00,All CPCs,1000,Air,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,145123082,0,145123082,0
H4,2016,2016,2016,5,0,0,M,484,Mexico,MEX,308,Grenada,GRD,0,World,W00,C00,All CPCs,3000,Land,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,38621,0,38621,0
H4,2016,2016,2016,5,0,0,M,484,Mexico,MEX,528,Netherlands,NLD,0,World,W00,C00,All CPCs,9900,Other,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,75579553,0,75579553,0
H4,2016,2016,2016,5,0,0,M,484,Mexico,MEX,585,Palau,PLW,0,World,W00,C00,All CPCs,1000,Air,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,9977,0,9977,0
H4,2016,2016,2016,5,0,0,M,484,Mexico,MEX,442,Luxembourg,LUX,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,62811126,0,62811126,0
H4,2016,2016,2016,5,0,0,M,484,Mexico,MEX,699,India,IND,0,World,W00,C00,All CPCs,1000,Air,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,502734438,0,502734438,0
H4,2016,2016,2016,5,0,0,M,484,Mexico,MEX,862,Venezuela,VEN,0,World,W00,C00,All CPCs,3000,Land,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,4304072,0,4304072,0
H4,2016,2016,2016,5,0,0,M,484,Mexico,MEX,180,Dem. Rep. of the Congo,COD,0,World,W00,C00,All CPCs,3000,Land,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,11356,0,11356,0
H4,2016,2016,2016,5,0,0,M,484,Mexico,MEX,24,Angola,AGO,0,World,W00,C00,All CPCs,2100,Sea,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,856360,0,856360,0
H4,2016,2016,2016,5,0,0,M,484,Mexico,MEX,64,Bhutan,BTN,0,World,W00,C00,All CPCs,1000,Air,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,211,0,211,0
H4,2016,2016,2016,5,0,0,M,484,Mexico,MEX,826,United Kingdom,GBR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,2125711844,0,2125711844,0
H4,2016,2016,2016,5,0,0,M,484,Mexico,MEX,688,Serbia,SRB,0,World,W00,C00,All CPCs,1000,Air,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,2990796,0,2990796,0
H4,2016,2016,2016,5,0,0,M,484,Mexico,MEX,296,Kiribati,KIR,0,World,W00,C00,All CPCs,1000,Air,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,1085,0,1085,0
H4,2016,2016,2016,5,0,0,M,484,Mexico,MEX,28,Antigua and Barbuda,ATG,0,World,W00,C00,All CPCs,1000,Air,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,46741,0,46741,0
H4,2016,2016,2016,5,0,0,M,484,Mexico,MEX,242,Fiji,FJI,0,World,W00,C00,All CPCs,3000,Land,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,2139083,0,2139083,0
H4,2016,2016,2016,5,0,0,M,484,Mexico,MEX,251,France,FRA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,3731393894,0,3731393894,0
H4,2016,2016,2016,5,0,0,M,484,Mexico,MEX,398,Kazakhstan,KAZ,0,World,W00,C00,All CPCs,2100,Sea,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,2662504,0,2662504,0
