Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2016,2016,2016,5,0,0,M,516,Namibia,NAM,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,6721043529,6721043529,,0
H4,2016,2016,2016,5,0,0,M,516,Namibia,NAM,8,Albania,ALB,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,90664,90664,,0
H4,2016,2016,2016,5,0,0,M,516,Namibia,NAM,12,Algeria,DZA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,1084,1084,,0
H4,2016,2016,2016,5,0,0,M,516,Namibia,NAM,20,Andorra,AND,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,21192,21192,,0
H4,2016,2016,2016,5,0,0,M,516,Namibia,NAM,24,Angola,AGO,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,6170767,6170767,,0
H4,2016,2016,2016,5,0,0,M,516,Namibia,NAM,31,Azerbaijan,AZE,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,5164,5164,,0
H4,2016,2016,2016,5,0,0,M,516,Namibia,NAM,32,Argentina,ARG,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,6560848,6560848,,0
H4,2016,2016,2016,5,0,0,M,516,Namibia,NAM,36,Australia,AUS,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,13256803,13256803,,0
H4,2016,2016,2016,5,0,0,M,516,Namibia,NAM,48,Bahrain,BHR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,17634,17634,,0
H4,2016,2016,2016,5,0,0,M,516,Namibia,NAM,50,Bangladesh,BGD,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,111451,111451,,0
H4,2016,2016,2016,5,0,0,M,516,Namibia,NAM,52,Barbados,BRB,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,14896,14896,,0
H4,2016,2016,2016,5,0,0,M,516,Namibia,NAM,40,Austria,AUT,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,12413163,12413163,,0
H4,2016,2016,2016,5,0,0,M,516,Namibia,NAM,44,Bahamas,BHS,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,161322850,161322850,,0
H4,2016,2016,2016,5,0,0,M,516,Namibia,NAM,56,Belgium,BEL,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,25643715,25643715,,0
H4,2016,2016,2016,5,0,0,M,516,Namibia,NAM,64,Bhutan,BTN,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,2589,2589,,0
H4,2016,2016,2016,5,0,0,M,516,Namibia,NAM,70,Bosnia Herzegovina,BIH,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,1157674,1157674,,0
H4,2016,2016,2016,5,0,0,M,516,Namibia,NAM,60,Bermuda,BMU,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,416,416,,0
H4,2016,2016,2016,5,0,0,M,516,Namibia,NAM,72,Botswana,BWA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,456189647,456189647,,0
H4,2016,2016,2016,5,0,0,M,516,Namibia,NAM,76,Brazil,BRA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,4481939,4481939,,0
H4,2016,2016,2016,5,0,0,M,516,Namibia,NAM,84,Belize,BLZ,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,7764570,7764570,,0
H4,2016,2016,2016,5,0,0,M,516,Namibia,NAM,92,Br. Virgin Isds,VGB,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,121530,121530,,0
H4,2016,2016,2016,5,0,0,M,516,Namibia,NAM,100,Bulgaria,BGR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,43428701,43428701,,0
H4,2016,2016,2016,5,0,0,M,516,Namibia,NAM,116,Cambodia,KHM,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,24038,24038,,0
H4,2016,2016,2016,5,0,0,M,516,Namibia,NAM,120,Cameroon,CMR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,74,74,,0
H4,2016,2016,2016,5,0,0,M,516,Namibia,NAM,124,Canada,CAN,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,10414517,10414517,,0
H4,2016,2016,2016,5,0,0,M,516,Namibia,NAM,136,Cayman Isds,CYM,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,1585,1585,,0
H4,2016,2016,2016,5,0,0,M,516,Namibia,NAM,144,Sri Lanka,LKA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,45393,45393,,0
H4,2016,2016,2016,5,0,0,M,516,Namibia,NAM,152,Chile,CHL,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,52003651,52003651,,0
H4,2016,2016,2016,5,0,0,M,516,Namibia,NAM,178,Congo,COG,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,843,843,,0
H4,2016,2016,2016,5,0,0,M,516,Namibia,NAM,180,Dem. Rep. of the Congo,COD,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,21843909,21843909,,0
H4,2016,2016,2016,5,0,0,M,516,Namibia,NAM,188,Costa Rica,CRI,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,17702,17702,,0
H4,2016,2016,2016,5,0,0,M,516,Namibia,NAM,191,Croatia,HRV,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,15843,15843,,0
H4,2016,2016,2016,5,0,0,M,516,Namibia,NAM,192,Cuba,CUB,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,10715,10715,,0
H4,2016,2016,2016,5,0,0,M,516,Namibia,NAM,196,Cyprus,CYP,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,240253,240253,,0
H4,2016,2016,2016,5,0,0,M,516,Namibia,NAM,203,Czechia,CZE,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,2341373,2341373,,0
H4,2016,2016,2016,5,0,0,M,516,Namibia,NAM,204,Benin,BEN,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,101284,101284,,0
H4,2016,2016,2016,5,0,0,M,516,Namibia,NAM,156,China,CHN,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,197185069,197185069,,0
H4,2016,2016,2016,5,0,0,M,516,Namibia,NAM,170,Colombia,COL,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,1358,1358,,0
H4,2016,2016,2016,5,0,0,M,516,Namibia,NAM,208,Denmark,DNK,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,5462428,5462428,,0
H4,2016,2016,2016,5,0,0,M,516,Namibia,NAM,212,Dominica,DMA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,6263,6263,,0
H4,2016,2016,2016,5,0,0,M,516,Namibia,NAM,214,Dominican Rep.,DOM,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,4347,4347,,0
H4,2016,2016,2016,5,0,0,M,516,Namibia,NAM,218,Ecuador,ECU,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,10873,10873,,0
H4,2016,2016,2016,5,0,0,M,516,Namibia,NAM,222,El Salvador,SLV,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,421,421,,0
