Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2016,2016,2016,5,0,0,RX,554,New Zealand,NZL,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,1442978501,,,0
H4,2016,2016,2016,5,0,0,RX,554,New Zealand,NZL,4,Afghanistan,AFG,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,27604,,,0
H4,2016,2016,2016,5,0,0,RX,554,New Zealand,NZL,12,Algeria,DZA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,736,,,0
H4,2016,2016,2016,5,0,0,RX,554,New Zealand,NZL,16,American Samoa,ASM,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,3283045,,,0
H4,2016,2016,2016,5,0,0,RX,554,New Zealand,NZL,24,Angola,AGO,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,2749,,,0
H4,2016,2016,2016,5,0,0,RX,554,New Zealand,NZL,28,Antigua and Barbuda,ATG,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,133729,,,0
H4,2016,2016,2016,5,0,0,RX,554,New Zealand,NZL,32,Argentina,ARG,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,2179851,,,0
H4,2016,2016,2016,5,0,0,RX,554,New Zealand,NZL,44,Bahamas,BHS,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,34370,,,0
H4,2016,2016,2016,5,0,0,RX,554,New Zealand,NZL,36,Australia,AUS,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,548551019,,,0
H4,2016,2016,2016,5,0,0,RX,554,New Zealand,NZL,40,Austria,AUT,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,2111898,,,0
H4,2016,2016,2016,5,0,0,RX,554,New Zealand,NZL,48,Bahrain,BHR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,102797,,,0
H4,2016,2016,2016,5,0,0,RX,554,New Zealand,NZL,50,Bangladesh,BGD,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,226042,,,0
H4,2016,2016,2016,5,0,0,RX,554,New Zealand,NZL,52,Barbados,BRB,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,1344832,,,0
H4,2016,2016,2016,5,0,0,RX,554,New Zealand,NZL,56,Belgium,BEL,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,4964339,,,0
H4,2016,2016,2016,5,0,0,RX,554,New Zealand,NZL,60,Bermuda,BMU,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,17392,,,0
H4,2016,2016,2016,5,0,0,RX,554,New Zealand,NZL,76,Brazil,BRA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,2995863,,,0
H4,2016,2016,2016,5,0,0,RX,554,New Zealand,NZL,68,Bolivia (Plurinational State of),BOL,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,679885,,,0
H4,2016,2016,2016,5,0,0,RX,554,New Zealand,NZL,72,Botswana,BWA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,4612,,,0
H4,2016,2016,2016,5,0,0,RX,554,New Zealand,NZL,90,Solomon Isds,SLB,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,2147601,,,0
H4,2016,2016,2016,5,0,0,RX,554,New Zealand,NZL,92,Br. Virgin Isds,VGB,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,1147,,,0
H4,2016,2016,2016,5,0,0,RX,554,New Zealand,NZL,96,Brunei Darussalam,BRN,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,141650,,,0
H4,2016,2016,2016,5,0,0,RX,554,New Zealand,NZL,100,Bulgaria,BGR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,6209,,,0
H4,2016,2016,2016,5,0,0,RX,554,New Zealand,NZL,104,Myanmar,MMR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,2606617,,,0
H4,2016,2016,2016,5,0,0,RX,554,New Zealand,NZL,112,Belarus,BLR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,4408,,,0
H4,2016,2016,2016,5,0,0,RX,554,New Zealand,NZL,116,Cambodia,KHM,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,172355,,,0
H4,2016,2016,2016,5,0,0,RX,554,New Zealand,NZL,120,Cameroon,CMR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,39763,,,0
H4,2016,2016,2016,5,0,0,RX,554,New Zealand,NZL,124,Canada,CAN,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,15329139,,,0
H4,2016,2016,2016,5,0,0,RX,554,New Zealand,NZL,136,Cayman Isds,CYM,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,5556,,,0
H4,2016,2016,2016,5,0,0,RX,554,New Zealand,NZL,152,Chile,CHL,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,2192533,,,0
H4,2016,2016,2016,5,0,0,RX,554,New Zealand,NZL,144,Sri Lanka,LKA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,320271,,,0
H4,2016,2016,2016,5,0,0,RX,554,New Zealand,NZL,156,China,CHN,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,17398266,,,0
H4,2016,2016,2016,5,0,0,RX,554,New Zealand,NZL,162,Christmas Isds,CXR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,16512,,,0
H4,2016,2016,2016,5,0,0,RX,554,New Zealand,NZL,170,Colombia,COL,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,614665,,,0
H4,2016,2016,2016,5,0,0,RX,554,New Zealand,NZL,178,Congo,COG,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,4821,,,0
H4,2016,2016,2016,5,0,0,RX,554,New Zealand,NZL,180,Dem. Rep. of the Congo,COD,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,3185,,,0
H4,2016,2016,2016,5,0,0,RX,554,New Zealand,NZL,184,Cook Isds,COK,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,10725374,,,0
H4,2016,2016,2016,5,0,0,RX,554,New Zealand,NZL,188,Costa Rica,CRI,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,26284,,,0
H4,2016,2016,2016,5,0,0,RX,554,New Zealand,NZL,191,Croatia,HRV,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,20563,,,0
H4,2016,2016,2016,5,0,0,RX,554,New Zealand,NZL,192,Cuba,CUB,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,18606,,,0
H4,2016,2016,2016,5,0,0,RX,554,New Zealand,NZL,196,Cyprus,CYP,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,53787,,,0
H4,2016,2016,2016,5,0,0,RX,554,New Zealand,NZL,203,Czechia,CZE,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,81823,,,0
H4,2016,2016,2016,5,0,0,RX,554,New Zealand,NZL,208,Denmark,DNK,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,2294403,,,0
H4,2016,2016,2016,5,0,0,RX,554,New Zealand,NZL,214,Dominican Rep.,DOM,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,46921,,,0
H4,2016,2016,2016,5,0,0,RX,554,New Zealand,NZL,218,Ecuador,ECU,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,60849,,,0
H4,2016,2016,2016,5,0,0,RX,554,New Zealand,NZL,233,Estonia,EST,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,1701,,,0
H4,2016,2016,2016,5,0,0,RX,554,New Zealand,NZL,238,Falkland Isds (Malvinas),FLK,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,4510,,,0
H4,2016,2016,2016,5,0,0,RX,554,New Zealand,NZL,242,Fiji,FJI,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,72174618,,,0
H4,2016,2016,2016,5,0,0,RX,554,New Zealand,NZL,246,Finland,FIN,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,552806,,,0
H4,2016,2016,2016,5,0,0,RX,554,New Zealand,NZL,251,France,FRA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,4950340,,,0
H4,2016,2016,2016,5,0,0,RX,554,New Zealand,NZL,258,French Polynesia,PYF,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,12077632,,,0
H4,2016,2016,2016,5,0,0,RX,554,New Zealand,NZL,266,Gabon,GAB,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,1036,,,0
