Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2016,2016,2016,5,0,0,M,566,Nigeria,NGA,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,35194301007,35194301007,,0
H4,2016,2016,2016,5,0,0,M,566,Nigeria,NGA,4,Afghanistan,AFG,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,7267,7267,,0
H4,2016,2016,2016,5,0,0,M,566,Nigeria,NGA,8,Albania,ALB,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,6912,6912,,0
H4,2016,2016,2016,5,0,0,M,566,Nigeria,NGA,20,Andorra,AND,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,397087,397087,,0
H4,2016,2016,2016,5,0,0,M,566,Nigeria,NGA,24,Angola,AGO,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,1555380,1555380,,0
H4,2016,2016,2016,5,0,0,M,566,Nigeria,NGA,28,Antigua and Barbuda,ATG,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,80611,80611,,0
H4,2016,2016,2016,5,0,0,M,566,Nigeria,NGA,31,Azerbaijan,AZE,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,22003,22003,,0
H4,2016,2016,2016,5,0,0,M,566,Nigeria,NGA,32,Argentina,ARG,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,29795354,29795354,,0
H4,2016,2016,2016,5,0,0,M,566,Nigeria,NGA,12,Algeria,DZA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,5993043,5993043,,0
H4,2016,2016,2016,5,0,0,M,566,Nigeria,NGA,16,American Samoa,ASM,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,4481,4481,,0
H4,2016,2016,2016,5,0,0,M,566,Nigeria,NGA,36,Australia,AUS,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,176711859,176711859,,0
H4,2016,2016,2016,5,0,0,M,566,Nigeria,NGA,40,Austria,AUT,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,28355631,28355631,,0
H4,2016,2016,2016,5,0,0,M,566,Nigeria,NGA,50,Bangladesh,BGD,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,2057931,2057931,,0
H4,2016,2016,2016,5,0,0,M,566,Nigeria,NGA,51,Armenia,ARM,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,17922,17922,,0
H4,2016,2016,2016,5,0,0,M,566,Nigeria,NGA,44,Bahamas,BHS,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,10048,10048,,0
H4,2016,2016,2016,5,0,0,M,566,Nigeria,NGA,48,Bahrain,BHR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,3994067,3994067,,0
H4,2016,2016,2016,5,0,0,M,566,Nigeria,NGA,56,Belgium,BEL,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,4267635120,4267635120,,0
H4,2016,2016,2016,5,0,0,M,566,Nigeria,NGA,68,Bolivia (Plurinational State of),BOL,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,16975,16975,,0
H4,2016,2016,2016,5,0,0,M,566,Nigeria,NGA,70,Bosnia Herzegovina,BIH,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,286178,286178,,0
H4,2016,2016,2016,5,0,0,M,566,Nigeria,NGA,72,Botswana,BWA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,8299,8299,,0
H4,2016,2016,2016,5,0,0,M,566,Nigeria,NGA,74,Bouvet Island,BVT,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,13421,13421,,0
H4,2016,2016,2016,5,0,0,M,566,Nigeria,NGA,76,Brazil,BRA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,1021514427,1021514427,,0
H4,2016,2016,2016,5,0,0,M,566,Nigeria,NGA,86,Br. Indian Ocean Terr.,IOT,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,62757,62757,,0
H4,2016,2016,2016,5,0,0,M,566,Nigeria,NGA,92,Br. Virgin Isds,VGB,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,1325221,1325221,,0
H4,2016,2016,2016,5,0,0,M,566,Nigeria,NGA,96,Brunei Darussalam,BRN,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,137834,137834,,0
H4,2016,2016,2016,5,0,0,M,566,Nigeria,NGA,100,Bulgaria,BGR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,2751322,2751322,,0
H4,2016,2016,2016,5,0,0,M,566,Nigeria,NGA,108,Burundi,BDI,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,4207,4207,,0
H4,2016,2016,2016,5,0,0,M,566,Nigeria,NGA,84,Belize,BLZ,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,6815,6815,,0
H4,2016,2016,2016,5,0,0,M,566,Nigeria,NGA,120,Cameroon,CMR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,3573874,3573874,,0
H4,2016,2016,2016,5,0,0,M,566,Nigeria,NGA,112,Belarus,BLR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,1432399,1432399,,0
H4,2016,2016,2016,5,0,0,M,566,Nigeria,NGA,116,Cambodia,KHM,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,43808,43808,,0
