Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2016,2016,2016,5,0,0,X,579,Norway,NOR,8,Albania,ALB,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,2515775,,2515775,0
H4,2016,2016,2016,5,0,0,X,579,Norway,NOR,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,89628326847,,89628326847,0
H4,2016,2016,2016,5,0,0,X,579,Norway,NOR,4,Afghanistan,AFG,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,1311651,,1311651,0
H4,2016,2016,2016,5,0,0,X,579,Norway,NOR,12,Algeria,DZA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,26406936,,26406936,0
H4,2016,2016,2016,5,0,0,X,579,Norway,NOR,20,Andorra,AND,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,18981,,18981,0
H4,2016,2016,2016,5,0,0,X,579,Norway,NOR,24,Angola,AGO,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,464491130,,464491130,0
H4,2016,2016,2016,5,0,0,X,579,Norway,NOR,28,Antigua and Barbuda,ATG,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,239834,,239834,0
H4,2016,2016,2016,5,0,0,X,579,Norway,NOR,31,Azerbaijan,AZE,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,228554993,,228554993,0
H4,2016,2016,2016,5,0,0,X,579,Norway,NOR,32,Argentina,ARG,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,78572929,,78572929,0
H4,2016,2016,2016,5,0,0,X,579,Norway,NOR,36,Australia,AUS,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,188732916,,188732916,0
H4,2016,2016,2016,5,0,0,X,579,Norway,NOR,40,Austria,AUT,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,215592528,,215592528,0
H4,2016,2016,2016,5,0,0,X,579,Norway,NOR,44,Bahamas,BHS,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,85439225,,85439225,0
H4,2016,2016,2016,5,0,0,X,579,Norway,NOR,48,Bahrain,BHR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,7616048,,7616048,0
H4,2016,2016,2016,5,0,0,X,579,Norway,NOR,50,Bangladesh,BGD,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,16090480,,16090480,0
H4,2016,2016,2016,5,0,0,X,579,Norway,NOR,51,Armenia,ARM,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,745875,,745875,0
H4,2016,2016,2016,5,0,0,X,579,Norway,NOR,52,Barbados,BRB,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,842466,,842466,0
H4,2016,2016,2016,5,0,0,X,579,Norway,NOR,56,Belgium,BEL,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,3900098096,,3900098096,0
H4,2016,2016,2016,5,0,0,X,579,Norway,NOR,60,Bermuda,BMU,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,46629576,,46629576,0
H4,2016,2016,2016,5,0,0,X,579,Norway,NOR,68,Bolivia (Plurinational State of),BOL,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,6062062,,6062062,0
H4,2016,2016,2016,5,0,0,X,579,Norway,NOR,70,Bosnia Herzegovina,BIH,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,2338221,,2338221,0
H4,2016,2016,2016,5,0,0,X,579,Norway,NOR,72,Botswana,BWA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,85891,,85891,0
H4,2016,2016,2016,5,0,0,X,579,Norway,NOR,64,Bhutan,BTN,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,414742,,414742,0
H4,2016,2016,2016,5,0,0,X,579,Norway,NOR,76,Brazil,BRA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,492249659,,492249659,0
H4,2016,2016,2016,5,0,0,X,579,Norway,NOR,84,Belize,BLZ,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,117532,,117532,0
H4,2016,2016,2016,5,0,0,X,579,Norway,NOR,90,Solomon Isds,SLB,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,33271,,33271,0
H4,2016,2016,2016,5,0,0,X,579,Norway,NOR,92,Br. Virgin Isds,VGB,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,449473,,449473,0
H4,2016,2016,2016,5,0,0,X,579,Norway,NOR,96,Brunei Darussalam,BRN,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,1602641,,1602641,0
H4,2016,2016,2016,5,0,0,X,579,Norway,NOR,100,Bulgaria,BGR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,35185162,,35185162,0
H4,2016,2016,2016,5,0,0,X,579,Norway,NOR,104,Myanmar,MMR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,1210482,,1210482,0
H4,2016,2016,2016,5,0,0,X,579,Norway,NOR,108,Burundi,BDI,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,218099,,218099,0
H4,2016,2016,2016,5,0,0,X,579,Norway,NOR,116,Cambodia,KHM,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,61062,,61062,0
H4,2016,2016,2016,5,0,0,X,579,Norway,NOR,120,Cameroon,CMR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,6092472,,6092472,0
H4,2016,2016,2016,5,0,0,X,579,Norway,NOR,112,Belarus,BLR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,137347986,,137347986,0
H4,2016,2016,2016,5,0,0,X,579,Norway,NOR,124,Canada,CAN,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,975838256,,975838256,0
H4,2016,2016,2016,5,0,0,X,579,Norway,NOR,132,Cabo Verde,CPV,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,59611,,59611,0
H4,2016,2016,2016,5,0,0,X,579,Norway,NOR,136,Cayman Isds,CYM,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,433156849,,433156849,0
H4,2016,2016,2016,5,0,0,X,579,Norway,NOR,140,Central African Rep.,CAF,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,98907,,98907,0
H4,2016,2016,2016,5,0,0,X,579,Norway,NOR,148,Chad,TCD,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,68193,,68193,0
H4,2016,2016,2016,5,0,0,X,579,Norway,NOR,144,Sri Lanka,LKA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,6996975,,6996975,0
H4,2016,2016,2016,5,0,0,X,579,Norway,NOR,152,Chile,CHL,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,134997610,,134997610,0
H4,2016,2016,2016,5,0,0,X,579,Norway,NOR,156,China,CHN,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,2356367314,,2356367314,0
H4,2016,2016,2016,5,0,0,X,579,Norway,NOR,170,Colombia,COL,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,23809935,,23809935,0
H4,2016,2016,2016,5,0,0,X,579,Norway,NOR,174,Comoros,COM,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,582769,,582769,0
H4,2016,2016,2016,5,0,0,X,579,Norway,NOR,178,Congo,COG,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,309534070,,309534070,0
H4,2016,2016,2016,5,0,0,X,579,Norway,NOR,180,Dem. Rep. of the Congo,COD,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,9496218,,9496218,0
H4,2016,2016,2016,5,0,0,X,579,Norway,NOR,184,Cook Isds,COK,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,501522,,501522,0
H4,2016,2016,2016,5,0,0,X,579,Norway,NOR,188,Costa Rica,CRI,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,10561041,,10561041,0
H4,2016,2016,2016,5,0,0,X,579,Norway,NOR,191,Croatia,HRV,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,35877653,,35877653,0
H4,2016,2016,2016,5,0,0,X,579,Norway,NOR,192,Cuba,CUB,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,678029,,678029,0
H4,2016,2016,2016,5,0,0,X,579,Norway,NOR,196,Cyprus,CYP,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,92632338,,92632338,0
H4,2016,2016,2016,5,0,0,X,579,Norway,NOR,203,Czechia,CZE,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,221509458,,221509458,0
H4,2016,2016,2016,5,0,0,X,579,Norway,NOR,204,Benin,BEN,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,10948615,,10948615,0
H4,2016,2016,2016,5,0,0,X,579,Norway,NOR,208,Denmark,DNK,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,3571794177,,3571794177,0
