Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,0,0,1,Import,490,"Other Asia, nes",,0,World,WLD,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,259609174581,,,4
H5,2017,2017,2017,0,0,2,Export,490,"Other Asia, nes",,0,World,WLD,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,317663172110,,,4
H5,2017,2017,2017,0,0,1,Import,490,"Other Asia, nes",,4,Afghanistan,AFG,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,20187,,,4
H5,2017,2017,2017,0,0,2,Export,490,"Other Asia, nes",,4,Afghanistan,AFG,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,1675300,,,0
H5,2017,2017,2017,0,0,1,Import,490,"Other Asia, nes",,8,Albania,ALB,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,1260534,,,4
H5,2017,2017,2017,0,0,2,Export,490,"Other Asia, nes",,8,Albania,ALB,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,9625662,,,4
H5,2017,2017,2017,0,0,1,Import,490,"Other Asia, nes",,10,Antarctica,ATA,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,65,,,0
H5,2017,2017,2017,0,0,2,Export,490,"Other Asia, nes",,10,Antarctica,ATA,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,109059,,,0
H5,2017,2017,2017,0,0,1,Import,490,"Other Asia, nes",,12,Algeria,DZA,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,215176065,,,4
H5,2017,2017,2017,0,0,2,Export,490,"Other Asia, nes",,12,Algeria,DZA,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,81540894,,,4
H5,2017,2017,2017,0,0,1,Import,490,"Other Asia, nes",,16,American Samoa,ASM,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,691438,,,4
H5,2017,2017,2017,0,0,2,Export,490,"Other Asia, nes",,16,American Samoa,ASM,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,15861321,,,4
H5,2017,2017,2017,0,0,1,Import,490,"Other Asia, nes",,20,Andorra,AND,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,124708,,,4
H5,2017,2017,2017,0,0,2,Export,490,"Other Asia, nes",,20,Andorra,AND,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,78144,,,0
H5,2017,2017,2017,0,0,1,Import,490,"Other Asia, nes",,24,Angola,AGO,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,1479442599,,,0
H5,2017,2017,2017,0,0,2,Export,490,"Other Asia, nes",,24,Angola,AGO,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,29040282,,,4
H5,2017,2017,2017,0,0,1,Import,490,"Other Asia, nes",,28,Antigua and Barbuda,ATG,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,153806,,,0
H5,2017,2017,2017,0,0,2,Export,490,"Other Asia, nes",,28,Antigua and Barbuda,ATG,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,106132,,,0
H5,2017,2017,2017,0,0,1,Import,490,"Other Asia, nes",,31,Azerbaijan,AZE,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,709835810,,,0
H5,2017,2017,2017,0,0,2,Export,490,"Other Asia, nes",,31,Azerbaijan,AZE,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,1700295,,,4
H5,2017,2017,2017,0,0,1,Import,490,"Other Asia, nes",,32,Argentina,ARG,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,116886569,,,4
H5,2017,2017,2017,0,0,2,Export,490,"Other Asia, nes",,32,Argentina,ARG,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,300903030,,,4
H5,2017,2017,2017,0,0,1,Import,490,"Other Asia, nes",,36,Australia,AUS,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,8232053885,,,4
H5,2017,2017,2017,0,0,2,Export,490,"Other Asia, nes",,36,Australia,AUS,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,3106423249,,,4
H5,2017,2017,2017,0,0,1,Import,490,"Other Asia, nes",,40,Austria,AUT,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,522369742,,,4
H5,2017,2017,2017,0,0,2,Export,490,"Other Asia, nes",,40,Austria,AUT,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,418165623,,,4
H5,2017,2017,2017,0,0,1,Import,490,"Other Asia, nes",,44,Bahamas,BHS,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,403553,,,4
