Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2016,2016,2016,5,0,0,X,608,Philippines,PHL,12,Algeria,DZA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,2432460,,2432460,0
H2,2016,2016,2016,5,0,0,X,608,Philippines,PHL,16,American Samoa,ASM,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,2570536,,2570536,0
H2,2016,2016,2016,5,0,0,X,608,Philippines,PHL,20,Andorra,AND,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,203185,,203185,0
H2,2016,2016,2016,5,0,0,X,608,Philippines,PHL,24,Angola,AGO,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,361640,,361640,0
H2,2016,2016,2016,5,0,0,X,608,Philippines,PHL,28,Antigua and Barbuda,ATG,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,36644,,36644,0
H2,2016,2016,2016,5,0,0,X,608,Philippines,PHL,31,Azerbaijan,AZE,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,81527,,81527,0
H2,2016,2016,2016,5,0,0,X,608,Philippines,PHL,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,56312747948,,56312747948,0
H2,2016,2016,2016,5,0,0,X,608,Philippines,PHL,4,Afghanistan,AFG,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,7370376,,7370376,0
H2,2016,2016,2016,5,0,0,X,608,Philippines,PHL,8,Albania,ALB,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,9261,,9261,0
H2,2016,2016,2016,5,0,0,X,608,Philippines,PHL,32,Argentina,ARG,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,75960913,,75960913,0
H2,2016,2016,2016,5,0,0,X,608,Philippines,PHL,36,Australia,AUS,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,486051410,,486051410,0
H2,2016,2016,2016,5,0,0,X,608,Philippines,PHL,40,Austria,AUT,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,67115696,,67115696,0
H2,2016,2016,2016,5,0,0,X,608,Philippines,PHL,44,Bahamas,BHS,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,692422,,692422,0
H2,2016,2016,2016,5,0,0,X,608,Philippines,PHL,48,Bahrain,BHR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,7470428,,7470428,0
H2,2016,2016,2016,5,0,0,X,608,Philippines,PHL,50,Bangladesh,BGD,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,15346807,,15346807,0
H2,2016,2016,2016,5,0,0,X,608,Philippines,PHL,51,Armenia,ARM,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,166690,,166690,0
H2,2016,2016,2016,5,0,0,X,608,Philippines,PHL,52,Barbados,BRB,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,116435,,116435,0
H2,2016,2016,2016,5,0,0,X,608,Philippines,PHL,56,Belgium,BEL,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,399641670,,399641670,0
H2,2016,2016,2016,5,0,0,X,608,Philippines,PHL,60,Bermuda,BMU,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,68415,,68415,0
H2,2016,2016,2016,5,0,0,X,608,Philippines,PHL,64,Bhutan,BTN,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,149588,,149588,0
H2,2016,2016,2016,5,0,0,X,608,Philippines,PHL,68,Bolivia (Plurinational State of),BOL,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,715992,,715992,0
H2,2016,2016,2016,5,0,0,X,608,Philippines,PHL,70,Bosnia Herzegovina,BIH,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,44677,,44677,0
H2,2016,2016,2016,5,0,0,X,608,Philippines,PHL,72,Botswana,BWA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,131419,,131419,0
H2,2016,2016,2016,5,0,0,X,608,Philippines,PHL,76,Brazil,BRA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,88534551,,88534551,0
H2,2016,2016,2016,5,0,0,X,608,Philippines,PHL,84,Belize,BLZ,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,123258,,123258,0
H2,2016,2016,2016,5,0,0,X,608,Philippines,PHL,86,Br. Indian Ocean Terr.,IOT,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,300,,300,0
H2,2016,2016,2016,5,0,0,X,608,Philippines,PHL,92,Br. Virgin Isds,VGB,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,8864740,,8864740,0
H2,2016,2016,2016,5,0,0,X,608,Philippines,PHL,96,Brunei Darussalam,BRN,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,8248054,,8248054,0
H2,2016,2016,2016,5,0,0,X,608,Philippines,PHL,90,Solomon Isds,SLB,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,1242951,,1242951,0
H2,2016,2016,2016,5,0,0,X,608,Philippines,PHL,104,Myanmar,MMR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,16796821,,16796821,0
H2,2016,2016,2016,5,0,0,X,608,Philippines,PHL,108,Burundi,BDI,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,130604,,130604,0
H2,2016,2016,2016,5,0,0,X,608,Philippines,PHL,112,Belarus,BLR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,362456,,362456,0
H2,2016,2016,2016,5,0,0,X,608,Philippines,PHL,100,Bulgaria,BGR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,31684585,,31684585,0
H2,2016,2016,2016,5,0,0,X,608,Philippines,PHL,116,Cambodia,KHM,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,16104842,,16104842,0
H2,2016,2016,2016,5,0,0,X,608,Philippines,PHL,120,Cameroon,CMR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,2444465,,2444465,0
H2,2016,2016,2016,5,0,0,X,608,Philippines,PHL,136,Cayman Isds,CYM,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,167212,,167212,0
H2,2016,2016,2016,5,0,0,X,608,Philippines,PHL,140,Central African Rep.,CAF,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,4814,,4814,0
H2,2016,2016,2016,5,0,0,X,608,Philippines,PHL,144,Sri Lanka,LKA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,32534952,,32534952,0
H2,2016,2016,2016,5,0,0,X,608,Philippines,PHL,148,Chad,TCD,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,4089,,4089,0
H2,2016,2016,2016,5,0,0,X,608,Philippines,PHL,124,Canada,CAN,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,523916320,,523916320,0
H2,2016,2016,2016,5,0,0,X,608,Philippines,PHL,132,Cabo Verde,CPV,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,7393,,7393,0
H2,2016,2016,2016,5,0,0,X,608,Philippines,PHL,152,Chile,CHL,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,36474140,,36474140,0
H2,2016,2016,2016,5,0,0,X,608,Philippines,PHL,156,China,CHN,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,6192432904,,6192432904,0
H2,2016,2016,2016,5,0,0,X,608,Philippines,PHL,170,Colombia,COL,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,10480837,,10480837,0
H2,2016,2016,2016,5,0,0,X,608,Philippines,PHL,178,Congo,COG,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,561446,,561446,0
H2,2016,2016,2016,5,0,0,X,608,Philippines,PHL,184,Cook Isds,COK,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,21851,,21851,0
H2,2016,2016,2016,5,0,0,X,608,Philippines,PHL,188,Costa Rica,CRI,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,15558731,,15558731,0
H2,2016,2016,2016,5,0,0,X,608,Philippines,PHL,191,Croatia,HRV,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,1900593,,1900593,0
