Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2020,2020,2020,0,0,1,Import,634,Qatar,QAT,0,World,WLD,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,25834885666,,,4
H5,2020,2020,2020,0,0,2,Export,634,Qatar,QAT,0,World,WLD,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,51504158057,,,4
H5,2020,2020,2020,0,0,1,Import,634,Qatar,QAT,4,Afghanistan,AFG,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,276374,,,0
H5,2020,2020,2020,0,0,2,Export,634,Qatar,QAT,4,Afghanistan,AFG,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,57336,,,0
H5,2020,2020,2020,0,0,1,Import,634,Qatar,QAT,8,Albania,ALB,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,125026,,,0
H5,2020,2020,2020,0,0,2,Export,634,Qatar,QAT,8,Albania,ALB,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,2207585,,,0
H5,2020,2020,2020,0,0,1,Import,634,Qatar,QAT,12,Algeria,DZA,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,2071748,,,0
H5,2020,2020,2020,0,0,2,Export,634,Qatar,QAT,12,Algeria,DZA,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,33749461,,,0
H5,2020,2020,2020,0,0,2,Export,634,Qatar,QAT,24,Angola,AGO,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,6128451,,,0
H5,2020,2020,2020,0,0,1,Import,634,Qatar,QAT,31,Azerbaijan,AZE,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,458187,,,0
H5,2020,2020,2020,0,0,2,Export,634,Qatar,QAT,31,Azerbaijan,AZE,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,12241797,,,0
H5,2020,2020,2020,0,0,1,Import,634,Qatar,QAT,32,Argentina,ARG,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,43077145,,,0
H5,2020,2020,2020,0,0,2,Export,634,Qatar,QAT,32,Argentina,ARG,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,65986999,,,0
H5,2020,2020,2020,0,0,1,Import,634,Qatar,QAT,36,Australia,AUS,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,481632520,,,4
H5,2020,2020,2020,0,0,2,Export,634,Qatar,QAT,36,Australia,AUS,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,204360603,,,0
H5,2020,2020,2020,0,0,1,Import,634,Qatar,QAT,40,Austria,AUT,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,148655906,,,4
H5,2020,2020,2020,0,0,2,Export,634,Qatar,QAT,40,Austria,AUT,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,16641018,,,0
H5,2020,2020,2020,0,0,1,Import,634,Qatar,QAT,44,Bahamas,BHS,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,23341,,,0
H5,2020,2020,2020,0,0,1,Import,634,Qatar,QAT,48,Bahrain,BHR,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,65368,,,0
H5,2020,2020,2020,0,0,1,Import,634,Qatar,QAT,50,Bangladesh,BGD,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,51036921,,,0
H5,2020,2020,2020,0,0,2,Export,634,Qatar,QAT,50,Bangladesh,BGD,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,967345806,,,0
H5,2020,2020,2020,0,0,1,Import,634,Qatar,QAT,51,Armenia,ARM,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,7124176,,,0
H5,2020,2020,2020,0,0,2,Export,634,Qatar,QAT,51,Armenia,ARM,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,176424,,,0
