Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2016,2016,2016,5,0,0,X,643,Russian Federation,RUS,4,Afghanistan,AFG,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,236111959,,236111959.43,0
H4,2016,2016,2016,5,0,0,X,643,Russian Federation,RUS,8,Albania,ALB,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,58352909,,58352909.76,0
H4,2016,2016,2016,5,0,0,X,643,Russian Federation,RUS,20,Andorra,AND,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,2365570,,2365570.26,0
H4,2016,2016,2016,5,0,0,X,643,Russian Federation,RUS,28,Antigua and Barbuda,ATG,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,6189,,6189.38,0
H4,2016,2016,2016,5,0,0,X,643,Russian Federation,RUS,44,Bahamas,BHS,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,393386,,393386.7,0
H4,2016,2016,2016,5,0,0,X,643,Russian Federation,RUS,48,Bahrain,BHR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,48639383,,48639383.62,0
H4,2016,2016,2016,5,0,0,X,643,Russian Federation,RUS,52,Barbados,BRB,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,61,,61.21,0
H4,2016,2016,2016,5,0,0,X,643,Russian Federation,RUS,64,Bhutan,BTN,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,328,,328.53,0
H4,2016,2016,2016,5,0,0,X,643,Russian Federation,RUS,60,Bermuda,BMU,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,115,,115.92,0
H4,2016,2016,2016,5,0,0,X,643,Russian Federation,RUS,68,Bolivia (Plurinational State of),BOL,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,2593933,,2593933.66,0
H4,2016,2016,2016,5,0,0,X,643,Russian Federation,RUS,72,Botswana,BWA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,21248736,,21248736.29,0
H4,2016,2016,2016,5,0,0,X,643,Russian Federation,RUS,84,Belize,BLZ,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,1785883,,1785883.82,0
