Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H3,2016,2016,2016,5,0,0,M,659,Saint Kitts and Nevis,KNA,4,Afghanistan,AFG,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,21794,21794,,0
H3,2016,2016,2016,5,0,0,M,659,Saint Kitts and Nevis,KNA,16,American Samoa,ASM,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,8,8.241,,0
H3,2016,2016,2016,5,0,0,M,659,Saint Kitts and Nevis,KNA,20,Andorra,AND,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,139,139.059,,0
H3,2016,2016,2016,5,0,0,M,659,Saint Kitts and Nevis,KNA,32,Argentina,ARG,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,133454,133454.637,,0
H3,2016,2016,2016,5,0,0,M,659,Saint Kitts and Nevis,KNA,40,Austria,AUT,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,184549,184549.23,,0
H3,2016,2016,2016,5,0,0,M,659,Saint Kitts and Nevis,KNA,44,Bahamas,BHS,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,83742,83742.868,,0
H3,2016,2016,2016,5,0,0,M,659,Saint Kitts and Nevis,KNA,48,Bahrain,BHR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,63348,63348.403,,0
H3,2016,2016,2016,5,0,0,M,659,Saint Kitts and Nevis,KNA,50,Bangladesh,BGD,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,1737,1737.543,,0
H3,2016,2016,2016,5,0,0,M,659,Saint Kitts and Nevis,KNA,56,Belgium,BEL,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,246327,246327.583,,0
H3,2016,2016,2016,5,0,0,M,659,Saint Kitts and Nevis,KNA,60,Bermuda,BMU,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,22566,22566.977,,0
H3,2016,2016,2016,5,0,0,M,659,Saint Kitts and Nevis,KNA,70,Bosnia Herzegovina,BIH,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,262,262.629,,0
H3,2016,2016,2016,5,0,0,M,659,Saint Kitts and Nevis,KNA,76,Brazil,BRA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,2582862,2582862.943,,0
H3,2016,2016,2016,5,0,0,M,659,Saint Kitts and Nevis,KNA,84,Belize,BLZ,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,113549,113549.886,,0
H3,2016,2016,2016,5,0,0,M,659,Saint Kitts and Nevis,KNA,92,Br. Virgin Isds,VGB,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,52058,52058.174,,0
H3,2016,2016,2016,5,0,0,M,659,Saint Kitts and Nevis,KNA,100,Bulgaria,BGR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,763,763.558,,0
H3,2016,2016,2016,5,0,0,M,659,Saint Kitts and Nevis,KNA,116,Cambodia,KHM,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,11007,11007.456,,0
H3,2016,2016,2016,5,0,0,M,659,Saint Kitts and Nevis,KNA,124,Canada,CAN,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,5691558,5691558.094,,0
H3,2016,2016,2016,5,0,0,M,659,Saint Kitts and Nevis,KNA,132,Cabo Verde,CPV,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,8992,8992.51,,0
H3,2016,2016,2016,5,0,0,M,659,Saint Kitts and Nevis,KNA,136,Cayman Isds,CYM,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,1701,1701.887,,0
H3,2016,2016,2016,5,0,0,M,659,Saint Kitts and Nevis,KNA,144,Sri Lanka,LKA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,16258,16258.939,,0
H3,2016,2016,2016,5,0,0,M,659,Saint Kitts and Nevis,KNA,148,Chad,TCD,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,16,16.563,,0
H3,2016,2016,2016,5,0,0,M,659,Saint Kitts and Nevis,KNA,152,Chile,CHL,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,226424,226424.496,,0
H3,2016,2016,2016,5,0,0,M,659,Saint Kitts and Nevis,KNA,170,Colombia,COL,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,384080,384080.701,,0
H3,2016,2016,2016,5,0,0,M,659,Saint Kitts and Nevis,KNA,180,Dem. Rep. of the Congo,COD,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,22147,22147.889,,0
H3,2016,2016,2016,5,0,0,M,659,Saint Kitts and Nevis,KNA,188,Costa Rica,CRI,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,219713,219713.899,,0
H3,2016,2016,2016,5,0,0,M,659,Saint Kitts and Nevis,KNA,192,Cuba,CUB,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,66399,66399.674,,0
H3,2016,2016,2016,5,0,0,M,659,Saint Kitts and Nevis,KNA,196,Cyprus,CYP,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,41522,41522.47,,0
H3,2016,2016,2016,5,0,0,M,659,Saint Kitts and Nevis,KNA,203,Czechia,CZE,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,780,780.97,,0
H3,2016,2016,2016,5,0,0,M,659,Saint Kitts and Nevis,KNA,214,Dominican Rep.,DOM,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,2045824,2045824.795,,0
H3,2016,2016,2016,5,0,0,M,659,Saint Kitts and Nevis,KNA,218,Ecuador,ECU,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,45141,45141.803,,0
H3,2016,2016,2016,5,0,0,M,659,Saint Kitts and Nevis,KNA,222,El Salvador,SLV,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,70836,70836.14,,0
H3,2016,2016,2016,5,0,0,M,659,Saint Kitts and Nevis,KNA,242,Fiji,FJI,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,1256,1256.995,,0
H3,2016,2016,2016,5,0,0,M,659,Saint Kitts and Nevis,KNA,260,Fr. South Antarctic Terr.,ATF,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,199,199.07,,0
H3,2016,2016,2016,5,0,0,M,659,Saint Kitts and Nevis,KNA,268,Georgia,GEO,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,16532,16532.302,,0
H3,2016,2016,2016,5,0,0,M,659,Saint Kitts and Nevis,KNA,300,Greece,GRC,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,7587,7587.885,,0
H3,2016,2016,2016,5,0,0,M,659,Saint Kitts and Nevis,KNA,308,Grenada,GRD,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,1328285,1328285.342,,0
H3,2016,2016,2016,5,0,0,M,659,Saint Kitts and Nevis,KNA,320,Guatemala,GTM,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,1293635,1293635.625,,0
H3,2016,2016,2016,5,0,0,M,659,Saint Kitts and Nevis,KNA,324,Guinea,GIN,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,81,81.848,,0
H3,2016,2016,2016,5,0,0,M,659,Saint Kitts and Nevis,KNA,328,Guyana,GUY,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,1243804,1243804.73,,0
H3,2016,2016,2016,5,0,0,M,659,Saint Kitts and Nevis,KNA,332,Haiti,HTI,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,592,592.751,,0
H3,2016,2016,2016,5,0,0,M,659,Saint Kitts and Nevis,KNA,340,Honduras,HND,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,131346,131346.454,,0
H3,2016,2016,2016,5,0,0,M,659,Saint Kitts and Nevis,KNA,344,"China, Hong Kong SAR",HKG,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,451096,451096.597,,0
H3,2016,2016,2016,5,0,0,M,659,Saint Kitts and Nevis,KNA,348,Hungary,HUN,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,472654,472654.357,,0
H3,2016,2016,2016,5,0,0,M,659,Saint Kitts and Nevis,KNA,352,Iceland,ISL,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,608,608.118,,0
H3,2016,2016,2016,5,0,0,M,659,Saint Kitts and Nevis,KNA,360,Indonesia,IDN,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,1048375,1048375.726,,0
H3,2016,2016,2016,5,0,0,M,659,Saint Kitts and Nevis,KNA,376,Israel,ISR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,50353,50353.272,,0
H3,2016,2016,2016,5,0,0,M,659,Saint Kitts and Nevis,KNA,380,Italy,ITA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,532715,532715.015,,0
H3,2016,2016,2016,5,0,0,M,659,Saint Kitts and Nevis,KNA,400,Jordan,JOR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,8107,8107.992,,0
H3,2016,2016,2016,5,0,0,M,659,Saint Kitts and Nevis,KNA,410,Rep. of Korea,KOR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,2989763,2989763.147,,0
H3,2016,2016,2016,5,0,0,M,659,Saint Kitts and Nevis,KNA,422,Lebanon,LBN,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,54072,54072.49,,0
H3,2016,2016,2016,5,0,0,M,659,Saint Kitts and Nevis,KNA,428,Latvia,LVA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,3955,3955.326,,0
H3,2016,2016,2016,5,0,0,M,659,Saint Kitts and Nevis,KNA,440,Lithuania,LTU,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,158,158.778,,0
H3,2016,2016,2016,5,0,0,M,659,Saint Kitts and Nevis,KNA,446,"China, Macao SAR",MAC,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,31636,31636.542,,0
H3,2016,2016,2016,5,0,0,M,659,Saint Kitts and Nevis,KNA,458,Malaysia,MYS,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,188326,188326.486,,0
H3,2016,2016,2016,5,0,0,M,659,Saint Kitts and Nevis,KNA,462,Maldives,MDV,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,2372,2372.083,,0
H3,2016,2016,2016,5,0,0,M,659,Saint Kitts and Nevis,KNA,484,Mexico,MEX,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,844302,844302.108,,0
H3,2016,2016,2016,5,0,0,M,659,Saint Kitts and Nevis,KNA,490,"Other Asia, nes",S19,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,2731231,2731231.843,,0
