Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H3,2016,2016,2016,5,0,0,M,678,Sao Tome and Principe,STP,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,139352022,139352022,,0
H3,2016,2016,2016,5,0,0,M,678,Sao Tome and Principe,STP,20,Andorra,AND,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,1447,1447,,0
H3,2016,2016,2016,5,0,0,M,678,Sao Tome and Principe,STP,24,Angola,AGO,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,21250029,21250029,,0
H3,2016,2016,2016,5,0,0,M,678,Sao Tome and Principe,STP,36,Australia,AUS,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,23,23,,0
H3,2016,2016,2016,5,0,0,M,678,Sao Tome and Principe,STP,44,Bahamas,BHS,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,1504783,1504783,,0
H3,2016,2016,2016,5,0,0,M,678,Sao Tome and Principe,STP,50,Bangladesh,BGD,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,4514,4514,,0
H3,2016,2016,2016,5,0,0,M,678,Sao Tome and Principe,STP,56,Belgium,BEL,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,2905028,2905028,,0
H3,2016,2016,2016,5,0,0,M,678,Sao Tome and Principe,STP,76,Brazil,BRA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,947397,947397,,0
H3,2016,2016,2016,5,0,0,M,678,Sao Tome and Principe,STP,120,Cameroon,CMR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,116099,116099,,0
H3,2016,2016,2016,5,0,0,M,678,Sao Tome and Principe,STP,124,Canada,CAN,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,24265,24265,,0
