Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2016,2016,2016,5,0,0,M,682,Saudi Arabia,SAU,31,Azerbaijan,AZE,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,102666,102666.795,,0
H4,2016,2016,2016,5,0,0,M,682,Saudi Arabia,SAU,12,Algeria,DZA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,9423211,9423211.779,,0
H4,2016,2016,2016,5,0,0,M,682,Saudi Arabia,SAU,24,Angola,AGO,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,499733,499733.958,,0
H4,2016,2016,2016,5,0,0,M,682,Saudi Arabia,SAU,44,Bahamas,BHS,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,227200,227200.284,,0
H4,2016,2016,2016,5,0,0,M,682,Saudi Arabia,SAU,51,Armenia,ARM,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,2621869,2621869.944,,0
H4,2016,2016,2016,5,0,0,M,682,Saudi Arabia,SAU,60,Bermuda,BMU,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,48800,48800.061,,0
H4,2016,2016,2016,5,0,0,M,682,Saudi Arabia,SAU,84,Belize,BLZ,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,95733,95733.453,,0
H4,2016,2016,2016,5,0,0,M,682,Saudi Arabia,SAU,92,Br. Virgin Isds,VGB,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,384533,384533.814,,0
H4,2016,2016,2016,5,0,0,M,682,Saudi Arabia,SAU,108,Burundi,BDI,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,546667,546667.35,,0
H4,2016,2016,2016,5,0,0,M,682,Saudi Arabia,SAU,120,Cameroon,CMR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,3728804,3728804.661,,0
H4,2016,2016,2016,5,0,0,M,682,Saudi Arabia,SAU,140,Central African Rep.,CAF,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,444267,444267.222,,0
H4,2016,2016,2016,5,0,0,M,682,Saudi Arabia,SAU,174,Comoros,COM,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,2376269,2376269.637,,0
H4,2016,2016,2016,5,0,0,M,682,Saudi Arabia,SAU,178,Congo,COG,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,3382670,3382670.895,,0
H4,2016,2016,2016,5,0,0,M,682,Saudi Arabia,SAU,180,Dem. Rep. of the Congo,COD,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,491011013,491011013.763,,0
H4,2016,2016,2016,5,0,0,M,682,Saudi Arabia,SAU,204,Benin,BEN,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,1731202,1731202.164,,0
H4,2016,2016,2016,5,0,0,M,682,Saudi Arabia,SAU,218,Ecuador,ECU,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,113592675,113592675.324,,0
H4,2016,2016,2016,5,0,0,M,682,Saudi Arabia,SAU,242,Fiji,FJI,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,1868802,1868802.336,,0
