Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H3,2016,2016,2016,5,0,0,M,694,Sierra Leone,SLE,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,957927386,957927386,,0
H3,2016,2016,2016,5,0,0,M,694,Sierra Leone,SLE,12,Algeria,DZA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,475658,475658,,0
H3,2016,2016,2016,5,0,0,M,694,Sierra Leone,SLE,24,Angola,AGO,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,18870,18870,,0
H3,2016,2016,2016,5,0,0,M,694,Sierra Leone,SLE,31,Azerbaijan,AZE,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,42747,42747,,0
H3,2016,2016,2016,5,0,0,M,694,Sierra Leone,SLE,32,Argentina,ARG,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,690021,690021,,0
H3,2016,2016,2016,5,0,0,M,694,Sierra Leone,SLE,44,Bahamas,BHS,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,8368,8368,,0
H3,2016,2016,2016,5,0,0,M,694,Sierra Leone,SLE,48,Bahrain,BHR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,15191,15191,,0
H3,2016,2016,2016,5,0,0,M,694,Sierra Leone,SLE,50,Bangladesh,BGD,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,374017,374017,,0
H3,2016,2016,2016,5,0,0,M,694,Sierra Leone,SLE,52,Barbados,BRB,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,24449,24449,,0
H3,2016,2016,2016,5,0,0,M,694,Sierra Leone,SLE,36,Australia,AUS,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,2008123,2008123,,0
H3,2016,2016,2016,5,0,0,M,694,Sierra Leone,SLE,40,Austria,AUT,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,2708,2708,,0
H3,2016,2016,2016,5,0,0,M,694,Sierra Leone,SLE,64,Bhutan,BTN,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,9935,9935,,0
H3,2016,2016,2016,5,0,0,M,694,Sierra Leone,SLE,68,Bolivia (Plurinational State of),BOL,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,459,459,,0
H3,2016,2016,2016,5,0,0,M,694,Sierra Leone,SLE,76,Brazil,BRA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,12413405,12413405,,0
H3,2016,2016,2016,5,0,0,M,694,Sierra Leone,SLE,86,Br. Indian Ocean Terr.,IOT,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,50312,50312,,0
H3,2016,2016,2016,5,0,0,M,694,Sierra Leone,SLE,100,Bulgaria,BGR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,1279177,1279177,,0
H3,2016,2016,2016,5,0,0,M,694,Sierra Leone,SLE,112,Belarus,BLR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,15483,15483,,0
H3,2016,2016,2016,5,0,0,M,694,Sierra Leone,SLE,116,Cambodia,KHM,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,4693,4693,,0
H3,2016,2016,2016,5,0,0,M,694,Sierra Leone,SLE,120,Cameroon,CMR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,43381,43381,,0
H3,2016,2016,2016,5,0,0,M,694,Sierra Leone,SLE,56,Belgium,BEL,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,53470380,53470380,,0
H3,2016,2016,2016,5,0,0,M,694,Sierra Leone,SLE,124,Canada,CAN,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,7123177,7123177,,0
H3,2016,2016,2016,5,0,0,M,694,Sierra Leone,SLE,132,Cabo Verde,CPV,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,5863675,5863675,,0
H3,2016,2016,2016,5,0,0,M,694,Sierra Leone,SLE,144,Sri Lanka,LKA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,203266,203266,,0
H3,2016,2016,2016,5,0,0,M,694,Sierra Leone,SLE,152,Chile,CHL,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,94471,94471,,0
H3,2016,2016,2016,5,0,0,M,694,Sierra Leone,SLE,156,China,CHN,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,120363200,120363200,,0
H3,2016,2016,2016,5,0,0,M,694,Sierra Leone,SLE,170,Colombia,COL,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,28076,28076,,0
H3,2016,2016,2016,5,0,0,M,694,Sierra Leone,SLE,188,Costa Rica,CRI,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,2524,2524,,0
H3,2016,2016,2016,5,0,0,M,694,Sierra Leone,SLE,191,Croatia,HRV,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,322902,322902,,0
H3,2016,2016,2016,5,0,0,M,694,Sierra Leone,SLE,196,Cyprus,CYP,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,259220,259220,,0
H3,2016,2016,2016,5,0,0,M,694,Sierra Leone,SLE,203,Czechia,CZE,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,25144,25144,,0
H3,2016,2016,2016,5,0,0,M,694,Sierra Leone,SLE,208,Denmark,DNK,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,23941219,23941219,,0
H3,2016,2016,2016,5,0,0,M,694,Sierra Leone,SLE,222,El Salvador,SLV,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,9907,9907,,0
H3,2016,2016,2016,5,0,0,M,694,Sierra Leone,SLE,231,Ethiopia,ETH,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,20240,20240,,0
H3,2016,2016,2016,5,0,0,M,694,Sierra Leone,SLE,232,Eritrea,ERI,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,289,289,,0
H3,2016,2016,2016,5,0,0,M,694,Sierra Leone,SLE,233,Estonia,EST,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,147955,147955,,0
H3,2016,2016,2016,5,0,0,M,694,Sierra Leone,SLE,246,Finland,FIN,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,973838,973838,,0
H3,2016,2016,2016,5,0,0,M,694,Sierra Leone,SLE,251,France,FRA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,20232333,20232333,,0
H3,2016,2016,2016,5,0,0,M,694,Sierra Leone,SLE,266,Gabon,GAB,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,315929,315929,,0
