Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2016,2016,2016,5,0,0,X,702,Singapore,SGP,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,338081970453,,338081970453.751,0
H4,2016,2016,2016,5,0,0,X,702,Singapore,SGP,4,Afghanistan,AFG,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,17059527,,17059527.035,0
H4,2016,2016,2016,5,0,0,X,702,Singapore,SGP,8,Albania,ALB,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,344053,,344053.746,0
H4,2016,2016,2016,5,0,0,X,702,Singapore,SGP,20,Andorra,AND,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,118970,,118970.902,0
H4,2016,2016,2016,5,0,0,X,702,Singapore,SGP,16,American Samoa,ASM,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,36500301,,36500301.866,0
H4,2016,2016,2016,5,0,0,X,702,Singapore,SGP,12,Algeria,DZA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,43026762,,43026762.322,0
H4,2016,2016,2016,5,0,0,X,702,Singapore,SGP,24,Angola,AGO,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,78227019,,78227019.658,0
H4,2016,2016,2016,5,0,0,X,702,Singapore,SGP,28,Antigua and Barbuda,ATG,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,126819382,,126819382.207,0
H4,2016,2016,2016,5,0,0,X,702,Singapore,SGP,31,Azerbaijan,AZE,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,33886032,,33886032.399,0
H4,2016,2016,2016,5,0,0,X,702,Singapore,SGP,32,Argentina,ARG,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,164741341,,164741341.676,0
H4,2016,2016,2016,5,0,0,X,702,Singapore,SGP,36,Australia,AUS,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,9370331469,,9370331469.904,0
H4,2016,2016,2016,5,0,0,X,702,Singapore,SGP,40,Austria,AUT,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,109080301,,109080301.975,0
H4,2016,2016,2016,5,0,0,X,702,Singapore,SGP,44,Bahamas,BHS,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,470408223,,470408223.546,0
H4,2016,2016,2016,5,0,0,X,702,Singapore,SGP,48,Bahrain,BHR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,102267867,,102267867.782,0
H4,2016,2016,2016,5,0,0,X,702,Singapore,SGP,50,Bangladesh,BGD,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,2620884448,,2620884448.291,0
