Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2016,2016,2016,5,0,0,RM,710,South Africa,ZAF,710,South Africa,ZAF,0,World,W00,C05,Free zone,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,1538,,1538.195,0
H4,2016,2016,2016,5,0,0,RM,710,South Africa,ZAF,0,World,W00,0,World,W00,C01,Clearance for home use,1000,Air,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,192754883,,192754883.488,0
H4,2016,2016,2016,5,0,0,RM,710,South Africa,ZAF,710,South Africa,ZAF,0,World,W00,C01,Clearance for home use,1000,Air,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,192754883,,192754883.488,0
H4,2016,2016,2016,5,0,0,RM,710,South Africa,ZAF,0,World,W00,0,World,W00,C04,Customs warehouses,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,2746502,,2746502.015,0
H4,2016,2016,2016,5,0,0,RM,710,South Africa,ZAF,0,World,W00,0,World,W00,C04,Customs warehouses,3200,Road,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,231231,,231231.986,0
H4,2016,2016,2016,5,0,0,RM,710,South Africa,ZAF,0,World,W00,0,World,W00,C04,Customs warehouses,2100,Sea,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,2273376,,2273376.375,0
H4,2016,2016,2016,5,0,0,RM,710,South Africa,ZAF,710,South Africa,ZAF,0,World,W00,C04,Customs warehouses,1000,Air,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,241893,,241893.654,0
H4,2016,2016,2016,5,0,0,RM,710,South Africa,ZAF,0,World,W00,0,World,W00,C05,Free zone,1000,Air,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,603,,603.614,0
H4,2016,2016,2016,5,0,0,RM,710,South Africa,ZAF,0,World,W00,0,World,W00,C04,Customs warehouses,1000,Air,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,241893,,241893.654,0
H4,2016,2016,2016,5,0,0,RM,710,South Africa,ZAF,710,South Africa,ZAF,0,World,W00,C01,Clearance for home use,2100,Sea,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,97860442,,97860442.664,0
H4,2016,2016,2016,5,0,0,RM,710,South Africa,ZAF,710,South Africa,ZAF,0,World,W00,C01,Clearance for home use,3200,Road,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,55653574,,55653574.46,0
H4,2016,2016,2016,5,0,0,RM,710,South Africa,ZAF,0,World,W00,0,World,W00,C01,Clearance for home use,9000,Not elsewhere classified,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,24274,,24274.407,0
H4,2016,2016,2016,5,0,0,RM,710,South Africa,ZAF,0,World,W00,0,World,W00,C05,Free zone,2100,Sea,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,934,,934.58,0
H4,2016,2016,2016,5,0,0,RM,710,South Africa,ZAF,710,South Africa,ZAF,0,World,W00,C04,Customs warehouses,3200,Road,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,231231,,231231.986,0
H4,2016,2016,2016,5,0,0,RM,710,South Africa,ZAF,0,World,W00,0,World,W00,C01,Clearance for home use,2100,Sea,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,97860442,,97860442.664,0
H4,2016,2016,2016,5,0,0,RM,710,South Africa,ZAF,710,South Africa,ZAF,0,World,W00,C04,Customs warehouses,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,2746502,,2746502.015,0
H4,2016,2016,2016,5,0,0,RM,710,South Africa,ZAF,710,South Africa,ZAF,0,World,W00,C05,Free zone,1000,Air,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,603,,603.614,0
H4,2016,2016,2016,5,0,0,RM,710,South Africa,ZAF,0,World,W00,0,World,W00,C01,Clearance for home use,3200,Road,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,55653574,,55653574.46,0
H4,2016,2016,2016,5,0,0,RM,710,South Africa,ZAF,710,South Africa,ZAF,0,World,W00,C04,Customs warehouses,2100,Sea,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,2273376,,2273376.375,0
H4,2016,2016,2016,5,0,0,RM,710,South Africa,ZAF,710,South Africa,ZAF,0,World,W00,C01,Clearance for home use,9000,Not elsewhere classified,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,24274,,24274.407,0
H4,2016,2016,2016,5,0,0,RM,710,South Africa,ZAF,710,South Africa,ZAF,0,World,W00,C05,Free zone,2100,Sea,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,934,,934.58,0
