Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H3,2016,2016,2016,5,0,0,M,762,Tajikistan,TJK,120,Cameroon,CMR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,28,28,0,0
H3,2016,2016,2016,5,0,0,M,762,Tajikistan,TJK,40,Austria,AUT,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,7481383,7481383,0,0
H3,2016,2016,2016,5,0,0,M,762,Tajikistan,TJK,417,Kyrgyzstan,KGZ,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,16909271,16909271.9,0,4
H3,2016,2016,2016,5,0,0,M,762,Tajikistan,TJK,442,Luxembourg,LUX,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,2104617,2104617,0,0
H3,2016,2016,2016,5,0,0,M,762,Tajikistan,TJK,620,Portugal,PRT,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,11496,11496,0,0
H3,2016,2016,2016,5,0,0,X,762,Tajikistan,TJK,704,Viet Nam,VNM,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,15249,0,15249,0
H3,2016,2016,2016,5,0,0,X,762,Tajikistan,TJK,784,United Arab Emirates,ARE,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,24921604,0,24921604,0
H3,2016,2016,2016,5,0,0,X,762,Tajikistan,TJK,276,Germany,DEU,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,1049415,0,1049415,0
H3,2016,2016,2016,5,0,0,X,762,Tajikistan,TJK,398,Kazakhstan,KAZ,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,194859505,0,194859505,0
H3,2016,2016,2016,5,0,0,X,762,Tajikistan,TJK,417,Kyrgyzstan,KGZ,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,8966148,0,8966148,4
H3,2016,2016,2016,5,0,0,X,762,Tajikistan,TJK,490,"Other Asia, nes",S19,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,45345357,0,45345357,0
H3,2016,2016,2016,5,0,0,X,762,Tajikistan,TJK,616,Poland,POL,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,153305,0,153305,0
H3,2016,2016,2016,5,0,0,X,762,Tajikistan,TJK,674,San Marino,SMR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,929863,0,929863,0
H3,2016,2016,2016,5,0,0,X,762,Tajikistan,TJK,56,Belgium,BEL,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,70179,0,70179,0
H3,2016,2016,2016,5,0,0,X,762,Tajikistan,TJK,233,Estonia,EST,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,586457,0,586457,0
H3,2016,2016,2016,5,0,0,X,762,Tajikistan,TJK,251,France,FRA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,223515,0,223515,0
H3,2016,2016,2016,5,0,0,X,762,Tajikistan,TJK,104,Myanmar,MMR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,54086,0,54086,0
H3,2016,2016,2016,5,0,0,M,762,Tajikistan,TJK,860,Uzbekistan,UZB,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,33630206,33630206,0,0
H3,2016,2016,2016,5,0,0,M,762,Tajikistan,TJK,858,Uruguay,URY,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,3233,3233,0,0
H3,2016,2016,2016,5,0,0,M,762,Tajikistan,TJK,764,Thailand,THA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,1806111,1806111,0,0
H3,2016,2016,2016,5,0,0,M,762,Tajikistan,TJK,699,India,IND,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,23806844,23806844,0,0
H3,2016,2016,2016,5,0,0,M,762,Tajikistan,TJK,643,Russian Federation,RUS,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,985863622,985863622.52,0,4
H3,2016,2016,2016,5,0,0,M,762,Tajikistan,TJK,586,Pakistan,PAK,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,25181256,25181256,0,0
H3,2016,2016,2016,5,0,0,M,762,Tajikistan,TJK,554,New Zealand,NZL,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,595194,595194,0,0
H3,2016,2016,2016,5,0,0,M,762,Tajikistan,TJK,428,Latvia,LVA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,1189763,1189763,0,0
H3,2016,2016,2016,5,0,0,M,762,Tajikistan,TJK,608,Philippines,PHL,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,159567,159567,0,0
H3,2016,2016,2016,5,0,0,M,762,Tajikistan,TJK,604,Peru,PER,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,28319,28319,0,0
H3,2016,2016,2016,5,0,0,M,762,Tajikistan,TJK,376,Israel,ISR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,186755,186755,0,0
H3,2016,2016,2016,5,0,0,M,762,Tajikistan,TJK,360,Indonesia,IDN,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,498853,498853,0,0
H3,2016,2016,2016,5,0,0,M,762,Tajikistan,TJK,251,France,FRA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,12727390,12727390,0,0
H3,2016,2016,2016,5,0,0,M,762,Tajikistan,TJK,268,Georgia,GEO,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,2977118,2977118,0,0
H3,2016,2016,2016,5,0,0,M,762,Tajikistan,TJK,188,Costa Rica,CRI,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,53800,53800,0,0
H3,2016,2016,2016,5,0,0,M,762,Tajikistan,TJK,56,Belgium,BEL,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,4344491,4344491,0,0
H3,2016,2016,2016,5,0,0,M,762,Tajikistan,TJK,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,3031462923,3031462923.96,0,4
H3,2016,2016,2016,5,0,0,M,762,Tajikistan,TJK,410,Rep. of Korea,KOR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,13515740,13515740,0,0
H3,2016,2016,2016,5,0,0,M,762,Tajikistan,TJK,702,Singapore,SGP,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,159208,159208,0,0
H3,2016,2016,2016,5,0,0,M,762,Tajikistan,TJK,842,USA,USA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,24902764,24902764,0,4
H3,2016,2016,2016,5,0,0,X,762,Tajikistan,TJK,682,Saudi Arabia,SAU,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,27815,0,27815,0
H3,2016,2016,2016,5,0,0,X,762,Tajikistan,TJK,752,Sweden,SWE,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,86065,0,86065,0
H3,2016,2016,2016,5,0,0,X,762,Tajikistan,TJK,795,Turkmenistan,TKM,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,1422953,0,1422953,0
H3,2016,2016,2016,5,0,0,X,762,Tajikistan,TJK,203,Czechia,CZE,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,107890,0,107890,0
H3,2016,2016,2016,5,0,0,X,762,Tajikistan,TJK,364,Iran,IRN,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,39048318,0,39048318,0
H3,2016,2016,2016,5,0,0,M,762,Tajikistan,TJK,152,Chile,CHL,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,135549,135549,0,0
H3,2016,2016,2016,5,0,0,M,762,Tajikistan,TJK,92,Br. Virgin Isds,VGB,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,215174,215174,0,0
