Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2016,2016,2016,5,0,0,X,788,Tunisia,TUN,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,13575130953,,13575130953,0
H4,2016,2016,2016,5,0,0,X,788,Tunisia,TUN,4,Afghanistan,AFG,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,86618,,86618,0
H4,2016,2016,2016,5,0,0,X,788,Tunisia,TUN,8,Albania,ALB,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,5301445,,5301445,0
H4,2016,2016,2016,5,0,0,X,788,Tunisia,TUN,12,Algeria,DZA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,664212438,,664212438,0
H4,2016,2016,2016,5,0,0,X,788,Tunisia,TUN,20,Andorra,AND,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,226822,,226822,0
H4,2016,2016,2016,5,0,0,X,788,Tunisia,TUN,24,Angola,AGO,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,6004259,,6004259,0
H4,2016,2016,2016,5,0,0,X,788,Tunisia,TUN,31,Azerbaijan,AZE,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,1174951,,1174951,0
H4,2016,2016,2016,5,0,0,X,788,Tunisia,TUN,32,Argentina,ARG,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,633204,,633204,0
H4,2016,2016,2016,5,0,0,X,788,Tunisia,TUN,36,Australia,AUS,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,6641810,,6641810,0
H4,2016,2016,2016,5,0,0,X,788,Tunisia,TUN,40,Austria,AUT,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,82986597,,82986597,0
H4,2016,2016,2016,5,0,0,X,788,Tunisia,TUN,44,Bahamas,BHS,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,362805,,362805,0
H4,2016,2016,2016,5,0,0,X,788,Tunisia,TUN,48,Bahrain,BHR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,948566,,948566,0
H4,2016,2016,2016,5,0,0,X,788,Tunisia,TUN,50,Bangladesh,BGD,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,91925521,,91925521,0
H4,2016,2016,2016,5,0,0,X,788,Tunisia,TUN,51,Armenia,ARM,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,99506,,99506,0
H4,2016,2016,2016,5,0,0,X,788,Tunisia,TUN,56,Belgium,BEL,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,246779002,,246779002,0
H4,2016,2016,2016,5,0,0,X,788,Tunisia,TUN,68,Bolivia (Plurinational State of),BOL,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,126242,,126242,0
H4,2016,2016,2016,5,0,0,X,788,Tunisia,TUN,70,Bosnia Herzegovina,BIH,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,476930,,476930,0
H4,2016,2016,2016,5,0,0,X,788,Tunisia,TUN,76,Brazil,BRA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,28279072,,28279072,0
H4,2016,2016,2016,5,0,0,X,788,Tunisia,TUN,90,Solomon Isds,SLB,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,43151,,43151,0
H4,2016,2016,2016,5,0,0,X,788,Tunisia,TUN,96,Brunei Darussalam,BRN,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,916,,916,0
H4,2016,2016,2016,5,0,0,X,788,Tunisia,TUN,100,Bulgaria,BGR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,9127305,,9127305,0
H4,2016,2016,2016,5,0,0,X,788,Tunisia,TUN,108,Burundi,BDI,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,84441,,84441,0
H4,2016,2016,2016,5,0,0,X,788,Tunisia,TUN,112,Belarus,BLR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,31707,,31707,0
H4,2016,2016,2016,5,0,0,X,788,Tunisia,TUN,120,Cameroon,CMR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,18415630,,18415630,0
H4,2016,2016,2016,5,0,0,X,788,Tunisia,TUN,124,Canada,CAN,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,32955502,,32955502,0
H4,2016,2016,2016,5,0,0,X,788,Tunisia,TUN,132,Cabo Verde,CPV,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,269620,,269620,0
H4,2016,2016,2016,5,0,0,X,788,Tunisia,TUN,136,Cayman Isds,CYM,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,150929,,150929,0
H4,2016,2016,2016,5,0,0,X,788,Tunisia,TUN,140,Central African Rep.,CAF,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,466029,,466029,0
H4,2016,2016,2016,5,0,0,X,788,Tunisia,TUN,144,Sri Lanka,LKA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,63173,,63173,0
H4,2016,2016,2016,5,0,0,X,788,Tunisia,TUN,148,Chad,TCD,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,6887539,,6887539,0
H4,2016,2016,2016,5,0,0,X,788,Tunisia,TUN,152,Chile,CHL,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,507552,,507552,0
H4,2016,2016,2016,5,0,0,X,788,Tunisia,TUN,156,China,CHN,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,28835839,,28835839,0
H4,2016,2016,2016,5,0,0,X,788,Tunisia,TUN,170,Colombia,COL,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,1271054,,1271054,0
H4,2016,2016,2016,5,0,0,X,788,Tunisia,TUN,174,Comoros,COM,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,479281,,479281,0
H4,2016,2016,2016,5,0,0,X,788,Tunisia,TUN,178,Congo,COG,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,7950094,,7950094,0
