Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2016,2016,2016,5,0,0,M,792,Turkey,TUR,191,Croatia,HRV,724,Spain,ESP,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,1045,1045,998,0
H4,2016,2016,2016,5,0,0,M,792,Turkey,TUR,752,Sweden,SWE,268,Georgia,GEO,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,29656,29656,27308,0
H4,2016,2016,2016,5,0,0,M,792,Turkey,TUR,643,Russian Federation,RUS,0,World,W00,C00,All CPCs,2100,Sea,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,10158688482,10158688482,9429483386,0
H4,2016,2016,2016,5,0,0,M,792,Turkey,TUR,643,Russian Federation,RUS,0,World,W00,C00,All CPCs,9300,Self propelled goods,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,1923827,1923827,1760230,0
H4,2016,2016,2016,5,0,0,M,792,Turkey,TUR,724,Spain,ESP,31,Azerbaijan,AZE,C06,Inward processing,9300,Self propelled goods,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,65012,65012,57513,0
H4,2016,2016,2016,5,0,0,M,792,Turkey,TUR,516,Namibia,NAM,516,Namibia,NAM,C01,Clearance for home use,2100,Sea,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,538041,538041,414399,0
H4,2016,2016,2016,5,0,0,M,792,Turkey,TUR,0,World,W00,380,Italy,ITA,C04,Customs warehouses,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,5147452139,5147452139,4882571984,4
H4,2016,2016,2016,5,0,0,M,792,Turkey,TUR,484,Mexico,MEX,246,Finland,FIN,C01,Clearance for home use,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,145458,145458,127811,0
H4,2016,2016,2016,5,0,0,M,792,Turkey,TUR,616,Poland,POL,703,Slovakia,SVK,C00,All CPCs,3200,Road,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,1460865,1460865,1351850,0
H4,2016,2016,2016,5,0,0,M,792,Turkey,TUR,804,Ukraine,UKR,268,Georgia,GEO,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,30025,30025,28075,0
H4,2016,2016,2016,5,0,0,M,792,Turkey,TUR,50,Bangladesh,BGD,642,Romania,ROU,C06,Inward processing,2100,Sea,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,23920,23920,23076,0
H4,2016,2016,2016,5,0,0,M,792,Turkey,TUR,764,Thailand,THA,300,Greece,GRC,C01,Clearance for home use,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,100129,100129,95335,0
H4,2016,2016,2016,5,0,0,M,792,Turkey,TUR,620,Portugal,PRT,440,Lithuania,LTU,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,27392,27392,26036,0
H4,2016,2016,2016,5,0,0,M,792,Turkey,TUR,156,China,CHN,757,Switzerland,CHE,C04,Customs warehouses,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,0,0,25158526,25158526,24048510,0
