Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2016,2016,2016,5,0,0,M,800,Uganda,UGA,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,4829459128,4829459128,,0
H4,2016,2016,2016,5,0,0,M,800,Uganda,UGA,12,Algeria,DZA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,724500,724500,,0
H4,2016,2016,2016,5,0,0,M,800,Uganda,UGA,24,Angola,AGO,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,712,712,,0
H4,2016,2016,2016,5,0,0,M,800,Uganda,UGA,28,Antigua and Barbuda,ATG,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,2351,2351,,0
H4,2016,2016,2016,5,0,0,M,800,Uganda,UGA,31,Azerbaijan,AZE,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,386,386,,0
H4,2016,2016,2016,5,0,0,M,800,Uganda,UGA,32,Argentina,ARG,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,3757421,3757421,,0
H4,2016,2016,2016,5,0,0,M,800,Uganda,UGA,36,Australia,AUS,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,3080376,3080376,,0
H4,2016,2016,2016,5,0,0,M,800,Uganda,UGA,40,Austria,AUT,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,8165173,8165173,,0
H4,2016,2016,2016,5,0,0,M,800,Uganda,UGA,48,Bahrain,BHR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,29646527,29646527,,0
H4,2016,2016,2016,5,0,0,M,800,Uganda,UGA,50,Bangladesh,BGD,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,3949939,3949939,,0
H4,2016,2016,2016,5,0,0,M,800,Uganda,UGA,51,Armenia,ARM,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,339,339,,0
H4,2016,2016,2016,5,0,0,M,800,Uganda,UGA,56,Belgium,BEL,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,58391790,58391790,,0
H4,2016,2016,2016,5,0,0,M,800,Uganda,UGA,70,Bosnia Herzegovina,BIH,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,1332309,1332309,,0
H4,2016,2016,2016,5,0,0,M,800,Uganda,UGA,76,Brazil,BRA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,21364034,21364034,,0
H4,2016,2016,2016,5,0,0,M,800,Uganda,UGA,84,Belize,BLZ,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,1041,1041,,0
H4,2016,2016,2016,5,0,0,M,800,Uganda,UGA,92,Br. Virgin Isds,VGB,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,345603,345603,,0
H4,2016,2016,2016,5,0,0,M,800,Uganda,UGA,96,Brunei Darussalam,BRN,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,591,591,,0
