Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2016,2016,2016,5,0,0,X,784,United Arab Emirates,ARE,4,Afghanistan,AFG,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,1596610735,,1596610735.901,0
H4,2016,2016,2016,5,0,0,X,784,United Arab Emirates,ARE,8,Albania,ALB,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,11867263,,11867263.488,0
H4,2016,2016,2016,5,0,0,X,784,United Arab Emirates,ARE,12,Algeria,DZA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,374836964,,374836964.793,0
H4,2016,2016,2016,5,0,0,X,784,United Arab Emirates,ARE,20,Andorra,AND,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,89855,,89855.931,0
H4,2016,2016,2016,5,0,0,X,784,United Arab Emirates,ARE,28,Antigua and Barbuda,ATG,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,4799350,,4799350.273,0
H4,2016,2016,2016,5,0,0,X,784,United Arab Emirates,ARE,24,Angola,AGO,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,94133244,,94133244.039,0
H4,2016,2016,2016,5,0,0,X,784,United Arab Emirates,ARE,31,Azerbaijan,AZE,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,178832042,,178832042.226,0
H4,2016,2016,2016,5,0,0,X,784,United Arab Emirates,ARE,32,Argentina,ARG,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,11587161,,11587161.602,0
H4,2016,2016,2016,5,0,0,X,784,United Arab Emirates,ARE,36,Australia,AUS,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,325824950,,325824950.465,0
H4,2016,2016,2016,5,0,0,X,784,United Arab Emirates,ARE,40,Austria,AUT,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,79547698,,79547698.557,0
