Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2016,2016,2016,5,0,0,RX,842,USA,USA,4,Afghanistan,AFG,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,28276070,,28276070,0
H4,2016,2016,2016,5,0,0,RX,842,USA,USA,8,Albania,ALB,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,1395377,,1395377,0
H4,2016,2016,2016,5,0,0,RX,842,USA,USA,12,Algeria,DZA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,56752895,,56752895,0
H4,2016,2016,2016,5,0,0,RX,842,USA,USA,20,Andorra,AND,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,230992,,230992,0
H4,2016,2016,2016,5,0,0,RX,842,USA,USA,24,Angola,AGO,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,26180001,,26180001,0
H4,2016,2016,2016,5,0,0,RX,842,USA,USA,28,Antigua and Barbuda,ATG,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,27754705,,27754705,0
H4,2016,2016,2016,5,0,0,RX,842,USA,USA,31,Azerbaijan,AZE,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,18482815,,18482815,0
H4,2016,2016,2016,5,0,0,RX,842,USA,USA,32,Argentina,ARG,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,1411611401,,1411611401,0
H4,2016,2016,2016,5,0,0,RX,842,USA,USA,36,Australia,AUS,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,2462182243,,2462182243,0
H4,2016,2016,2016,5,0,0,RX,842,USA,USA,40,Austria,AUT,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,255597778,,255597778,0
H4,2016,2016,2016,5,0,0,RX,842,USA,USA,44,Bahamas,BHS,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,79946792,,79946792,0
H4,2016,2016,2016,5,0,0,RX,842,USA,USA,48,Bahrain,BHR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,68866623,,68866623,0
H4,2016,2016,2016,5,0,0,RX,842,USA,USA,50,Bangladesh,BGD,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,54453537,,54453537,0
H4,2016,2016,2016,5,0,0,RX,842,USA,USA,51,Armenia,ARM,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,10183857,,10183857,0
H4,2016,2016,2016,5,0,0,RX,842,USA,USA,52,Barbados,BRB,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,98641096,,98641096,0
H4,2016,2016,2016,5,0,0,RX,842,USA,USA,56,Belgium,BEL,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,6277301216,,6277301216,0
H4,2016,2016,2016,5,0,0,RX,842,USA,USA,60,Bermuda,BMU,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,48343652,,48343652,0
H4,2016,2016,2016,5,0,0,RX,842,USA,USA,64,Bhutan,BTN,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,137125,,137125,0
H4,2016,2016,2016,5,0,0,RX,842,USA,USA,68,Bolivia (Plurinational State of),BOL,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,102632667,,102632667,0
H4,2016,2016,2016,5,0,0,RX,842,USA,USA,70,Bosnia Herzegovina,BIH,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,1437701,,1437701,0
H4,2016,2016,2016,5,0,0,RX,842,USA,USA,72,Botswana,BWA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,3127720,,3127720,0
H4,2016,2016,2016,5,0,0,RX,842,USA,USA,76,Brazil,BRA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,4652187114,,4652187114,0
H4,2016,2016,2016,5,0,0,RX,842,USA,USA,86,Br. Indian Ocean Terr.,IOT,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,214256,,214256,0
H4,2016,2016,2016,5,0,0,RX,842,USA,USA,90,Solomon Isds,SLB,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,318830,,318830,0
H4,2016,2016,2016,5,0,0,RX,842,USA,USA,84,Belize,BLZ,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,20526152,,20526152,0
H4,2016,2016,2016,5,0,0,RX,842,USA,USA,92,Br. Virgin Isds,VGB,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,103037548,,103037548,0
H4,2016,2016,2016,5,0,0,RX,842,USA,USA,96,Brunei Darussalam,BRN,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,8932941,,8932941,0
H4,2016,2016,2016,5,0,0,RX,842,USA,USA,100,Bulgaria,BGR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,31432548,,31432548,0
H4,2016,2016,2016,5,0,0,RX,842,USA,USA,104,Myanmar,MMR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,4127136,,4127136,0
H4,2016,2016,2016,5,0,0,RX,842,USA,USA,108,Burundi,BDI,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,379944,,379944,0
H4,2016,2016,2016,5,0,0,RX,842,USA,USA,112,Belarus,BLR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,4316281,,4316281,0
H4,2016,2016,2016,5,0,0,RX,842,USA,USA,116,Cambodia,KHM,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,35089841,,35089841,0
H4,2016,2016,2016,5,0,0,RX,842,USA,USA,120,Cameroon,CMR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,7525318,,7525318,0
H4,2016,2016,2016,5,0,0,RX,842,USA,USA,132,Cabo Verde,CPV,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,139581,,139581,0
H4,2016,2016,2016,5,0,0,RX,842,USA,USA,136,Cayman Isds,CYM,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,132182890,,132182890,0
H4,2016,2016,2016,5,0,0,RX,842,USA,USA,140,Central African Rep.,CAF,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,976944,,976944,0
H4,2016,2016,2016,5,0,0,RX,842,USA,USA,144,Sri Lanka,LKA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,25710763,,25710763,0
H4,2016,2016,2016,5,0,0,RX,842,USA,USA,148,Chad,TCD,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,4866877,,4866877,0
H4,2016,2016,2016,5,0,0,RX,842,USA,USA,152,Chile,CHL,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,1338951960,,1338951960,0
H4,2016,2016,2016,5,0,0,RX,842,USA,USA,162,Christmas Isds,CXR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,199551,,199551,0
H4,2016,2016,2016,5,0,0,RX,842,USA,USA,166,Cocos Isds,CCK,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,23445,,23445,0
H4,2016,2016,2016,5,0,0,RX,842,USA,USA,178,Congo,COG,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,6375202,,6375202,0
H4,2016,2016,2016,5,0,0,RX,842,USA,USA,170,Colombia,COL,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,1368901482,,1368901482,0
H4,2016,2016,2016,5,0,0,RX,842,USA,USA,174,Comoros,COM,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,89372,,89372,0
H4,2016,2016,2016,5,0,0,RX,842,USA,USA,180,Dem. Rep. of the Congo,COD,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,1850642,,1850642,0
H4,2016,2016,2016,5,0,0,RX,842,USA,USA,184,Cook Isds,COK,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,301897,,301897,0
H4,2016,2016,2016,5,0,0,RX,842,USA,USA,188,Costa Rica,CRI,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,828057783,,828057783,0
H4,2016,2016,2016,5,0,0,RX,842,USA,USA,191,Croatia,HRV,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,10231818,,10231818,0
H4,2016,2016,2016,5,0,0,RX,842,USA,USA,196,Cyprus,CYP,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,22032663,,22032663,0
H4,2016,2016,2016,5,0,0,RX,842,USA,USA,192,Cuba,CUB,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,7362707,,7362707,0
H4,2016,2016,2016,5,0,0,RX,842,USA,USA,204,Benin,BEN,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,7795704,,7795704,0
H4,2016,2016,2016,5,0,0,RX,842,USA,USA,203,Czechia,CZE,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,439973184,,439973184,0
H4,2016,2016,2016,5,0,0,RX,842,USA,USA,208,Denmark,DNK,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,216544382,,216544382,0
H4,2016,2016,2016,5,0,0,RX,842,USA,USA,212,Dominica,DMA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,4423436,,4423436,0
H4,2016,2016,2016,5,0,0,RX,842,USA,USA,214,Dominican Rep.,DOM,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,625865196,,625865196,0
H4,2016,2016,2016,5,0,0,RX,842,USA,USA,218,Ecuador,ECU,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,329596374,,329596374,0
H4,2016,2016,2016,5,0,0,RX,842,USA,USA,222,El Salvador,SLV,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,286500491,,286500491,0
H4,2016,2016,2016,5,0,0,RX,842,USA,USA,226,Equatorial Guinea,GNQ,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,16124759,,16124759,0
H4,2016,2016,2016,5,0,0,RX,842,USA,USA,231,Ethiopia,ETH,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,32632122,,32632122,0
H4,2016,2016,2016,5,0,0,RX,842,USA,USA,232,Eritrea,ERI,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,191142,,191142,0
H4,2016,2016,2016,5,0,0,RX,842,USA,USA,238,Falkland Isds (Malvinas),FLK,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,177544,,177544,0
H4,2016,2016,2016,5,0,0,RX,842,USA,USA,233,Estonia,EST,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,32476091,,32476091,0
H4,2016,2016,2016,5,0,0,RX,842,USA,USA,234,Faeroe Isds,FRO,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,139400,,139400,0
H4,2016,2016,2016,5,0,0,RX,842,USA,USA,242,Fiji,FJI,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,4390377,,4390377,0
H4,2016,2016,2016,5,0,0,RX,842,USA,USA,246,Finland,FIN,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,142264570,,142264570,0
H4,2016,2016,2016,5,0,0,RX,842,USA,USA,251,France,FRA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,5019193037,,5019193037,0
H4,2016,2016,2016,5,0,0,RX,842,USA,USA,258,French Polynesia,PYF,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,7747641,,7747641,0
H4,2016,2016,2016,5,0,0,RX,842,USA,USA,260,Fr. South Antarctic Terr.,ATF,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,4203095,,4203095,0
H4,2016,2016,2016,5,0,0,RX,842,USA,USA,262,Djibouti,DJI,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,13400027,,13400027,0
H4,2016,2016,2016,5,0,0,RX,842,USA,USA,266,Gabon,GAB,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,1633208,,1633208,0
H4,2016,2016,2016,5,0,0,RX,842,USA,USA,270,Gambia,GMB,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,730672,,730672,0
H4,2016,2016,2016,5,0,0,RX,842,USA,USA,275,State of Palestine,PSE,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,114152,,114152,0
H4,2016,2016,2016,5,0,0,RX,842,USA,USA,268,Georgia,GEO,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,69340168,,69340168,0
H4,2016,2016,2016,5,0,0,RX,842,USA,USA,288,Ghana,GHA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,23690429,,23690429,0
H4,2016,2016,2016,5,0,0,RX,842,USA,USA,292,Gibraltar,GIB,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,3880345,,3880345,0
H4,2016,2016,2016,5,0,0,RX,842,USA,USA,296,Kiribati,KIR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,86773,,86773,0
H4,2016,2016,2016,5,0,0,RX,842,USA,USA,300,Greece,GRC,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,45737818,,45737818,0
H4,2016,2016,2016,5,0,0,RX,842,USA,USA,304,Greenland,GRL,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,743947,,743947,0
H4,2016,2016,2016,5,0,0,RX,842,USA,USA,308,Grenada,GRD,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,8370420,,8370420,0
H4,2016,2016,2016,5,0,0,RX,842,USA,USA,320,Guatemala,GTM,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,430140822,,430140822,0
H4,2016,2016,2016,5,0,0,RX,842,USA,USA,324,Guinea,GIN,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,1813619,,1813619,0
H4,2016,2016,2016,5,0,0,RX,842,USA,USA,328,Guyana,GUY,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,34627780,,34627780,0
H4,2016,2016,2016,5,0,0,RX,842,USA,USA,332,Haiti,HTI,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,56311989,,56311989,0
H4,2016,2016,2016,5,0,0,RX,842,USA,USA,334,Heard Island and McDonald Islands,HMD,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,6450,,6450,0
H4,2016,2016,2016,5,0,0,RX,842,USA,USA,336,Holy See (Vatican City State),VAT,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,70366,,70366,0
H4,2016,2016,2016,5,0,0,RX,842,USA,USA,340,Honduras,HND,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,243552696,,243552696,0
