Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2016,2016,2016,5,0,0,X,704,Viet Nam,VNM,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,176580786634,,176580786634.72,0
H4,2016,2016,2016,5,0,0,X,704,Viet Nam,VNM,20,Andorra,AND,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,17511468,,17511468.84,0
H4,2016,2016,2016,5,0,0,X,704,Viet Nam,VNM,12,Algeria,DZA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,271244601,,271244601.3,0
H4,2016,2016,2016,5,0,0,X,704,Viet Nam,VNM,31,Azerbaijan,AZE,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,5138595,,5138595.05,0
H4,2016,2016,2016,5,0,0,X,704,Viet Nam,VNM,32,Argentina,ARG,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,368616899,,368616899.86,0
H4,2016,2016,2016,5,0,0,X,704,Viet Nam,VNM,24,Angola,AGO,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,38735684,,38735684,0
H4,2016,2016,2016,5,0,0,X,704,Viet Nam,VNM,36,Australia,AUS,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,2864858060,,2864858060.52,0
H4,2016,2016,2016,5,0,0,X,704,Viet Nam,VNM,40,Austria,AUT,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,2631290421,,2631290421.33,0
H4,2016,2016,2016,5,0,0,X,704,Viet Nam,VNM,44,Bahamas,BHS,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,55722882,,55722882.4,0
H4,2016,2016,2016,5,0,0,X,704,Viet Nam,VNM,48,Bahrain,BHR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,18148147,,18148147.34,0
H4,2016,2016,2016,5,0,0,X,704,Viet Nam,VNM,50,Bangladesh,BGD,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,554678742,,554678742.38,0
H4,2016,2016,2016,5,0,0,X,704,Viet Nam,VNM,56,Belgium,BEL,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,1967240011,,1967240011.06,0
H4,2016,2016,2016,5,0,0,X,704,Viet Nam,VNM,68,Bolivia (Plurinational State of),BOL,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,15752785,,15752785.34,0
H4,2016,2016,2016,5,0,0,X,704,Viet Nam,VNM,72,Botswana,BWA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,58621,,58621.81,0
H4,2016,2016,2016,5,0,0,X,704,Viet Nam,VNM,76,Brazil,BRA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,1332352708,,1332352708.86,0
H4,2016,2016,2016,5,0,0,X,704,Viet Nam,VNM,90,Solomon Isds,SLB,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,25703415,,25703415.2,0
H4,2016,2016,2016,5,0,0,X,704,Viet Nam,VNM,96,Brunei Darussalam,BRN,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,20052296,,20052296.57,0
H4,2016,2016,2016,5,0,0,X,704,Viet Nam,VNM,100,Bulgaria,BGR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,44629943,,44629943.84,0
H4,2016,2016,2016,5,0,0,X,704,Viet Nam,VNM,104,Myanmar,MMR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,461627012,,461627012.94,0
H4,2016,2016,2016,5,0,0,X,704,Viet Nam,VNM,112,Belarus,BLR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,2540937,,2540937.79,0
H4,2016,2016,2016,5,0,0,X,704,Viet Nam,VNM,116,Cambodia,KHM,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,2199398046,,2199398046.64,0
H4,2016,2016,2016,5,0,0,X,704,Viet Nam,VNM,120,Cameroon,CMR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,21305623,,21305623.55,0
H4,2016,2016,2016,5,0,0,X,704,Viet Nam,VNM,124,Canada,CAN,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,2652547172,,2652547172.57,0
H4,2016,2016,2016,5,0,0,X,704,Viet Nam,VNM,140,Central African Rep.,CAF,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,2230030,,2230030.58,0
H4,2016,2016,2016,5,0,0,X,704,Viet Nam,VNM,144,Sri Lanka,LKA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,186731886,,186731886.88,0
H4,2016,2016,2016,5,0,0,X,704,Viet Nam,VNM,152,Chile,CHL,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,805234359,,805234359.05,0
H4,2016,2016,2016,5,0,0,X,704,Viet Nam,VNM,156,China,CHN,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,21950444543,,21950444543.67,0
H4,2016,2016,2016,5,0,0,X,704,Viet Nam,VNM,170,Colombia,COL,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,325094038,,325094038.9,0
H4,2016,2016,2016,5,0,0,X,704,Viet Nam,VNM,178,Congo,COG,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,1689387,,1689387.89,0
H4,2016,2016,2016,5,0,0,X,704,Viet Nam,VNM,180,Dem. Rep. of the Congo,COD,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,8323034,,8323034.74,0
H4,2016,2016,2016,5,0,0,X,704,Viet Nam,VNM,188,Costa Rica,CRI,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,210318734,,210318734.98,0
H4,2016,2016,2016,5,0,0,X,704,Viet Nam,VNM,191,Croatia,HRV,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,45577977,,45577977.58,0
H4,2016,2016,2016,5,0,0,X,704,Viet Nam,VNM,196,Cyprus,CYP,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,38122909,,38122909.18,0
H4,2016,2016,2016,5,0,0,X,704,Viet Nam,VNM,203,Czechia,CZE,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,146173879,,146173879.18,0
H4,2016,2016,2016,5,0,0,X,704,Viet Nam,VNM,204,Benin,BEN,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,15865696,,15865696.1,0
H4,2016,2016,2016,5,0,0,X,704,Viet Nam,VNM,208,Denmark,DNK,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,283030069,,283030069.81,0
H4,2016,2016,2016,5,0,0,X,704,Viet Nam,VNM,214,Dominican Rep.,DOM,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,74911502,,74911502.23,0
H4,2016,2016,2016,5,0,0,X,704,Viet Nam,VNM,218,Ecuador,ECU,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,132203292,,132203292.73,0
H4,2016,2016,2016,5,0,0,X,704,Viet Nam,VNM,222,El Salvador,SLV,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,19144718,,19144718.26,0
H4,2016,2016,2016,5,0,0,X,704,Viet Nam,VNM,233,Estonia,EST,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,30777526,,30777526.55,0
H4,2016,2016,2016,5,0,0,X,704,Viet Nam,VNM,242,Fiji,FJI,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,19837379,,19837379.04,0
H4,2016,2016,2016,5,0,0,X,704,Viet Nam,VNM,246,Finland,FIN,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,106566502,,106566502.85,0
H4,2016,2016,2016,5,0,0,X,704,Viet Nam,VNM,251,France,FRA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,3024879064,,3024879064.84,0
H4,2016,2016,2016,5,0,0,X,704,Viet Nam,VNM,262,Djibouti,DJI,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,26608227,,26608227.36,0
H4,2016,2016,2016,5,0,0,X,704,Viet Nam,VNM,266,Gabon,GAB,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,8082985,,8082985.59,0
H4,2016,2016,2016,5,0,0,X,704,Viet Nam,VNM,270,Gambia,GMB,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,4536342,,4536342.91,0
H4,2016,2016,2016,5,0,0,X,704,Viet Nam,VNM,268,Georgia,GEO,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,18710760,,18710760.28,0
H4,2016,2016,2016,5,0,0,X,704,Viet Nam,VNM,276,Germany,DEU,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,5960516080,,5960516080.96,0
H4,2016,2016,2016,5,0,0,X,704,Viet Nam,VNM,288,Ghana,GHA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,290732998,,290732998.09,0
H4,2016,2016,2016,5,0,0,X,704,Viet Nam,VNM,296,Kiribati,KIR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,6045968,,6045968.74,0
H4,2016,2016,2016,5,0,0,X,704,Viet Nam,VNM,300,Greece,GRC,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,188620564,,188620564.64,0
